,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,マレーシア,シンガポール,,インドネシア,,,,,,,,,,フィリピン,,,,,,,,,,,,,
,,"諸港
(マレーシア)",小計,シンガポール,小計,スラバヤ,セマラン,ジャカルタ,ベラワン,パレンバン,パンジャン,バタン,"タンジュン
プリオク","諸港
（インドネシア）",小計,スービックベイ,マニラ,セブ,ダバオ,カガヤン,バタンガス,,,,,,,
合計,,"6,073","225,101","225,101","409,037","24,669","7,760","276,361",697,308,28,"4,169","78,506","16,539","234,510","7,004","118,956","5,947","12,162",171,"7,210",合計,,,,,,
農水産品,,-,"10,898","10,898","1,507","1,252",10,230,-,-,-,-,-,15,"9,830",-,"5,610",-,117,-,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,494,494,54,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,30,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,"2,543","2,543",90,30,-,60,-,-,-,-,-,-,147,-,30,-,117,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,"2,092","2,092",162,150,-,12,-,-,-,-,-,-,65,-,1,-,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,"1,333","1,333",-,-,-,-,-,-,-,-,-,-,94,-,94,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,"4,406","4,406","1,201","1,072",10,104,-,-,-,-,-,15,"9,524",-,"5,485",-,-,-,-,11,水産品,,,,,
林産品,,-,5,5,204,80,-,124,-,-,-,-,-,-,"2,434",-,-,-,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,141,80,-,61,-,-,-,-,-,-,"2,434",-,-,-,-,-,-,13,製材,,,,,
14,樹脂類,-,5,5,60,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
