,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,
航路別,合計,,,1月,,,2月,,,3月,,,4月,,,5月,,,6月,,6月,7月,,,8月,,,9月,,,10月,,,11月,,,12月,,,航路別
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,
合計,"87,806,264","27,788,922","60,017,342","6,993,483","1,927,814","5,065,669","6,882,062","2,256,917","4,625,145","7,912,306","2,506,137","5,406,169","7,605,967","2,438,169","5,167,798","6,869,001","2,064,816","4,804,185","7,513,819","2,484,201","5,029,618","7,921,074","2,508,693","5,412,381","6,984,703","2,150,017","4,834,686","7,247,832","2,324,755","4,923,077","7,199,541","2,331,902","4,867,639","7,418,059","2,335,105","5,082,954","7,258,417","2,460,396","4,798,021",合計
外航計,"48,494,019","12,734,557","35,759,462","3,853,638","805,196","3,048,442","3,591,864","1,041,631","2,550,233","4,196,241","1,092,793","3,103,448","4,200,122","1,174,212","3,025,910","3,814,020","904,827","2,909,193","4,134,598","1,162,097","2,972,501","4,364,836","1,106,244","3,258,592","3,936,542","969,714","2,966,828","4,150,213","1,097,249","3,052,964","3,988,032","1,071,150","2,916,882","4,162,290","1,075,481","3,086,809","4,101,623","1,233,963","2,867,660",外航計
外航定期計,"47,246,756","12,170,992","35,075,764","3,765,273","770,882","2,994,391","3,502,549","990,304","2,512,245","4,111,672","1,056,249","3,055,423","4,060,764","1,125,124","2,935,640","3,731,872","869,827","2,862,045","4,043,999","1,110,842","2,933,157","4,279,461","1,069,535","3,209,926","3,806,101","908,421","2,897,680","4,036,568","1,085,249","2,951,319","3,856,320","985,339","2,870,981","4,035,602","1,025,456","3,010,146","4,016,575","1,173,764","2,842,811",外航定期計
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,世界一周
北米西岸(メキシコ含む),"5,339,197","1,422,614","3,916,583","486,858","148,482","338,376","533,374","211,306","322,068","569,695","176,311","393,384","561,994","191,489","370,505","418,932","83,370","335,562","423,731","67,430","356,301","510,712","125,868","384,844","430,359","85,868","344,491","413,455","105,532","307,923","314,418","90,664","223,754","340,261","70,688","269,573","335,408","65,606","269,802",北米西岸(メキシコ含む)
北米東岸(カリビア海含む),"1,573,910","684,349","889,561","103,074","38,816","64,258","137,061","65,113","71,948","152,987","65,259","87,728","119,746","29,316","90,430","155,357","74,140","81,217","118,001","63,344","54,657","143,096","60,233","82,863","137,138","64,358","72,780","125,704","58,030","67,674","127,909","54,350","73,559","129,394","55,416","73,978","124,443","55,974","68,469",北米東岸(カリビア海含む)
北欧・地中海,"4,506,296","2,319,642","2,186,654","256,121","87,502","168,619","215,577","99,605","115,972","221,713","101,331","120,382","401,232","223,148","178,084","388,927","171,161","217,766","390,704","254,740","135,964","398,513","232,167","166,346","314,034","159,942","154,092","527,047","276,267","250,780","382,059","185,748","196,311","472,334","224,193","248,141","538,035","303,838","234,197",北欧・地中海
南米西岸,"463,836","58,240","405,596","46,922","5,907","41,015","44,354","5,020","39,334","41,554","6,844","34,710","41,323","4,512","36,811","23,476","1,972","21,504","42,777","4,992","37,785","45,858","9,415","36,443","43,839","4,921","38,918","37,267","2,424","34,843","18,849","2,223","16,626","45,044","6,245","38,799","32,573","3,765","28,808",南米西岸
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸･南ア経由
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アフリカ
オセアニア,"267,742","35,272","232,470","18,011","2,042","15,969","20,221","2,496","17,725","21,242","2,785","18,457","25,869","2,799","23,070","42,789","2,926","39,863","22,968","2,343","20,625","28,045","4,546","23,499","15,494","2,330","13,164","17,018","3,055","13,963","25,070","4,364","20,706","14,261","2,978","11,283","16,754","2,608","14,146",オセアニア
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,印パ･ペルシャ･ベンガル
