,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,中部,,,,近畿,,,,,,,,,,,,,,品種,,,,,,
,,静岡県,愛知県,,,計,大阪府,,,,兵庫県,,,,和歌山県,,計,岡山県,,,,,,,,
,,御前崎,小計,三河,名古屋,,小計,大阪,阪南,堺泉北,小計,尼崎西宮芦屋,神戸,東播磨,小計,和歌山下津,,小計,水島,,,,,,,
合計,,"1,272,041","257,539","77,922","179,617","599,735","520,789","430,529","33,030","57,230","78,256","13,419","62,004","2,833",690,690,"188,901","3,024","2,784",合計,,,,,,
農水産品,,445,"2,878",207,"2,671","44,111","16,658","16,658",-,-,"27,453",-,"27,453",-,-,-,"1,100",330,300,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,43,-,43,354,-,-,-,-,354,-,354,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,330,-,330,315,-,-,-,-,315,-,315,-,-,-,10,-,-,4,豆類,,,,,
5,その他雑穀,-,37,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,261,-,261,"36,199","12,454","12,454",-,-,"23,745",-,"23,745",-,-,-,670,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,"1,494",-,"1,494","2,157",150,150,-,-,"2,007",-,"2,007",-,-,-,300,300,300,8,その他農産品,,,,,
9,羊毛,-,21,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,"4,864","3,880","3,880",-,-,984,-,984,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,445,692,207,485,222,174,174,-,-,48,-,48,-,-,-,120,30,-,11,水産品,,,,,
林産品,,180,"1,112",-,"1,112",150,150,150,-,-,-,-,-,-,-,-,270,40,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,120,"1,112",-,"1,112",150,150,150,-,-,-,-,-,-,-,-,10,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40,40,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,薪炭,,,,,
鉱産品,,-,"5,052",-,"5,052",570,-,-,-,-,570,-,570,-,-,-,"2,670","2,000","2,000",鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
20,金属鉱,-,-,-,-,480,-,-,-,-,480,-,480,-,-,-,-,-,-,20,金属鉱,,,,,
21,砂利・砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,-,-,21,砂利・砂,,,,,
22,石材,-,-,-,-,45,-,-,-,-,45,-,45,-,-,-,30,-,-,22,石材,,,,,
