,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,移出合計,北海道,,,,,東北,,,,,,,,,,,,品種,,,,,,
,,,計,北海道,,,,計,青森県,,岩手県,,,宮城県,,,,福島県,,,,,,,,
,,,,小計,函館,釧路,苫小牧,,小計,八戸,小計,釜石,大船渡,小計,気仙沼,石巻,仙台塩釜,小計,小名浜,,,,,,,
合計,,"15,054,365","1,676,080","1,676,080","24,593","161,670","1,489,817","487,584","10,976","10,976","32,959","9,740","23,219","430,652","4,259","3,993","422,400","12,997","2,195",合計,,,,,,
農水産品,,"206,303","12,665","12,665",-,-,"12,665","17,750",520,520,40,40,-,"17,190",-,-,"17,190",-,-,農水産品,,,,,,
1,麦,"13,089","5,135","5,135",-,-,"5,135",-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,"38,610",170,170,-,-,170,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,"17,175","2,070","2,070",-,-,"2,070",250,-,-,-,-,-,250,-,-,250,-,-,4,豆類,,,,,
5,その他雑穀,"1,897",130,130,-,-,130,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,"85,529","2,005","2,005",-,-,"2,005","7,275",440,440,-,-,-,"6,835",-,-,"6,835",-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,"6,399",890,890,-,-,890,-,-,-,-,-,-,-,-,-,-,-,-,8,その他農産品,,,,,
9,羊毛,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,"15,342",15,15,-,-,15,"1,100",-,-,-,-,-,"1,100",-,-,"1,100",-,-,10,その他畜産品,,,,,
11,水産品,"27,814","2,250","2,250",-,-,"2,250","9,125",80,80,40,40,-,"9,005",-,-,"9,005",-,-,11,水産品,,,,,
林産品,,"77,669","5,977","5,977",-,-,"5,977","41,745",-,-,-,-,-,"41,745",-,-,"41,745",-,-,林産品,,,,,,
12,原木,22,22,22,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,"64,337","1,370","1,370",-,-,"1,370","39,435",-,-,-,-,-,"39,435",-,-,"39,435",-,-,13,製材,,,,,
