,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,0,0,1月,0,0,2月,0,0,3月,0,0,4月,0,0,5月,0,0,6月,品種,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,計,,
31,金属製品,"75,748","41,692","34,056","6,238","3,692","2,546","5,911","3,272","2,639","6,424","3,914","2,510","5,238","3,591","1,647","5,459","3,814","1,645","4,805",31,金属製品
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,鉄道車両
33,完成自動車,"13,746,314","7,780,084","5,966,230","1,044,289","596,787","447,502","1,165,362","662,153","503,209","1,334,180","752,637","581,543","1,223,211","667,110","556,101","1,023,264","605,684","417,580","1,200,308",33,完成自動車
34,その他輸送用車両,"11,327","9,162","2,165","1,704","1,104",600,"1,163",523,640,"1,649",991,658,"1,045",922,123,707,707,-,"1,042",34,その他輸送用車両
35,二輪自動車,359,160,199,26,9,17,15,7,8,59,26,33,21,11,10,32,10,22,12,35,二輪自動車
36,自動車部品,"59,775","23,252","36,523","5,472","2,024","3,448","5,233","2,167","3,066","5,799","2,120","3,679","4,935","2,046","2,889","5,101","2,047","3,054","5,123",36,自動車部品
37,その他輸送機械,"236,686","87,482","149,204","17,090","6,740","10,350","18,101","6,231","11,870","20,130","9,010","11,120","18,200","6,820","11,380","12,740","6,330","6,410","25,451",37,その他輸送機械
38,産業機械,"183,393","139,783","43,610","17,785","13,056","4,729","18,699","11,934","6,765","21,358","14,951","6,407","13,139","10,550","2,589","13,361","11,389","1,972","16,423",38,産業機械
39,電気機械,"60,275","46,256","14,019","3,431","2,725",706,"3,554","2,793",761,"4,776","3,241","1,535","2,718","2,213",505,"2,721","2,153",568,"5,533",39,電気機械
40,測量・光学・医療用機械,"43,937","30,370","13,567","1,668","1,206",462,"2,291","1,612",679,"6,249","5,518",731,"5,345","4,922",423,"1,386","1,137",249,"3,775",40,測量・光学・医療用機械
41,事務用機器,"45,170","44,093","1,077","1,855","1,765",90,"2,428","2,316",112,"2,978","2,903",75,"2,924","2,829",95,"1,819","1,719",100,"2,982",41,事務用機器
42,その他機械,"27,963","15,777","12,186","2,679","1,641","1,038","3,868","2,589","1,279","2,243",807,"1,436","2,132","1,350",782,"1,667",965,702,"2,616",42,その他機械
化学工業品,,"7,913,773","490,438","7,423,335","703,545","44,050","659,495","668,573","38,616","629,957","704,937","46,820","658,117","631,750","34,055","597,695","645,772","40,240","605,532","622,486",化学工業品,
43,陶磁器,114,94,20,79,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器
44,セメント,"2,464,080","33,339","2,430,741","225,427","2,991","222,436","218,981","3,805","215,176","241,204","2,961","238,243","189,470","1,738","187,732","210,455","1,625","208,830","196,634",44,セメント
45,ガラス類,"12,855","12,443",412,950,885,65,"1,390","1,245",145,"1,444","1,418",26,"1,095","1,085",10,"1,155","1,110",45,"1,245",45,ガラス類
46,窯業品,"86,464","35,342","51,122","5,090","2,454","2,636","5,212","2,249","2,963","4,222","1,822","2,400","3,552","1,822","1,730","11,329","5,499","5,830","9,213",46,窯業品
47,重油,"479,337","229,859","249,478","43,074","20,417","22,657","34,536","16,268","18,268","54,328","26,442","27,886","34,356","16,443","17,913","37,639","18,027","19,612","28,594",47,重油
48,揮発油,"2,776",901,"1,875",69,69,-,"1,932",57,"1,875",58,58,-,89,89,-,65,65,-,81,48,揮発油
49,その他の石油,"4,456,764","20,301","4,436,463","396,329","1,523","394,806","381,812","1,553","380,259","381,344","2,550","378,794","374,077","1,783","372,294","359,577","1,302","358,275","336,509",49,その他の石油
50,LNG/液化天然ガス,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス
51,LPG/液化石油ガス,"6,630","6,605",25,639,639,-,628,628,-,591,576,15,727,727,-,505,505,-,485,51,LPG/液化石油ガス
52,その他石油製品,"89,677","6,550","83,127","2,660",410,"2,250",252,212,40,"1,665",185,"1,480","1,517",407,"1,110","1,015",315,700,"19,030",52,その他石油製品
53,コークス,"49,470","15,513","33,957","7,215","2,635","4,580","3,176","1,626","1,550",-,-,-,"1,203",-,"1,203","2,506","1,263","1,243","5,052",53,コークス
54,石炭製品,20,-,20,20,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,54,石炭製品
55,化学薬品,"101,539","43,072","58,467","8,506","3,540","4,966","9,830","3,695","6,135","8,525","3,473","5,052","9,857","3,670","6,187","7,585","3,202","4,383","8,019",55,化学薬品
56,化学肥料,"6,840","3,355","3,485",565,250,315,505,225,280,670,355,315,"1,125",585,540,375,160,215,800,56,化学肥料
57,その他化学工業品,"157,202","83,064","74,138","12,922","8,158","4,764","10,319","7,053","3,266","10,886","6,980","3,906","14,682","5,706","8,976","13,566","7,167","6,399","16,824",57,その他化学工業品
軽工業品,,"2,474,770","781,732","1,693,038","223,300","65,051","158,249","215,425","63,951","151,474","245,570","71,645","173,925","246,981","74,922","172,059","198,950","65,914","133,036","218,351",軽工業品,
58,紙・パルプ,"1,415,882","193,902","1,221,980","146,123","24,092","122,031","138,306","23,247","115,059","142,700","17,142","125,558","153,051","23,725","129,326","117,333","19,130","98,203","124,224",58,紙・パルプ
59,糸及び紡績半製品,254,194,60,24,24,-,10,10,-,100,40,60,15,15,-,-,-,-,-,59,糸及び紡績半製品
60,その他繊維工業品,"2,309","2,000",309,189,120,69,75,45,30,105,15,90,25,25,-,58,38,20,255,60,その他繊維工業品
61,砂糖,"82,192","13,121","69,071","7,338","1,845","5,493","6,134","1,164","4,970","7,674",930,"6,744","6,571","1,058","5,513","5,678",770,"4,908","6,806",61,砂糖
62,製造食品,"299,002","188,730","110,272","25,160","16,664","8,496","23,115","14,897","8,218","27,875","16,284","11,591","27,448","16,168","11,280","24,103","15,080","9,023","24,454",62,製造食品
63,飲料,"391,275","268,918","122,357","28,026","18,976","9,050","31,237","20,965","10,272","37,307","24,700","12,607","35,415","23,105","12,310","29,010","19,445","9,565","37,325",63,飲料
64,水,"70,692","51,307","19,385","2,365","1,235","1,130","3,398","2,133","1,265","7,024","5,449","1,575","7,086","5,166","1,920","6,836","5,536","1,300","6,977",64,水
65,たばこ,"15,150","8,415","6,735","1,435",665,770,"1,540",665,875,"1,535",805,730,995,570,425,"1,075",695,380,"1,375",65,たばこ
