,,,,,,,,,,,,,,,(単位：トン）
年月,合計,,,外貿,,,,,,内貿,,,,,
,,,,計,,,, うちコンテナ貨物,,計,,,うちカーフェリー,,
,計,出貨,入貨,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
平成30年(2018年),"91,543,456","29,040,080","62,503,376","49,825,795","13,288,658","36,537,137","47,981,969","12,770,411","35,211,558","41,717,661","15,751,422","25,966,239","10,868,450","5,675,580","5,192,870"
　　　１月　,"7,134,542","2,138,595","4,995,947","3,972,814","906,141","3,066,673","3,841,822","877,238","2,964,584","3,161,728","1,232,454","1,929,274","740,975","395,720","345,255"
　　　２月　,"7,396,227","2,340,743","5,055,484","3,972,839","1,042,705","2,930,134","3,844,838","995,923","2,848,915","3,423,388","1,298,038","2,125,350","835,180","443,805","391,375"
　　　３月　,"7,627,504","2,631,546","4,995,958","3,830,576","1,144,444","2,686,132","3,684,261","1,120,064","2,564,197","3,796,928","1,487,102","2,309,826","1,040,785","549,610","491,175"
　　　４月　,"7,840,215","2,540,942","5,299,273","4,245,494","1,157,668","3,087,826","3,997,288","1,094,295","2,902,993","3,594,721","1,383,274","2,211,447","960,040","497,245","462,795"
　　　５月　,"7,494,854","2,333,992","5,160,862","4,164,013","1,065,224","3,098,789","4,004,103","1,028,948","2,975,155","3,330,841","1,268,768","2,062,073","798,525","423,525","375,000"
　　　６月　,"7,760,119","2,596,034","5,164,085","4,190,902","1,223,614","2,967,288","4,008,943","1,156,956","2,851,987","3,569,217","1,372,420","2,196,797","950,475","496,290","454,185"
　　　７月　,"7,682,614","2,433,019","5,249,595","4,159,236","1,121,348","3,037,888","4,028,310","1,086,418","2,941,892","3,523,378","1,311,671","2,211,707","948,285","477,365","470,920"
　　　８月　,"7,368,390","2,298,039","5,070,351","4,169,778","1,108,510","3,061,268","4,012,586","1,067,137","2,945,449","3,198,612","1,189,529","2,009,083","925,435","475,340","450,095"
　　　９月　,"7,514,543","2,383,493","5,131,050","4,220,122","1,137,416","3,082,706","4,081,548","1,076,331","3,005,217","3,294,421","1,246,077","2,048,344","900,345","472,895","427,450"
　　１０月　,"8,045,082","2,540,136","5,504,946","4,343,787","1,143,852","3,199,935","4,182,707","1,103,741","3,078,966","3,701,295","1,396,284","2,305,011","986,785","531,645","455,140"
　　１１月　,"7,975,414","2,395,514","5,579,900","4,397,169","1,066,839","3,330,330","4,269,937","1,039,908","3,230,029","3,578,245","1,328,675","2,249,570","881,595","456,460","425,135"
　　１２月　,"7,703,952","2,408,027","5,295,925","4,159,065","1,170,897","2,988,168","4,025,626","1,123,452","2,902,174","3,544,887","1,237,130","2,307,757","900,025","455,680","444,345"
平成31年(2019年),"87,806,264","27,788,922","60,017,342","48,494,019","12,734,557","35,759,462","46,663,348","12,154,980","34,508,368","39,312,245","15,054,365","24,257,880","10,734,800","5,566,510","5,168,290"
,95.9%,95.7%,96.0%,97.3%,95.8%,97.9%,97.3%,95.2%,98.0%,94.2%,95.6%,93.4%,98.8%,98.1%,99.5%
　　　１月　,"6,993,483","1,927,814","5,065,669","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227","805,000","420,845","384,155"
,98.0%,90.1%,101.4%,97.0%,88.9%,99.4%,96.8%,87.8%,99.5%,99.3%,91.1%,104.6%,108.6%,106.3%,111.3%
