,,,,,,,(単位：トン）
品種,,中央防波堤,,,民間,,
,,中央防波堤内側内貿ふ頭,,,合計,,
,,計,移出,移入,計,移出,移入
合計,,"1,023,166","523,995","499,171","10,805,810","525,904","10,279,906"
農水産品,,"67,810","10,460","57,350",-,-,-
1,麦,"6,930","5,135","1,795",-,-,-
2,米,"14,755",170,"14,585",-,-,-
3,とうもろこし,-,-,-,-,-,-
4,豆類,"4,475","2,055","2,420",-,-,-
5,その他雑穀,595,130,465,-,-,-
6,野菜・果物,"36,320","1,975","34,345",-,-,-
7,綿花,-,-,-,-,-,-
8,その他農産品,"2,520",890,"1,630",-,-,-
9,羊毛,-,-,-,-,-,-
10,その他畜産品,"1,555",15,"1,540",-,-,-
11,水産品,660,90,570,-,-,-
林産品,,"10,750","4,910","5,840",-,-,-
12,原木,-,-,-,-,-,-
13,製材,"5,585",765,"4,820",-,-,-
14,樹脂類,"4,055","3,830",225,-,-,-
15,木材チップ,30,30,-,-,-,-
16,その他林産品,850,75,775,-,-,-
17,薪炭,230,210,20,-,-,-
鉱産品,,"4,803","3,983",820,"2,853,912","23,400","2,830,512"
18,石炭,-,-,-,-,-,-
19,鉄鉱石,-,-,-,-,-,-
20,金属鉱,75,75,-,-,-,-
21,砂利・砂,"1,313",838,475,"2,724,302","14,800","2,709,502"
22,石材,"1,235","1,050",185,"62,710","8,600","54,110"
23,原油,-,-,-,-,-,-
24,りん鉱石,-,-,-,-,-,-
25,石灰石,725,710,15,"66,900",-,"66,900"
26,原塩,-,-,-,-,-,-
27,非金属鉱物,"1,455","1,310",145,-,-,-
金属機械工業品,,"69,790","32,800","36,990","720,279",-,"720,279"
28,鉄鋼,"7,245",575,"6,670",-,-,-
29,鋼材,"3,920","2,815","1,105","720,279",-,"720,279"
30,非鉄金属,265,-,265,-,-,-
31,金属製品,"15,450","11,185","4,265",-,-,-
32,鉄道車両,-,-,-,-,-,-
33,完成自動車,"2,609","2,132",477,-,-,-
34,その他輸送用車両,217,112,105,-,-,-
35,二輪自動車,5,-,5,-,-,-
36,自動車部品,"25,175","7,200","17,975",-,-,-
37,その他輸送機械,43,1,42,-,-,-
38,産業機械,"4,441","2,825","1,616",-,-,-
39,電気機械,"3,095","2,375",720,-,-,-
40,測量・光学・医療用機械,45,5,40,-,-,-
41,事務用機器,"2,650","1,615","1,035",-,-,-
42,その他機械,"4,630","1,960","2,670",-,-,-
化学工業品,,"75,072","67,289","7,783","6,949,825","233,243","6,716,582"
43,陶磁器,20,-,20,-,-,-
44,セメント,995,680,315,"1,946,414",-,"1,946,414"
45,ガラス類,"11,000","10,905",95,-,-,-
46,窯業品,"1,105","1,095",10,-,-,-
47,重油,-,-,-,"479,336","229,858","249,478"
48,揮発油,-,-,-,"1,875",-,"1,875"
49,その他の石油,"8,560","8,445",115,"4,435,988",-,"4,435,988"
50,LNG/液化天然ガス,5,-,5,-,-,-
51,LPG/液化石油ガス,70,60,10,-,-,-
52,その他石油製品,"2,485","2,335",150,"86,212","3,385","82,827"
53,コークス,-,-,-,-,-,-
54,石炭製品,-,-,-,-,-,-
55,化学薬品,"42,897","37,624","5,273",-,-,-
56,化学肥料,"3,415","1,725","1,690",-,-,-
57,その他化学工業品,"4,520","4,420",100,-,-,-
軽工業品,,"369,075","180,380","188,695","50,362","50,362",-
58,紙・パルプ,"108,980","18,745","90,235",-,-,-
59,糸及び紡績半製品,10,10,-,-,-,-
60,その他繊維工業品,905,905,-,-,-,-
61,砂糖,"59,390","3,305","56,085",-,-,-
62,製造食品,"70,940","41,015","29,925",-,-,-
63,飲料,"117,150","108,890","8,260",-,-,-
64,水,"3,950",490,"3,460","50,362","50,362",-
65,たばこ,"5,120","5,110",10,-,-,-
66,その他食料工業品,"2,630","1,910",720,-,-,-
雑工業品,,"205,632","165,917","39,715",-,-,-
67,がん具,20,20,-,-,-,-
68,衣服・身廻品・はきもの,590,545,45,-,-,-
69,文房具・運動娯楽用品・楽器,80,70,10,-,-,-
70,家具装備品,"11,605","11,350",255,-,-,-
71,その他日用品,"119,531","114,391","5,140",-,-,-
72,ゴム製品,"3,530","3,140",390,-,-,-
73,木製品,15,5,10,-,-,-
74,その他製造工業品,"70,261","36,396","33,865",-,-,-
特殊品,,"220,234","58,256","161,978","231,432","218,899","12,533"
75,金属くず,"2,705",555,"2,150",306,-,306
76,再利用資材,"12,165","1,760","10,405","91,267","90,787",480
77,動植物性製造飼肥料,"14,130","10,225","3,905",-,-,-
78,廃棄物,"3,015","3,015",-,-,-,-
79,廃土砂,-,-,-,"139,859","128,112","11,747"
80,輸送用容器,"173,557","37,805","135,752",-,-,-
81,取合せ品,"14,662","4,896","9,766",-,-,-
分類不能のもの,,-,-,-,-,-,-
