,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,中国,,,,,,,,,,,,,,,,,,,,,,,,,,
,,防城,九江,南昌,日照,蛇口,太倉,威海,蕪湖,塩田,営口,鎮江,中山,珠海,仏山,江陰,南海,南沙,容奇,順徳,新会,,,,,,,
合計,,480,"39,878","2,768","65,795","1,686,702","1,113,782","95,379","4,528","60,517","5,881","22,218","79,152","5,412","2,012","4,882","12,397","133,571","4,179","5,357","1,049",合計,,,,,,
農水産品,,-,-,15,"20,342","6,759",833,"23,103",-,39,-,-,-,-,-,-,-,-,-,30,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,30,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,15,"1,380","1,791",428,690,-,-,-,-,-,-,-,-,-,-,-,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,"4,012",180,32,-,39,-,-,-,-,-,-,-,-,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,315,225,60,-,-,-,-,-,-,-,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,-,"18,962",611,-,"22,246",-,-,-,-,-,-,-,-,-,-,-,30,-,11,水産品,,,,,
林産品,,-,-,-,"5,535","5,025",765,-,-,-,-,-,-,-,-,-,-,30,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,765,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,"4,785",-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
