,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,              アフリカ,,,,,太洋州,,,,,,,,,,,,,,,品種,,,,,,
,,南アフリカ,カメルーン,,モーリシャス,,計,オーストラリア,,,,,,,,,,ニュージーランド,,,,,,,,,,
,,"諸港
(南アフリカ)",小計,デュアラ,小計,ポートルイス,,小計,ブリスベーン,シドニー,メルボルン,アデレード,ジェラルドトン,フリマントル,バンバリー,オールバニ,クイナナ,小計,オークランド,タウランガ,ギズバーン,,,,,,,
合計,,45,58,58,774,774,"410,684","110,650",826,"1,174","4,080","3,955","7,713","11,720","28,404","44,631","8,147","300,034","1,413","171,355","1,411",合計,,,,,,
農水産品,,-,-,-,774,774,"179,575","24,000",400,-,"1,118",177,"7,713","6,445",-,-,"8,147","155,575",141,"113,008","1,411",農水産品,,,,,,
1,麦,-,-,-,-,-,"22,294","22,249",-,-,-,-,"7,713","6,389",-,-,"8,147",45,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,315,315,-,-,315,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,480,-,-,-,-,-,-,-,-,-,-,480,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,390,15,15,-,-,-,-,-,-,-,-,375,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,15,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,-,"128,147",628,293,-,237,42,-,56,-,-,-,"127,519",26,"103,340","1,411",6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,"1,845",-,-,-,-,-,-,-,-,-,-,"1,845",-,674,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,150,-,-,-,-,-,-,-,-,-,-,150,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,"21,905",581,15,-,566,-,-,-,-,-,-,"21,324",75,"6,366",-,10,その他畜産品,,,,,
11,水産品,-,-,-,774,774,"4,034",212,77,-,-,135,-,-,-,-,-,"3,822",40,"2,628",-,11,水産品,,,,,
林産品,,-,58,58,-,-,"29,619",45,45,-,-,-,-,-,-,-,-,"29,574",-,847,-,林産品,,,,,,
12,原木,-,-,-,-,-,119,-,-,-,-,-,-,-,-,-,-,119,-,119,-,12,原木,,,,,
13,製材,-,58,58,-,-,"29,425",45,45,-,-,-,-,-,-,-,-,"29,380",-,653,-,13,製材,,,,,
