,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,南アメリカ,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,エクアドル,,ペルー,,,チリ,,,,,,,ブラジル,,,,,,,,,,,,,,
,,グァヤキル,諸港(エクアドル）,小計,カヤオ,諸港(ペルー),小計,アリカ,イクイケ,バルパライソ,サンアントニオ,リルケン,諸港(チリ),小計,フォルタレザ,サルバドル,ビトリア,リオデジャネイロ,サントス,パラナグァ,リオグランデ,,,,,,,
合計,,277,2,504,457,47,"3,168",76,981,"1,123",266,111,611,"69,620",4,103,5,458,"41,951",495,395,合計,,,,,,
農水産品,,-,-,59,59,-,104,-,-,-,-,104,-,109,-,-,-,-,5,-,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,-,30,-,-,-,-,30,-,44,-,-,-,-,2,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,3,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,59,59,-,74,-,-,-,-,74,-,-,-,-,-,-,-,-,-,11,水産品,,,,,
林産品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,林産品,,,,,,
