,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,
品種,,計,,,,,,        外貿,,,,,,内貿,,,,,,品種,,,
,,計,コンテナ化率,出貨,コンテナ化率,入貨,コンテナ化率,計,コンテナ化率,輸出,コンテナ化率,輸入,コンテナ化率,計,コンテナ化率,移出,コンテナ化率,移入,コンテナ化率,,,,
合計,,"87,806,264",56.4%,"27,788,922",49.5%,"60,017,342",59.7%,"48,494,019",96.2%,"12,734,557",95.4%,"35,759,462",96.5%,"39,312,245",7.4%,"15,054,365",10.6%,"24,257,880",5.3%,合計,,,
農水産品,,"5,635,093",81.0%,"465,032",80.1%,"5,170,061",81.1%,"5,211,492",84.0%,"258,729",100.0%,"4,952,763",83.2%,"423,601",44.7%,"206,303",55.1%,"217,298",34.9%,農水産品,,,
1,麦,"306,161",11.5%,"13,093",82.2%,"293,068",8.4%,"213,900",11.1%,4,100.0%,"213,896",11.1%,"92,261",12.5%,"13,089",82.2%,"79,172",1.0%,1,麦,,
2,米,"77,869",35.0%,"42,979",12.8%,"34,890",62.3%,"23,999",100.0%,"4,369",100.0%,"19,630",100.0%,"53,870",6.0%,"38,610",2.9%,"15,260",13.9%,2,米,,
3,とうもろこし,"10,565",100.0%,457,100.0%,"10,108",100.0%,"10,138",100.0%,30,100.0%,"10,108",100.0%,427,100.0%,427,100.0%,-,-,3,とうもろこし,,
4,豆類,"155,904",97.6%,"17,530",95.1%,"138,374",98.0%,"134,802",100.0%,355,100.0%,"134,447",100.0%,"21,102",82.6%,"17,175",95.0%,"3,927",28.2%,4,豆類,,
5,その他雑穀,"8,429",98.2%,"1,897",97.4%,"6,532",98.5%,"6,047",100.0%,-,-,"6,047",100.0%,"2,382",93.7%,"1,897",97.4%,485,79.4%,5,その他雑穀,,
6,野菜・果物,"1,927,383",63.7%,"127,823",73.5%,"1,799,560",63.0%,"1,785,287",63.9%,"42,294",99.7%,"1,742,993",63.1%,"142,096",60.2%,"85,529",60.5%,"56,567",59.8%,6,野菜・果物,,
7,綿花,525,100.0%,201,100.0%,324,100.0%,495,100.0%,201,100.0%,294,100.0%,30,100.0%,-,-,30,100.0%,7,綿花,,
8,その他農産品,"265,954",99.1%,"16,789",92.6%,"249,165",99.6%,"257,358",100.0%,"10,390",100.0%,"246,968",100.0%,"8,596",73.1%,"6,399",80.6%,"2,197",51.3%,8,その他農産品,,
9,羊毛,506,100.0%,21,100.0%,485,100.0%,485,100.0%,-,-,485,100.0%,21,100.0%,21,100.0%,-,-,9,羊毛,,
10,その他畜産品,"1,738,532",98.8%,"50,889",83.5%,"1,687,643",99.3%,"1,695,995",100.0%,"35,547",100.0%,"1,660,448",100.0%,"42,537",52.5%,"15,342",45.4%,"27,195",56.5%,10,その他畜産品,,
11,水産品,"1,143,265",98.3%,"193,353",95.6%,"949,912",98.8%,"1,082,986",100.0%,"165,539",100.0%,"917,447",100.0%,"60,279",66.9%,"27,814",69.6%,"32,465",64.6%,11,水産品,,
林産品,,"1,148,024",89.9%,"96,629",73.6%,"1,051,395",91.4%,"1,038,201",93.5%,"18,960",96.3%,"1,019,241",93.5%,"109,823",55.4%,"77,669",68.0%,"32,154",25.0%,林産品,,,
12,原木,"6,562",83.8%,"2,660",100.0%,"3,902",72.8%,"5,480",100.0%,"2,638",100.0%,"2,842",100.0%,"1,082",2.0%,22,100.0%,"1,060",-,12,原木,,
13,製材,"983,920",89.8%,"80,092",77.3%,"903,828",90.9%,"902,378",92.6%,"15,755",95.5%,"886,623",92.5%,"81,542",58.8%,"64,337",72.9%,"17,205",5.9%,13,製材,,
14,樹脂類,"85,900",89.3%,"8,255",37.6%,"77,645",94.8%,"73,555",100.0%,315,100.0%,"73,240",100.0%,"12,345",25.9%,"7,940",35.1%,"4,405",9.2%,14,樹脂類,,
15,木材チップ,"12,476",85.4%,174,82.8%,"12,302",85.4%,"5,914",100.0%,144,100.0%,"5,770",100.0%,"6,562",72.2%,30,-,"6,532",72.5%,15,木材チップ,,
