地区名,施行位置,面　積　　㎡,事業計画決定公告日,総事業費　　億円,整理前公共用地　㎡,うち道路,うち公園,うちその他,整理後公共用地　㎡,うち道路,うち公園,うちその他,保留地　㎡,減歩率　％,公共減歩,保留地減歩,換地処分公告日
東京駅付近,中央区八重洲三、四、五丁目他,58722,3/30/1957,11,34429,19966,0,14463,35244,8742,0,26502,0,3.35,3.35,0,2/20/1969
西大崎一丁目付近（全体）,品川区西大崎一、二丁目他,286150,3/31/1958,35,50357,47311,0,3046,110519,110519,0,0,0,25.51,25.51,0,0
西大崎一丁目付近（一工区）,品川区西大崎一丁目他,79158,3/31/1958,0,14523,14150,0,373,27859,27859,0,0,0,20.63,20.63,0,9/28/1968
西大崎一丁目付近（二工区）,品川区西大崎一、二丁目他,206992,3/31/1958,0,35834,33161,0,2673,82660,82660,0,0,0,27.36,27.36,0,9/28/1968
新宿三光町付近,新宿区三光町他,11758,7/21/1959,1,351,351,0,0,2196,2196,0,0,0,16.17,16.17,0,11/29/1962
日暮里八丁目付近,荒川区日暮里町七、八丁目他,166028,3/31/1962,69,19452,13427,2663,3362,56937,54274,2663,0,0,25.58,25.58,0,11/1/1976
大井倉田町付近,品川区大井倉田町他,46829,4/13/1963,12,4127,4127,0,0,16011,16011,0,0,0,27.83,27.83,0,1/16/1969
高田馬場駅付近,新宿区戸塚町二、三丁目他,80041,3/31/1962,19,5724,5568,0,156,26481,23167,679,2635,0,27.93,27.93,0,3/1/1972
赤羽一丁目付近,北区赤羽一丁目他,68330,3/31/1962,21,9599,8562,0,1037,25428,25428,0,0,0,26.92,26.92,0,1/10/1973
小石川一丁目付近,文京区小石川町一丁目,24621,9/5/1963,2,1798,1798,0,0,7750,1981,5769,0,0,26.1,26.1,0,8/7/1965
早稲田付近（全体）,新宿区早稲田鶴巻町他,188277,6/20/1964,158,29517,25901,0,3616,69687,69687,0,0,0,25.3,25.3,0,0
早稲田付近（一工区）,新宿区早稲田鶴巻町他,117622,6/20/1964,0,22895,20059,0,2836,48022,48022,0,0,0,26.53,26.53,0,10/30/1982
早稲田付近（二工区）,新宿区早稲田鶴巻町他,70655,6/20/1964,0,6622,5841,0,781,21665,21665,0,0,0,23.49,23.49,0,10/30/1982
平井駅北側付近,江戸川区平井一、三、四丁目,215416,2/27/1964,57,29295,23750,0,5545,82184,76571,2862,2751,0,28.42,28.42,0,12/28/1973
亀戸七丁目付近,江東区亀戸七、九丁目,107822,9/5/1963,19,13596,12962,0,634,34745,33767,0,978,0,22.45,22.45,0,10/2/1972
大島町元町付近,大島町元町他,159157,4/13/1965,6,19162,18078,0,1084,49258,45137,1157,2964,0,21.49,21.49,0,6/30/1967
