地区名,区名（現在）,施行者,面積(ｈａ),都市計画決定,施行地区告示,換地処分
第１地区,千代田,東京市長,60.9,1924/3/20,1924/3/27,1928/11/20
第２地区,千代田,東京市長,28.9,1924/3/20,1924/3/27,1929/6/25
第３地区,千代田,東京市長,41.6,1924/3/20,1924/3/27,1928/3/31
第４地区,千代田,東京市長,18,1924/3/20,1924/3/27,1927/4/12
第５地区,千代田,東京市長,42.3,1924/3/20,1924/3/27,1929/4/27
第７地区,千代田,東京市長,30.5,1924/3/20,1924/3/27,1929/7/18
第８地区,千代田,東京市長,76.6,1924/3/20,1924/3/27,1930/2/6
第９地区,千代田,東京市長,46.6,1924/3/20,1924/3/27,1929/11/19
第１１地区,中央,東京市長,54.8,1924/3/20,1924/3/27,1929/11/14
第１５地区,中央,東京市長,25.2,1924/3/20,1924/3/27,1929/3/23
第１８地区,中央,東京市長,26,1924/3/20,1924/3/27,1929/10/5
第１９地区,中央,東京市長,35.7,1924/3/20,1924/3/27,1928/7/28
第２０地区,中央,東京市長,47.4,1924/3/20,1924/3/27,1930/3/4
第２１地区,中央,東京市長,30.3,1924/3/20,1924/3/27,1929/1/15
第２２地区,中央,東京市長,90.5,1924/3/20,1924/3/27,1930/2/6
第２３地区,港,東京市長,30.9,1924/3/20,1924/3/27,1929/10/3
第２４地区,港,東京市長,37.4,1924/3/20,1924/3/27,1929/8/24
第２５地区,港,東京市長,55.3,1924/3/20,1924/3/27,1929/1/15
第２６地区,港,東京市長,35,1924/3/20,1924/3/27,1929/4/25
第２８地区,文京,東京市長,37.6,1924/3/20,1924/3/27,1928/6/19
第２９地区,文京,東京市長,42.9,1924/3/20,1924/3/27,1929/3/26
第３０地区,台東,東京市長,46.7,1924/3/20,1924/3/27,1928/11/1
第３２地区,台東,東京市長,70,1924/3/20,1924/3/27,1930/2/6
第３３地区,台東,東京市長,46.1,1924/3/20,1924/3/27,1929/11/30
第３５地区,台東,東京市長,47.9,1924/3/20,1924/3/27,1929/10/29
第３７地区,台東,東京市長,31.2,1924/3/20,1924/3/27,1929/5/28
第３８地区,台東,東京市長,50.7,1924/3/20,1924/3/27,1929/7/4
第３９地区,台東,東京市長,51.5,1924/3/20,1924/3/27,1929/6/20
第４０地区,台東,東京市長,62.1,1924/3/20,1924/3/27,1929/9/19
第４１地区,台東,東京市長,55.3,1924/3/20,1924/3/27,1929/9/19
第４２地区,台東,東京市長,39.5,1924/3/20,1924/3/27,1928/3/26
第４３地区,台東,東京市長,36.9,1924/3/20,1924/3/27,1928/7/26
第４４地区,墨田,東京市長,69,1924/3/20,1924/3/27,1930/1/23
第４５地区,墨田,東京市長,52.4,1924/3/20,1924/3/27,1930/1/28
第４６地区,墨田,東京市長,50.5,1924/3/20,1924/3/27,1928/5/29
第４７地区,墨田,東京市長,54.7,1924/3/20,1924/3/27,1928/11/5
第４８地区,墨田,東京市長,63.1,1924/3/20,1924/3/27,1929/4/25
第５０地区,墨田,東京市長,34.9,1924/3/20,1924/3/27,1929/1/26
第５１地区,墨田,東京市長,37.1,1924/3/20,1924/3/27,1929/3/20
第５２地区,江東,東京市長,69.8,1924/3/20,1924/3/27,1929/6/18
第５３地区,墨田,東京市長,72.2,1924/3/20,1924/3/27,1929/10/31
第５４地区,江東,東京市長,90.7,1924/3/20,1924/3/27,1929/7/16
第５５地区,江東,東京市長,58.4,1924/3/20,1924/3/27,1929/6/11
第５６地区,江東,東京市長,62.1,1924/3/20,1924/3/27,1929/10/10
第５７地区,江東,東京市長,87.5,1924/3/20,1924/3/27,1929/11/5
第５９地区,江東,東京市長,58.4,1924/3/20,1924/3/27,1929/7/20
第６０地区,江東,東京市長,52.2,1924/3/20,1924/3/27,1929/1/4
第６１地区,江東,東京市長,77.1,1924/3/20,1924/3/27,1929/2/25
第６２地区,江東,東京市長,32.1,1924/3/20,1924/3/27,1928/7/12
第６６地区,墨田,東京市長,36,1924/7/4,1924/7/12,1928/3/31
第６地区,千代田,内務大臣,29.4,1924/3/20,1924/3/27,1926/10/1
第１０地区,中央,内務大臣,88.2,1924/3/20,1924/3/27,1929/3/23
第１２地区,中央,内務大臣,21.9,1924/3/20,1924/3/27,1927/6/21
第１３地区,中央,内務大臣,39.6,1924/3/20,1924/3/27,1928/4/30
第１４地区,中央,内務大臣,38.4,1924/3/20,1924/3/27,1928/3/22
第１６地区,中央,内務大臣,17.8,1924/3/20,1924/3/27,1927/6/2
第１７地区,中央,内務大臣,32.5,1924/3/20,1924/3/27,1928/10/3
第３１地区,台東,内務大臣,49.9,1924/3/20,1924/3/27,1929/3/22
第３４地区,台東,内務大臣,60.9,1924/3/20,1924/3/27,1929/2/22
第３６地区,台東,内務大臣,45.2,1924/3/20,1924/3/27,1929/1/4
第４９地区,墨田,内務大臣,37.9,1924/3/20,1924/3/27,1928/10/8
第５８地区,江東,内務大臣,50.6,1924/3/20,1924/3/27,1928/3/22
第６３地区,荒川,内務大臣,29,1924/3/20,1924/3/27,1927/6/20
第６４地区,荒川,内務大臣,39.8,1924/3/20,1924/3/27,1927/12/15
第６５地区,江東,内務大臣,45,1924/3/20,1924/3/27,1928/3/1
