地区名,施行位置,面　積　　㎡,事業計画決定公告日,総事業費　　億円,整理前公共用地　㎡,うち道路,うち公園,うちその他,整理後公共用地　㎡,うち道路,うち公園,うちその他,保留地　㎡,減歩率　％,公共減歩,保留地減歩,換地処分公告日
第1地区,港区麻布10番付近,397409,1948/7/22,2,72646,62677,6191,3778,159269,146816,12277,176,0,26.67,26.67,0,1962/9/29
第2地区,新宿区新宿2丁目付近,373549,1948/6/3,24,67056,64764,0,2292,136853,129582,7271,0,0,22.77,22.77,0,1980/12/8
第3地区,文京区旧教育大学東側付近,467412,1948/6/3,11,21412,18397,0,3015,129567,107314,22253,0,0,24.25,24.25,0,1983/10/1
第4地区,墨田区錦糸町南側付近,360736,1948/2/10,2,96352,90223,2980,3149,141626,126022,8745,6859,0,17.12,17.12,0,1961/7/31
第5地区,品川区五反田駅付近,336815,1948/2/28,4,62104,39493,0,22611,135179,112151,1639,21389,0,26.6,26.6,0,1966/9/15
第6地区,品川区大森駅東側付近,584882,1948/6/3,1,87103,62507,2340,22256,213668,181337,20646,11685,0,25.4,25.4,0,1962/8/4
第7地区,大田区大森駅東側付近,412108,1948/6/3,2,56018,48073,0,7945,143426,129942,11117,2367,0,24.55,24.55,0,1964/8/31
第8地区（全体）,渋谷区渋谷駅付近,844924,1948/10/19,14,111222,99872,0,11350,314779,266343,17553,30883,0,27.75,27.75,0,0
第8地区(1工区),渋谷区渋谷駅付近(東側）,448232,1948/10/19,0,55628,47358,0,8270,172986,140746,16592,15648,0,29.89,29.89,0,1966/9/1
第8地区(2工区),渋谷区渋谷駅付近(西側）,396692,1948/10/19,0,55594,52514,0,3080,141793,125597,961,15235,0,25.27,25.27,0,1972/9/20
第9地区（全体）,新宿区新宿駅付近,443907,1948/6/3,8,83886,62021,0,21865,172546,132496,1305,38745,0,24.63,24.63,0,0
第9地区(1工区),新宿区新宿駅付近(西側）,"291,321",1948/6/3,0,58014,40374,0,17640,118933,93072,1305,24556,0,26.11,26.11,0,1969/1/25
第9地区(2工区),新宿区新宿駅付近(東側）,"152,586",1948/6/3,0,25872,21647,0,4225,53613,39424,0,14189,0,21.89,21.89,0,1970/3/31
第10地区（全体）,豊島区池袋駅付近,810441,1948/9/2,18,98036,95317,0,2719,294976,248672,27186,19118,0,27.64,27.64,0,0
第10地区(1工区),豊島区池袋駅付近(東側）,"506,657",1948/9/2,0,67972,65510,0,2462,192654,161895,17845,12914,0,28.42,28.42,0,1960/10/31
第10地区(2工区),豊島区池袋駅付近(西側）,"303,784",1948/9/2,0,30064,29807,0,257,102322,86777,9341,6204,0,27,27,0,1968/7/6
第11地区,北区王子駅付近,464052,1948/8/10,4,68342,60638,0,7704,168847,158057,6519,4271,0,25.39,25.39,0,1966/5/31
第12地区,大田区蒲田駅西側付近,417336,1949/11/19,12,52592,42295,0,10297,139362,127770,4104,7488,0,23.79,23.79,0,1971/9/21
第13地区,豊島区大塚駅付近,518389,1949/6/9,38,52754,41742,0,11012,173272,151494,6365,15413,0,25.88,25.88,0,1980/9/1
第14地区,板橋区下板橋駅北側付近,439455,1949/6/9,7,69919,62643,0,7276,155460,142488,9107,3865,0,23.14,23.14,0,1972/9/5
第15地区,江東区亀戸駅南側付近,467036,1950/10/7,6,82667,72403,1127,9137,165061,150244,14607,210,0,21.43,21.43,0,1969/2/1
第16地区,江東区亀戸駅北側付近,500171,1951/3/15,6,82031,71636,0,10395,164318,148258,7340,8720,0,19.68,19.68,0,1966/1/8
第21地区,新宿区早稲田鶴巻町付近,274755,1950/9/12,15,29773,26394,0,3379,87970,81623,5574,773,0,23.76,23.76,0,1976/8/10
第24地区,文京区駒込神明町付近,331795,1950/10/5,5,38630,38299,0,331,105820,97816,8004,0,0,22.91,22.91,0,1971/6/24
第25地区,墨田区押上駅付近,97121,1952/6/7,1,14025,10157,0,3868,38098,36624,1474,0,0,28.97,28.97,0,1964/6/30
第26地区（全体）,品川区大井町駅付近他,152041,1950/8/29,4,22861,18406,0,4455,56949,43838,2044,11067,0,26.39,26.39,0,0
第26地区(1工区),品川区大井町駅付近,"118,477",1950/8/29,0,18548,15226,0,3322,47611,34500,2044,11067,0,29.08,29.08,0,1968/8/15
第26地区(2工区),品川区二葉町4丁目付近,"33,564",1950/8/29,0,4313,3180,0,1133,9338,9338,0,0,0,17.18,17.18,0,1956/4/28
第30地区,杉並区高円寺駅付近,120917,1950/7/8,23,11889,11510,0,379,47478,39656,1502,6320,0,32.64,32.64,0,1975/9/12
第31地区,豊島区巣鴨駅付近,305693,1950/10/5,5,30328,30291,0,37,102185,92804,4860,4521,0,26.1,26.1,0,1969/9/2
第32地区,豊島区駒込駅付近,139086,1951/4/17,2,21435,21098,0,337,46370,40187,3701,2482,0,21.19,21.19,0,1969/3/29
第33地区,北区赤羽駅付近,289263,1950/9/5,7,29912,25101,0,4811,96512,77850,12300,6362,0,25.6,25.6,0,1972/5/23
第34地区,荒川区日暮里駅北側付近,353624,1951/1/30,8,37916,33405,0,4511,119404,106796,6230,6378,0,25.82,25.82,0,1971/5/31
第37地区,板橋区大山東町付近,121876,1952/4/26,0.9,7373,3397,0,3976,32741,28772,3969,0,0,22.15,22.15,0,1961/11/10
第40地区,新宿区戸山ヶ原付近,381763,1951/5/26,4,38259,32266,0,5993,132395,103379,29016,0,0,27.4,27.4,0,1969/3/1
第41地区,大田区蒲田駅東側付近,298803,1952/6/7,6,36196,32138,0,4058,106068,91312,8838,5918,0,26.61,26.61,0,1971/3/31
第42地区,豊島区巣鴨拘置所付近,40598,1954/2/11,0.3,4117,2248,0,1869,12093,10477,1616,0,0,21.8,21.8,0,1956/4/28
