地区一覧（区市別時系列順）,,,"※

",「促」は市街地再開発促進区域、「再」は再開発等促進区を定める地区計画、「特」は都市再生特別地区。また、都市計画決定年月日の（）書きは市街地再開発事業の未都決地区の場合の高度利用地区等の都市計画決定告示日を示します。地区計画と都市再生特別地区については実際に再開発の内容に即して計画内容が定められた時点の告示日を記載しています。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  区市名,番号,地　区　名,施行者,施行区域,区域面積,,都市計画決定,事業認可,権利変換,工事完了公告,敷地面積,延べ面積,建蔽率,容積率,階数,主要用途,住宅建設の目標,,R5.10.31,
,,,,,（ｈａ）,※,年月日,年月日,期日,年月日,（㎡）,（㎡）,（%）,（%）,,,戸数,面積,の状況,
"千代田区
新宿区",1,飯田橋,都,千代田区飯田橋四丁目、新宿区揚場町及び神楽河岸の各地内,2.3 ,,S47.7.13,S53.3.11,S54.4.30,S59.3.31,"8,621","54,539",70.0%,577.0%,地上20階／地下2階,住宅、店舗、事務所、ユースホステル、駐車場,150,"14,300",完了,
千代田区,2,有楽町駅前第１,組合,千代田区有楽町二丁目の一部,1.5 ,,S55.12.5,H14.9.18,H17.3.7,H19.10.7,"6,808","76,466",78.0%,999.0%,地上21階／地下4階(第１地区),店舗、事務所、駐車場,－,－,完了,
千代田区,3,麹町四丁目,個人,千代田区麹町四丁目の一部,0.4 ,促,S62.4.1,S63.1.30,H1.12.12,H4.10.1,"3,910","22,155",50.9%,538.1%,"地上17階／地下3階（住宅棟）
地上14階／地下2階（事務所棟）　",住宅、店舗、事務所、宿泊施設、駅入口,－,－,完了,
千代田区,4,西神田三丁目北部東,組合,千代田区西神田三丁目の一部,0.9 ,,H4.9.14,H6.3.8,H8.2.16,H10.11.20,"4,666","38,787",53.6%,750.0%,地上17階／地下2階,住宅、店舗、事務所、駐車場,30,"4,660",完了,
千代田区,5,神保町一丁目南部,組合,千代田区神田神保町一丁目及び神田錦町三丁目の各地内,2.5 ,,H6.2.7,H7.10.2,H12.2.25,H15.3.14,"14,020","141,409",57.1%,806.2%,地上29階／地下3階,住宅、店舗、事務所、駐車場,270,"25,400",完了,
千代田区,6,西神田三丁目北部西,組合,千代田区西神田三丁目の一部,0.9 ,,H10.6.15,H11.11.24,H13.1.9,H16.1.31,"6,011","63,447",34.0%,868.0%,地上32階／地下2階,住宅、店舗、事務所、駐車場,180,"20,300",完了,
千代田区,7,富士見二丁目北部,組合,千代田区富士見二丁目の一部,1.0 ,,H12.3.17,H15.1.8,H17.3.22,H21.3.31,"7,810","74,000",63.9%,748.0%,地上38階／地下2階,住宅、店舗、事務所、駐車場,350,"43,000",完了,
千代田区,8,霞が関三丁目南,個人,千代田区霞が関一・三丁目の各一部,3.1 ,再,H16.3.1,H16.6.30,H16.12.22,H19.9.28,"24,230","251,030",56.0%,950.0%,地上38階／地下3階（官民棟）,店舗、事務所、駐車場,－,－,完了,
千代田区,9,大手町一丁目,個人,千代田区大手町一丁目地内,1.3 ,特,H18.1.23,H18.12.13,H19.4.1,H21.4.1,"13,400","235,864",69.0%,1590.0%,"地上31階／地下3階（Ａ棟）
地上37階／地下3階（Ｂ棟）
地上23階／地下4階（Ｃ棟）",事務所、会議室、店舗、駐車場等,－,－,完了,
千代田区,10,平河町二丁目東部南,組合,千代田区平河町二丁目の一部,0.7 ,,H18.2.23,H19.3.9,H19.7.28,H21.12.7,"5,600","51,760",45.0%,747.0%,地上24階／地下2階,住宅、店舗、事務所、駐車場,140,"19,500",完了,
