"登録日","男[人]","女[人]","計[人]"
"20230301","94399","110865","205264"
"20221201","94498","110960","205458"
"20220901","94357","110735","205092"
"20220601","93728","110107","203835"
"20220301","93607","110403","204010"
"20211201","93662","110206","203868"
"20210901","93647","110144","203791"
"20210601","93548","109904","203452"
"20210301","93783","110071","203854"
"20201201","94057","110479","204536"
"20200901","94197","110589","204786"
"20200601","93718","110123","203841"
"20200301","93571","109977","203548"
"20191201","93444","110039","203483"
"20190901","93326","109925","203251"
"20190601","92798","109272","202070"
"20190301","92617","109182","201799"
"20181201","92542","109086","201628"
"20180901","92360","108910","201270"
"20180601","91747","108277","200024"
"20180301","91616","108298","199914"
"20171201","91550","108152","199702"
"20170901","91301","107774","199075"
"20170601","90712","107010","197722"
"20170302","90392","106530","196922"
"20161202","90353","106436","196789"
"20160902","90252","106163","196415"
"20160602","88257","103930","192187"
"20160302","87919","103418","191337"
"20151202","87959","103230","191189"
"20150902","87804","102996","190800"
"20150602","87358","102437","189795"

"選挙人名簿(定時)登録者数　令和5年3月1日時点","Ver202304",,
