"年月日[西暦]","地区","町丁目","面積[平方キロメートル]","昼間人口[人]","昼間人口密度[人毎平方キロメートル]","夜間人口[人]","夜間人口密度[人毎平方キロメートル]"
"20201001","芝地区総合支所管内","芝1丁目","0.07","5163","73757","2024","28914"
"20201001","芝地区総合支所管内","芝2丁目","0.16","15925","99531","3573","22331"
"20201001","芝地区総合支所管内","芝3丁目","0.16","15464","96650","3628","22675"
"20201001","芝地区総合支所管内","芝4丁目","0.10","13735","137350","2558","25580"
"20201001","芝地区総合支所管内","芝5丁目","0.22","26291","119505","3048","13855"
"20201001","芝地区総合支所管内","海岸1丁目","0.38","16697","43940","1868","4916"
"20201001","芝地区総合支所管内","東新橋1丁目","0.24","44571","185713","1752","7300"
"20201001","芝地区総合支所管内","東新橋2丁目","0.08","4980","62250","631","7888"
"20201001","芝地区総合支所管内","新橋1丁目","0.07","5412","77314","5","71"
"20201001","芝地区総合支所管内","新橋2丁目","0.11","9129","82991","94","855"
"20201001","芝地区総合支所管内","新橋3丁目","0.06","5280","88000","193","3217"
"20201001","芝地区総合支所管内","新橋4丁目","0.07","4253","60757","515","7357"
"20201001","芝地区総合支所管内","新橋5丁目","0.08","9101","113763","934","11675"
"20201001","芝地区総合支所管内","新橋6丁目","0.08","9850","123125","1035","12938"
"20201001","芝地区総合支所管内","西新橋1丁目","0.10","13081","130810","283","2830"
"20201001","芝地区総合支所管内","西新橋2丁目","0.09","9566","106289","418","4644"
"20201001","芝地区総合支所管内","西新橋3丁目","0.12","10155","84625","920","7667"
"20201001","芝地区総合支所管内","三田1丁目","0.22","10834","49246","4303","19559"
"20201001","芝地区総合支所管内","三田2丁目","0.30","23412","78040","4193","13977"
"20201001","芝地区総合支所管内","三田3丁目","0.18","16456","91422","1655","9194"
"20201001","芝地区総合支所管内","浜松町1丁目","0.10","8067","80670","2382","23820"
"20201001","芝地区総合支所管内","浜松町2丁目","0.09","11355","126167","238","2644"
"20201001","芝地区総合支所管内","芝大門1丁目","0.08","9143","114288","600","7500"
"20201001","芝地区総合支所管内","芝大門2丁目","0.07","6350","90714","696","9943"
"20201001","芝地区総合支所管内","芝公園1丁目","0.07","4005","57214","294","4200"
"20201001","芝地区総合支所管内","芝公園2丁目","0.10","9025","90250","838","8380"
"20201001","芝地区総合支所管内","芝公園3丁目","0.22","4570","20773","337","1532"
"20201001","芝地区総合支所管内","芝公園4丁目","0.26","3588","13800","98","377"
"20201001","芝地区総合支所管内","虎ノ門1丁目","0.12","19414","161783","617","5142"
"20201001","芝地区総合支所管内","虎ノ門2丁目","0.12","11985","99875","15","125"
"20201001","芝地区総合支所管内","虎ノ門3丁目","0.11","9816","89236","2042","18564"
"20201001","芝地区総合支所管内","虎ノ門4丁目","0.08","12099","151238","760","9500"
"20201001","芝地区総合支所管内","虎ノ門5丁目","0.08","3305","41313","360","4500"
"20201001","芝地区総合支所管内","愛宕1丁目","0.03","623","20767","33","1100"
"20201001","芝地区総合支所管内","愛宕2丁目","0.04","4058","101450","613","15325"
"20201001","麻布地区総合支所管内","麻布狸穴町","0.02","411","20550","700","35000"
"20201001","麻布地区総合支所管内","麻布永坂町","0.05","257","5140","242","4840"
"20201001","麻布地区総合支所管内","南麻布1丁目","0.16","3947","24669","4234","26463"
"20201001","麻布地区総合支所管内","南麻布2丁目","0.14","4711","33650","4111","29364"
"20201001","麻布地区総合支所管内","南麻布3丁目","0.19","3439","18100","3161","16637"
"20201001","麻布地区総合支所管内","南麻布4丁目","0.27","3755","13907","3716","13763"
"20201001","麻布地区総合支所管内","南麻布5丁目","0.23","4616","20070","2028","8817"
"20201001","麻布地区総合支所管内","元麻布1丁目","0.09","995","11056","1211","13456"
"20201001","麻布地区総合支所管内","元麻布2丁目","0.14","3153","22521","2112","15086"
"20201001","麻布地区総合支所管内","元麻布3丁目","0.14","2217","15836","1840","13143"
"20201001","麻布地区総合支所管内","西麻布1丁目","0.10","3847","38470","1584","15840"
"20201001","麻布地区総合支所管内","西麻布2丁目","0.13","4025","30962","2737","21054"
"20201001","麻布地区総合支所管内","西麻布3丁目","0.18","4942","27456","3206","17811"
"20201001","麻布地区総合支所管内","西麻布4丁目","0.17","3964","23318","3218","18929"
"20201001","麻布地区総合支所管内","六本木1丁目","0.15","11581","77207","2685","17900"
"20201001","麻布地区総合支所管内","六本木2丁目","0.07","1727","24671","871","12443"
"20201001","麻布地区総合支所管内","六本木3丁目","0.18","8864","49244","3209","17828"
"20201001","麻布地区総合支所管内","六本木4丁目","0.12","3167","26392","1328","11067"
"20201001","麻布地区総合支所管内","六本木5丁目","0.19","6466","34032","2079","10942"
"20201001","麻布地区総合支所管内","六本木6丁目","0.20","18730","93650","1763","8815"
"20201001","麻布地区総合支所管内","六本木7丁目","0.24","5554","23142","2072","8633"
"20201001","麻布地区総合支所管内","麻布台1丁目","0.11","2635","23955","190","1727"
