年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,3,6,7,3,4,8,6,0,5,5,4,12,12,5,3,4,4,5,2,4,2,3,2,2,4,8,7,22,27,3,3,2,4,11,4,9,5,6,7,6,4,2,3,11,10,10,3,5,6,3,3,3,2,1,2,4,5,2,2,2,4,1,1,0,0,4,10,11,7,1,1,1,5,1,2,4,9,9,16,4,12,2,0,4,2,1,0,2,0,5,9,10,14,3,3,3,6,3,0,0,0,7,2,4,3,1,0,1,2,2,0,14,5,4,6,1,3,2,1,2,1,4,2,8,7,8,5,6,2,2,2,1,5,4,4,13,11,3,3,12,14,1,1,6,0,5,8,3,2,1,1,0,0,0,1,0,1,1,0,1,1,3,9,358,358,716
1,2,2,9,10,5,2,9,6,6,4,4,4,8,16,7,4,3,2,1,3,3,3,2,2,9,2,9,8,28,26,1,3,9,7,5,7,8,10,12,10,2,4,5,2,8,9,5,2,1,3,4,10,5,2,3,1,2,2,1,0,3,7,3,2,2,1,8,5,4,3,1,0,3,6,0,2,8,7,10,9,15,12,1,3,3,2,0,0,2,2,9,8,12,21,8,4,1,3,6,4,0,0,3,5,3,4,1,2,3,0,1,0,19,10,3,6,1,1,0,3,1,2,1,2,17,14,8,4,5,5,3,3,1,3,4,3,19,10,4,2,18,11,2,0,3,2,7,3,4,4,1,2,0,0,0,1,0,1,0,2,0,0,6,2,413,374,787
2,1,1,10,3,4,3,1,2,4,6,4,5,16,13,6,5,4,12,1,0,1,3,1,4,6,4,15,11,29,34,2,7,5,6,7,5,1,10,6,6,8,5,3,3,9,10,6,5,8,10,3,5,2,9,2,1,7,7,3,3,3,6,3,0,0,0,14,10,10,12,0,0,2,1,6,2,10,10,13,13,17,15,2,4,6,1,0,0,4,4,16,9,13,13,4,4,7,1,3,2,0,0,8,3,3,7,2,1,2,1,0,2,11,19,11,5,0,0,2,3,1,0,2,1,13,13,10,11,9,10,5,5,2,2,4,3,10,10,9,6,22,27,1,1,4,6,6,2,7,4,1,3,0,0,1,0,1,0,1,1,0,1,7,3,463,455,918
3,1,2,12,11,5,4,2,8,4,10,6,5,11,12,5,6,8,13,2,0,0,3,2,2,8,5,11,10,36,26,2,3,6,5,9,6,4,5,6,6,10,6,1,2,12,5,5,2,0,7,5,2,8,3,3,0,4,3,5,1,6,6,0,3,1,0,6,6,8,6,2,2,4,3,3,3,10,7,17,9,18,15,3,4,6,3,0,0,5,3,12,13,20,13,10,11,5,9,4,4,0,0,6,2,6,3,1,3,1,1,1,0,15,9,3,9,1,6,1,1,0,2,4,3,11,10,9,12,11,3,0,1,2,1,4,4,14,12,3,9,23,20,0,1,3,9,8,5,6,7,3,2,0,0,0,0,0,0,1,0,1,0,5,9,476,437,913
4,1,2,8,8,4,2,5,8,8,8,4,3,14,10,6,11,7,7,3,0,3,0,3,5,5,9,8,9,38,32,7,4,7,9,12,9,10,9,2,5,6,5,4,5,13,9,5,6,6,6,5,5,4,1,0,1,5,6,2,2,4,6,2,8,0,0,11,16,10,13,0,1,8,7,6,8,4,5,12,17,24,17,6,3,5,4,0,0,4,3,22,10,15,17,2,2,5,5,4,7,0,0,5,2,7,6,0,3,1,1,2,1,16,8,10,3,2,1,2,1,0,0,1,2,16,16,11,6,9,5,7,4,4,7,6,1,14,16,6,2,34,23,0,0,8,6,6,3,3,3,4,3,0,0,3,2,1,2,0,1,2,0,8,10,537,483,"1,020"
5,2,1,16,12,7,6,5,8,2,5,5,7,9,7,9,7,7,6,3,1,4,3,2,4,10,5,13,5,37,44,0,3,2,7,12,7,6,8,9,6,2,5,2,0,9,13,8,10,8,7,9,4,3,3,2,2,13,8,5,1,7,7,1,0,0,0,14,18,7,10,0,0,5,3,9,6,6,11,12,14,26,18,4,1,6,7,0,0,3,5,9,9,9,19,4,10,8,6,3,3,0,0,6,10,8,2,5,5,1,2,0,0,15,10,6,8,2,4,2,1,3,3,2,0,22,16,15,21,14,9,2,4,6,6,8,5,23,20,2,6,25,30,1,2,13,4,5,4,6,3,0,4,0,1,2,0,2,0,2,1,2,1,5,3,559,537,"1,096"
6,2,4,11,9,2,4,4,5,4,9,4,2,14,14,7,6,7,8,2,1,2,2,3,3,4,2,8,9,42,36,5,4,5,4,12,10,7,9,4,6,6,3,4,1,10,7,6,9,6,5,6,1,5,7,2,1,7,5,1,7,9,8,4,4,2,2,11,15,9,14,1,0,4,4,7,7,6,4,11,12,33,33,3,3,3,6,1,1,3,4,18,14,14,13,5,3,7,6,1,3,0,0,7,3,1,6,2,1,2,2,1,1,11,17,9,6,2,2,3,3,2,1,0,4,21,13,11,18,7,7,0,0,3,6,5,4,20,17,7,7,22,28,3,4,7,5,9,3,1,6,2,2,0,0,1,0,1,0,2,1,0,0,5,4,521,520,"1,041"
7,3,1,14,5,6,5,12,4,5,5,3,5,15,14,12,5,5,7,1,1,4,3,2,1,7,8,13,8,43,41,6,2,5,7,13,12,4,13,5,6,4,6,3,8,14,12,7,6,7,1,8,4,3,4,0,0,5,7,1,10,10,11,9,6,1,1,11,9,11,11,1,0,4,6,7,10,5,10,14,12,27,43,3,3,5,5,0,0,2,2,16,12,10,16,7,3,4,8,2,4,0,0,8,7,6,11,3,8,2,0,2,1,16,12,7,9,1,4,0,1,2,2,1,1,14,23,21,13,8,6,5,6,8,8,4,6,16,17,5,3,29,32,1,4,8,9,4,5,5,3,5,4,0,1,0,0,3,1,1,1,1,0,10,4,575,585,"1,160"
8,6,1,11,7,3,5,4,8,3,10,4,4,28,13,11,13,11,6,2,2,2,1,1,3,6,3,4,14,58,56,4,4,7,4,8,11,5,4,9,4,1,3,3,2,5,12,5,4,10,4,4,3,5,1,1,1,9,10,6,4,6,10,2,4,1,2,17,10,16,15,0,0,5,3,10,6,6,15,9,14,28,28,1,4,4,5,2,0,1,7,18,12,12,17,6,5,5,9,7,5,0,0,11,4,10,4,1,4,2,4,1,0,12,9,7,4,2,4,3,1,3,2,3,2,15,16,30,25,11,13,5,3,3,5,9,6,11,20,3,9,25,25,2,3,8,8,8,8,3,6,5,3,0,0,3,2,1,2,3,2,2,1,5,3,599,586,"1,185"
