年齢別人口　令和４年６月１日現在,,,
年齢,男,女,合計
0,361,363,724
1,411,368,779
2,465,454,919
3,480,438,918
4,536,489,"1,025"
5,556,534,"1,090"
6,520,523,"1,043"
7,571,589,"1,160"
8,625,583,"1,208"
9,597,547,"1,144"
小計,"5,122","4,888","10,010"
10,607,566,"1,173"
11,617,600,"1,217"
12,627,626,"1,253"
13,682,640,"1,322"
14,620,615,"1,235"
15,660,628,"1,288"
16,608,565,"1,173"
17,625,572,"1,197"
18,704,687,"1,391"
19,738,668,"1,406"
小計,"6,488","6,167","12,655"
20,740,726,"1,466"
21,794,785,"1,579"
22,726,774,"1,500"
23,732,765,"1,497"
24,744,711,"1,455"
25,773,754,"1,527"
26,728,678,"1,406"
27,748,655,"1,403"
28,699,649,"1,348"
29,687,631,"1,318"
小計,"7,371","7,128","14,499"
30,687,636,"1,323"
31,676,611,"1,287"
32,714,598,"1,312"
33,703,716,"1,419"
34,772,715,"1,487"
35,857,773,"1,630"
36,811,804,"1,615"
37,905,835,"1,740"
38,948,903,"1,851"
39,918,944,"1,862"
小計,"7,991","7,535","15,526"
40,942,916,"1,858"
41,"1,020",931,"1,951"
42,"1,053",924,"1,977"
43,"1,111","1,000","2,111"
44,"1,101","1,121","2,222"
45,"1,180","1,081","2,261"
46,"1,138","1,122","2,260"
47,"1,261","1,212","2,473"
48,"1,282","1,236","2,518"
49,"1,259","1,254","2,513"
小計,"11,347","10,797","22,144"
50,"1,385","1,254","2,639"
51,"1,186","1,180","2,366"
52,"1,193","1,151","2,344"
53,"1,231","1,156","2,387"
54,"1,160","1,085","2,245"
55,"1,087",959,"2,046"
56,965,967,"1,932"
57,"1,031","1,021","2,052"
58,981,906,"1,887"
59,895,892,"1,787"
小計,"11,114","10,571","21,685"
60,892,836,"1,728"
61,803,800,"1,603"
62,789,799,"1,588"
63,760,843,"1,603"
64,749,843,"1,592"
65,730,811,"1,541"
66,738,862,"1,600"
67,752,937,"1,689"
68,782,943,"1,725"
69,841,"1,028","1,869"
小計,"7,836","8,702","16,538"
70,914,"1,043","1,957"
71,975,"1,185","2,160"
72,"1,058","1,315","2,373"
73,"1,194","1,380","2,574"
74,"1,228","1,500","2,728"
75,989,"1,162","2,151"
76,630,803,"1,433"
77,775,935,"1,710"
78,883,"1,221","2,104"
79,841,"1,025","1,866"
小計,"9,487","11,569","21,056"
80,844,977,"1,821"
81,716,939,"1,655"
82,635,780,"1,415"
83,492,663,"1,155"
84,527,642,"1,169"
85,457,589,"1,046"
86,383,617,"1,000"
87,324,460,784
88,278,422,700
89,231,396,627
小計,"4,887","6,485","11,372"
90,186,335,521
91,150,279,429
92,92,201,293
93,78,187,265
94,47,172,219
95,38,115,153
96,26,88,114
97,17,70,87
98,10,45,55
99,7,32,39
小計,651,"1,524","2,175"
100以上,5,58,63
合計,"72,299","75,424","147,723"
