年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,2,6,9,3,1,9,5,2,3,3,4,12,9,4,2,5,2,2,2,2,4,2,0,4,5,9,10,26,26,4,4,7,4,11,4,9,7,6,6,7,4,1,0,12,11,8,2,6,5,4,2,3,2,1,2,3,4,2,0,2,3,1,1,0,0,5,11,8,6,0,1,2,5,1,2,6,10,10,14,10,10,4,0,6,3,1,0,2,1,7,7,10,17,2,3,3,5,4,1,0,0,8,1,5,3,1,1,1,2,0,0,17,9,5,7,2,2,0,0,1,2,1,1,9,7,9,4,5,2,3,2,0,4,3,3,11,10,4,3,16,15,1,1,5,1,5,9,2,1,1,0,0,0,0,0,0,0,1,2,0,1,5,7,380,341,721
1,2,2,8,9,6,2,6,6,5,5,4,3,12,16,8,6,1,6,1,2,2,0,2,3,8,2,9,8,29,24,0,2,5,6,6,9,6,9,12,6,4,5,6,3,10,9,6,3,2,7,4,11,4,5,4,0,3,5,3,1,3,6,5,1,1,1,8,5,4,7,1,0,3,5,3,3,6,9,9,6,12,13,1,4,1,0,0,0,1,1,12,9,14,18,9,6,1,2,4,4,0,0,5,6,3,6,1,1,4,0,1,0,17,9,4,7,0,0,0,4,1,1,2,3,15,19,8,8,6,7,2,4,2,3,2,6,17,12,4,3,18,13,2,0,3,3,5,4,5,4,1,4,0,0,0,1,0,1,0,1,0,0,6,2,410,407,817
2,2,1,11,5,3,6,2,6,3,8,4,5,10,12,6,5,7,12,1,0,1,4,2,2,9,5,16,11,34,34,2,8,6,8,5,4,3,8,4,7,5,6,2,1,8,8,5,3,6,9,5,3,2,5,2,1,6,4,1,2,3,8,1,2,0,0,14,9,11,11,0,0,4,2,5,4,10,6,12,11,18,15,2,5,9,2,0,0,5,4,15,11,16,17,6,6,8,3,7,1,0,0,7,2,4,6,2,1,1,2,0,2,14,17,8,4,0,2,1,2,1,0,4,1,15,9,7,9,13,10,3,3,2,2,5,0,10,12,6,7,24,27,1,1,3,8,7,4,8,5,2,2,0,0,1,0,1,0,2,0,1,1,7,4,479,453,932
3,1,3,14,11,5,1,3,4,5,8,6,4,14,10,3,6,6,10,2,0,1,2,1,4,4,6,10,10,33,28,4,3,7,3,11,9,2,7,6,3,10,6,2,2,12,7,7,3,1,3,4,5,9,3,2,0,4,6,5,1,7,3,0,2,1,0,6,7,6,6,2,2,4,4,2,1,9,6,18,11,19,17,4,4,4,4,0,0,6,4,14,14,18,11,6,7,3,9,0,7,0,0,4,2,5,4,1,3,1,2,1,0,19,13,4,8,2,5,1,2,0,2,3,3,12,13,13,10,11,4,1,2,2,4,5,4,13,8,5,7,27,22,0,1,4,5,7,3,4,8,4,2,0,0,0,1,0,0,0,0,1,0,2,8,475,433,908
4,3,3,7,8,3,2,4,11,6,8,4,5,15,11,9,9,6,7,4,0,3,1,3,4,5,7,11,9,39,36,5,3,4,12,14,8,13,6,3,6,6,4,3,5,13,8,6,6,6,5,5,3,3,1,1,2,8,7,3,2,4,8,2,7,0,0,12,18,11,15,0,1,6,7,8,9,4,8,11,17,22,15,6,1,6,5,0,0,5,3,22,6,15,20,1,3,8,3,4,4,0,0,6,5,8,4,0,5,1,2,2,1,14,9,9,6,3,1,2,0,1,0,3,2,15,18,12,10,9,7,7,3,4,4,6,3,19,18,4,1,30,21,0,0,9,5,7,4,4,2,2,3,0,0,3,1,1,2,1,1,1,0,9,7,554,494,"1,048"
5,2,2,19,11,6,6,4,4,2,5,4,6,6,8,8,7,9,7,2,1,5,3,3,4,9,4,9,7,36,38,1,3,4,4,10,10,7,10,7,6,4,5,4,0,9,14,5,11,7,6,10,4,3,3,1,1,9,4,5,2,5,6,2,1,0,1,13,15,9,13,0,0,5,1,9,5,8,10,11,18,26,20,3,1,5,7,0,0,2,6,9,15,10,16,7,9,4,7,3,4,0,0,6,7,7,4,5,3,2,0,0,0,14,14,8,7,1,4,2,2,3,3,2,0,26,18,12,18,13,8,1,3,6,6,7,3,19,23,2,8,25,32,3,3,12,5,5,4,6,6,1,4,0,1,2,0,2,0,2,1,2,1,5,6,542,545,"1,087"
6,1,5,5,9,2,3,6,4,5,7,4,3,15,12,7,6,5,6,2,2,0,1,2,2,5,6,8,8,47,41,5,3,4,5,14,11,4,13,4,6,5,4,3,3,8,7,7,9,8,6,10,4,4,9,2,1,7,7,0,8,10,10,4,4,2,1,10,13,11,11,1,0,5,5,5,9,3,5,11,6,35,40,2,4,3,3,1,1,1,4,16,9,14,13,5,2,8,8,1,3,0,0,8,4,1,4,4,5,1,3,2,2,12,12,7,7,1,2,3,2,1,1,0,4,19,19,13,14,9,7,3,1,6,6,7,5,24,11,7,5,22,27,2,6,6,6,8,3,0,3,1,4,0,0,1,0,2,0,2,1,0,0,7,3,526,529,"1,055"
7,4,1,17,5,8,6,11,7,5,5,5,3,16,15,13,8,7,9,2,1,5,3,3,2,8,4,11,10,39,44,5,4,7,7,8,11,5,9,6,6,4,5,3,6,14,13,7,5,9,0,7,2,4,2,0,0,7,6,2,8,10,10,8,5,0,1,14,9,12,13,1,0,5,5,8,9,5,12,13,12,28,37,3,2,6,7,1,0,2,4,20,14,8,17,5,3,3,6,5,7,0,0,7,6,5,12,1,6,2,0,1,0,14,14,7,8,3,4,0,1,2,3,2,2,11,18,28,23,7,8,2,5,4,6,4,6,8,20,4,5,32,30,0,1,11,7,3,5,6,2,5,5,0,1,1,1,2,1,1,1,2,0,9,3,583,584,"1,167"
8,6,0,9,9,2,5,4,10,2,12,2,5,32,14,9,11,11,6,1,1,1,2,1,2,4,4,8,11,66,50,5,2,6,4,9,13,5,5,10,6,1,3,4,3,7,10,5,5,5,6,3,4,5,3,1,1,10,9,7,7,6,7,2,4,1,2,15,9,16,14,1,0,2,6,11,6,9,12,12,15,42,28,0,5,4,5,1,0,3,6,12,11,12,13,7,6,4,10,6,5,0,0,14,4,12,9,1,2,3,4,1,0,12,4,7,5,2,4,5,1,3,1,3,2,18,17,25,22,9,12,6,6,6,7,9,7,13,19,5,9,23,26,2,4,6,8,10,6,4,7,6,2,1,0,3,2,1,2,3,3,1,1,5,4,626,587,"1,213"
