年齢別人口　令和４年１２月１日現在,,,,
年齢,男,女,合計,
0,363,368,731,
1,403,384,787,
2,428,440,868,
3,517,453,970,
4,481,465,946,
5,575,501,"1,076",
6,536,539,"1,075",
7,550,567,"1,117",
8,582,583,"1,165",
9,631,584,"1,215",
小計,"5,066","4,884","9,950",
10,601,532,"1,133",
11,607,579,"1,186",
12,624,646,"1,270",
13,639,613,"1,252",
14,649,649,"1,298",
15,654,626,"1,280",
16,637,597,"1,234",
17,625,567,"1,192",
18,658,633,"1,291",
19,726,705,"1,431",
小計,"6,420","6,147","12,567",
20,758,693,"1,451",
21,790,755,"1,545",
22,799,802,"1,601",
23,736,746,"1,482",
24,733,754,"1,487",
25,713,704,"1,417",
26,775,703,"1,478",
27,702,682,"1,384",
28,714,677,"1,391",
29,709,675,"1,384",
小計,"7,429","7,191","14,620",
30,720,634,"1,354",
31,702,631,"1,333",
32,751,619,"1,370",
33,691,654,"1,345",
34,776,731,"1,507",
35,860,758,"1,618",
36,805,794,"1,599",
37,876,829,"1,705",
38,944,903,"1,847",
39,914,918,"1,832",
小計,"8,039","7,471","15,510",
40,983,956,"1,939",
41,945,917,"1,862",
42,"1,054",925,"1,979",
43,"1,073",976,"2,049",
44,"1,135","1,050","2,185",
45,"1,126","1,147","2,273",
46,"1,202","1,093","2,295",
47,"1,151","1,143","2,294",
48,"1,294","1,253","2,547",
49,"1,296","1,230","2,526",
小計,"11,259","10,690","21,949",
50,"1,333","1,282","2,615",
51,"1,274","1,202","2,476",
52,"1,221","1,199","2,420",
53,"1,177","1,145","2,322",
54,"1,224","1,175","2,399",
55,"1,173","1,060","2,233",
56,902,842,"1,744",
57,"1,084","1,066","2,150",
58,"1,008",965,"1,973",
59,943,906,"1,849",
小計,"11,339","10,842","22,181",
60,888,849,"1,737",
61,833,849,"1,682",
62,790,774,"1,564",
63,770,833,"1,603",
64,771,861,"1,632",
65,710,798,"1,508",
66,760,812,"1,572",
67,751,931,"1,682",
68,743,933,"1,676",
69,797,986,"1,783",
小計,"7,813","8,626","16,439",
70,896,"1,051","1,947",
71,932,"1,108","2,040",
72,972,"1,230","2,202",
73,"1,152","1,387","2,539",
74,"1,232","1,423","2,655",
75,"1,126","1,342","2,468",
76,724,914,"1,638",
77,737,870,"1,607",
78,828,"1,110","1,938",
79,835,"1,113","1,948",
小計,"9,434","11,548","20,982",
80,864,"1,005","1,869",
81,736,942,"1,678",
82,673,863,"1,536",
83,569,719,"1,288",
84,468,617,"1,085",
85,489,582,"1,071",
86,395,603,998,
87,328,528,856,
88,295,408,703,
89,220,413,633,
小計,"5,037","6,680","11,717",
90,202,348,550,
91,154,266,420,
92,106,227,333,
93,76,178,254,
94,42,161,203,
95,42,124,166,
96,29,95,124,
97,17,69,86,
98,9,44,53,
99,3,32,35,
小計,680,"1,544","2,224",
100以上,8,56,64,
合計,"72,524","75,679","148,203",
,,,,
