年齢別人口　令和４年９月１日現在,,,,
年齢,男,女,合計,
0,341,354,695,
1,413,368,781,
2,455,435,890,
3,489,468,957,
4,515,466,981,
5,564,526,"1,090",
6,529,533,"1,062",
7,569,572,"1,141",
8,585,576,"1,161",
9,617,578,"1,195",
小計,"5,077","4,876","9,953",
10,604,537,"1,141",
11,641,586,"1,227",
12,604,622,"1,226",
13,668,642,"1,310",
14,635,633,"1,268",
15,652,622,"1,274",
16,607,585,"1,192",
17,623,588,"1,211",
18,684,654,"1,338",
19,736,686,"1,422",
小計,"6,454","6,155","12,609",
20,750,706,"1,456",
21,816,768,"1,584",
22,742,776,"1,518",
23,709,749,"1,458",
24,770,755,"1,525",
25,732,724,"1,456",
26,753,686,"1,439",
27,741,668,"1,409",
28,684,645,"1,329",
29,708,632,"1,340",
小計,"7,405","7,109","14,514",
30,718,662,"1,380",
31,675,619,"1,294",
32,740,602,"1,342",
33,666,675,"1,341",
34,771,709,"1,480",
35,850,783,"1,633",
36,800,808,"1,608",
37,906,817,"1,723",
38,922,887,"1,809",
39,913,930,"1,843",
小計,"7,961","7,492","15,453",
40,963,919,"1,882",
41,967,928,"1,895",
42,"1,047",954,"2,001",
43,"1,100",968,"2,068",
44,"1,081","1,086","2,167",
45,"1,123","1,120","2,243",
46,"1,192","1,104","2,296",
47,"1,235","1,183","2,418",
48,"1,254","1,239","2,493",
49,"1,279","1,259","2,538",
小計,"11,241","10,760","22,001",
50,"1,388","1,251","2,639",
51,"1,233","1,202","2,435",
52,"1,198","1,151","2,349",
53,"1,204","1,176","2,380",
54,"1,198","1,147","2,345",
55,"1,118",983,"2,101",
56,965,907,"1,872",
57,"1,025","1,043","2,068",
58,"1,001",949,"1,950",
59,922,863,"1,785",
小計,"11,252","10,672","21,924",
60,896,861,"1,757",
61,827,831,"1,658",
62,762,781,"1,543",
63,779,849,"1,628",
64,759,837,"1,596",
65,714,808,"1,522",
66,740,851,"1,591",
67,775,907,"1,682",
68,728,932,"1,660",
69,840,"1,029","1,869",
小計,"7,820","8,686","16,506",
70,898,"1,031","1,929",
71,934,"1,132","2,066",
72,"1,023","1,298","2,321",
73,"1,188","1,374","2,562",
74,"1,229","1,455","2,684",
75,"1,080","1,270","2,350",
76,632,844,"1,476",
77,784,922,"1,706",
78,841,"1,172","2,013",
79,833,"1,060","1,893",
小計,"9,442","11,558","21,000",
80,870,985,"1,855",
81,741,935,"1,676",
82,624,843,"1,467",
83,544,661,"1,205",
84,506,646,"1,152",
85,459,575,"1,034",
86,399,626,"1,025",
87,315,498,813,
88,288,418,706,
89,223,381,604,
小計,"4,969","6,568","11,537",
90,195,347,542,
91,157,264,421,
92,94,212,306,
93,77,188,265,
94,48,165,213,
95,40,120,160,
96,30,91,121,
97,16,70,86,
98,10,38,48,
99,6,32,38,
小計,673,"1,527","2,200",
100以上,6,58,64,
合計,"72,300","75,461","147,761",
,,,,
