年齢別人口　令和４年３月１日現在,,,,
年齢,男,女,合計,
0,380,332,712,
1,413,405,818,
2,480,430,910,
3,467,451,918,
4,556,490,"1,046",
5,544,543,"1,087",
6,525,531,"1,056",
7,576,590,"1,166",
8,635,595,"1,230",
9,566,527,"1,093",
小計,"5,142","4,894","10,036",
10,621,573,"1,194",
11,609,607,"1,216",
12,650,626,"1,276",
13,645,642,"1,287",
14,630,609,"1,239",
15,657,640,"1,297",
16,624,542,"1,166",
17,605,592,"1,197",
18,622,649,"1,271",
19,720,642,"1,362",
小計,"6,383","6,122","12,505",
20,760,709,"1,469",
21,747,744,"1,491",
22,775,750,"1,525",
23,752,789,"1,541",
24,744,691,"1,435",
25,773,730,"1,503",
26,725,672,"1,397",
27,716,682,"1,398",
28,700,649,"1,349",
29,658,622,"1,280",
小計,"7,350","7,038","14,388",
30,682,625,"1,307",
31,706,626,"1,332",
32,673,625,"1,298",
33,720,684,"1,404",
34,786,752,"1,538",
35,818,741,"1,559",
36,845,810,"1,655",
37,898,854,"1,752",
38,939,907,"1,846",
39,941,946,"1,887",
小計,"8,008","7,570","15,578",
40,916,921,"1,837",
41,"1,071",918,"1,989",
42,"1,053",914,"1,967",
43,"1,086","1,035","2,121",
44,"1,159","1,105","2,264",
45,"1,180","1,071","2,251",
46,"1,125","1,141","2,266",
47,"1,256","1,228","2,484",
48,"1,302","1,230","2,532",
49,"1,265","1,286","2,551",
小計,"11,413","10,849","22,262",
50,"1,357","1,199","2,556",
51,"1,182","1,180","2,362",
52,"1,173","1,154","2,327",
53,"1,237","1,176","2,413",
54,"1,186","1,053","2,239",
55,959,906,"1,865",
56,"1,054",991,"2,045",
57,"1,024",999,"2,023",
58,941,886,"1,827",
59,903,879,"1,782",
小計,"11,016","10,423","21,439",
60,873,849,"1,722",
61,787,794,"1,581",
62,774,787,"1,561",
63,743,854,"1,597",
64,757,837,"1,594",
65,718,809,"1,527",
66,768,908,"1,676",
67,751,905,"1,656",
68,803,999,"1,802",
69,849,"1,027","1,876",
小計,"7,823","8,769","16,592",
70,952,"1,073","2,025",
71,966,"1,180","2,146",
72,"1,099","1,366","2,465",
73,"1,223","1,405","2,628",
74,"1,198","1,448","2,646",
75,865,"1,038","1,903",
76,677,844,"1,521",
77,832,"1,014","1,846",
78,872,"1,178","2,050",
79,859,"1,027","1,886",
小計,"9,543","11,573","21,116",
80,812,959,"1,771",
81,707,920,"1,627",
82,617,752,"1,369",
83,497,661,"1,158",
84,520,614,"1,134",
85,443,604,"1,047",
86,400,608,"1,008",
87,328,440,768,
88,264,439,703,
89,232,405,637,
小計,"4,820","6,402","11,222",
90,185,308,493,
91,128,269,397,
92,96,211,307,
93,65,207,272,
94,53,154,207,
95,45,119,164,
96,21,93,114,
97,13,66,79,
98,9,50,59,
99,8,26,34,
小計,623,"1,503","2,126",
100以上,5,59,64,
合計,"72,126","75,202","147,328",
,,,,
