年齢別人口　令和４年１月１日現在,,,,
年齢,男,女,合計,
0,371,337,708,
1,420,407,827,
2,507,440,947,
3,468,445,913,
4,555,508,"1,063",
5,541,531,"1,072",
6,538,552,"1,090",
7,583,588,"1,171",
8,617,597,"1,214",
9,602,530,"1,132",
小計,"5,202","4,935","10,137",
10,594,572,"1,166",
11,630,633,"1,263",
12,630,599,"1,229",
13,647,648,"1,295",
14,636,617,"1,253",
15,647,615,"1,262",
16,617,565,"1,182",
17,617,598,"1,215",
18,628,632,"1,260",
19,745,659,"1,404",
小計,"6,391","6,138","12,529",
20,740,729,"1,469",
21,760,737,"1,497",
22,787,758,"1,545",
23,738,762,"1,500",
24,761,683,"1,444",
25,782,737,"1,519",
26,738,684,"1,422",
27,683,681,"1,364",
28,708,666,"1,374",
29,647,615,"1,262",
小計,"7,344","7,052","14,396",
30,693,628,"1,321",
31,712,628,"1,340",
32,669,615,"1,284",
33,743,693,"1,436",
34,816,753,"1,569",
35,794,757,"1,551",
36,860,810,"1,670",
37,904,877,"1,781",
38,933,905,"1,838",
39,946,954,"1,900",
小計,"8,070","7,620","15,690",
40,944,897,"1,841",
41,"1,045",915,"1,960",
42,"1,057",954,"2,011",
43,"1,114","1,013","2,127",
44,"1,162","1,124","2,286",
45,"1,168","1,081","2,249",
46,"1,152","1,148","2,300",
47,"1,265","1,231","2,496",
48,"1,309","1,221","2,530",
49,"1,303","1,310","2,613",
小計,"11,519","10,894","22,413",
50,"1,295","1,179","2,474",
51,"1,222","1,188","2,410",
52,"1,168","1,146","2,314",
53,"1,229","1,168","2,397",
54,"1,194","1,077","2,271",
55,899,837,"1,736",
56,"1,083","1,026","2,109",
57,"1,006",965,"1,971",
58,954,916,"1,870",
59,900,865,"1,765",
小計,"10,950","10,367","21,317",
60,829,843,"1,672",
61,812,773,"1,585",
62,763,820,"1,583",
63,752,861,"1,613",
64,729,828,"1,557",
65,748,805,"1,553",
66,763,926,"1,689",
67,748,926,"1,674",
68,818,984,"1,802",
69,875,"1,068","1,943",
小計,"7,837","8,834","16,671",
70,946,"1,087","2,033",
71,980,"1,193","2,173",
72,"1,170","1,421","2,591",
73,"1,225","1,428","2,653",
74,"1,172","1,378","2,550",
75,781,954,"1,735",
76,723,877,"1,600",
77,844,"1,081","1,925",
78,871,"1,146","2,017",
79,881,"1,010","1,891",
小計,"9,593","11,575","21,168",
80,774,969,"1,743",
81,701,898,"1,599",
82,613,738,"1,351",
83,488,649,"1,137",
84,521,627,"1,148",
85,443,617,"1,060",
86,379,575,954,
87,328,418,746,
88,259,469,728,
89,227,385,612,
小計,"4,733","6,345","11,078",
90,178,290,468,
91,127,268,395,
92,100,209,309,
93,58,197,255,
94,52,155,207,
95,38,113,151,
96,23,93,116,
97,12,69,81,
98,12,47,59,
99,6,23,29,
小計,606,"1,464","2,070",
100以上,5,54,59,
合計,"72,250","75,278","147,528",
,,,,
