年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,0,3,6,10,5,3,8,4,5,2,3,3,8,9,4,4,5,4,3,2,2,4,0,1,7,5,11,11,33,23,4,3,8,6,8,6,6,6,8,4,7,4,1,1,12,10,11,3,4,6,5,5,2,1,0,2,3,3,1,0,3,5,1,2,0,0,8,10,5,5,0,2,1,2,0,2,6,10,8,11,12,10,4,0,5,2,1,0,2,1,4,7,9,16,5,3,3,5,5,3,0,0,3,2,3,3,0,1,1,2,0,0,17,8,3,5,1,2,1,0,0,1,2,0,9,9,7,6,4,3,3,2,0,3,3,3,8,13,3,3,21,10,1,0,3,1,6,6,3,3,1,1,0,0,0,0,0,0,1,2,0,1,5,3,371,337,708
1,3,1,7,5,4,1,7,3,6,6,4,1,13,18,6,6,2,9,0,2,2,0,3,2,6,2,10,5,26,24,1,2,6,5,8,8,3,12,11,6,5,6,6,3,10,10,4,2,3,8,2,9,5,6,5,0,4,5,1,2,4,5,5,0,1,1,6,8,7,9,1,0,1,3,3,3,9,9,11,9,11,16,1,5,2,0,0,0,2,3,16,7,17,14,6,5,1,2,2,2,0,0,6,6,2,5,1,1,2,0,1,0,18,12,8,6,0,0,0,4,1,1,2,3,15,15,10,7,6,7,2,3,3,5,3,5,17,10,7,5,17,21,2,1,3,5,4,3,3,3,1,3,0,0,0,1,0,1,1,1,0,1,6,2,420,407,827
2,2,2,14,11,6,6,2,8,5,8,8,5,11,7,6,4,8,10,3,0,1,5,0,2,10,6,18,13,30,35,1,6,4,9,4,3,2,6,5,6,7,6,1,3,10,7,8,3,4,8,5,3,3,3,2,1,5,5,6,0,5,7,1,2,0,0,12,7,11,9,2,0,0,2,4,3,10,5,14,10,23,14,4,5,9,3,0,0,5,4,13,13,14,13,7,7,9,5,7,3,0,0,8,1,4,5,3,2,1,2,1,0,16,14,6,4,0,3,1,2,1,0,5,2,15,8,4,9,18,9,2,4,2,0,5,1,11,12,3,6,27,24,0,1,4,7,7,4,10,6,2,3,0,0,1,0,1,0,1,0,1,0,6,8,507,440,947
3,0,3,10,8,4,2,2,5,3,9,1,3,7,11,4,8,7,7,1,0,2,1,1,6,3,6,7,8,43,30,8,3,6,6,11,9,5,5,3,4,8,6,3,1,14,6,6,4,3,3,7,4,7,3,1,0,4,4,2,1,7,4,1,3,1,0,9,10,8,12,1,2,4,5,2,6,4,7,18,11,22,17,2,3,3,3,0,0,5,4,14,12,20,16,2,6,2,7,2,6,0,0,2,2,8,3,0,4,1,2,0,0,17,9,5,9,2,4,3,1,0,2,2,6,10,11,15,8,10,4,1,2,2,6,5,4,13,11,6,6,31,24,0,2,4,4,7,3,3,7,4,4,0,0,1,1,1,0,0,2,2,0,3,4,468,445,913
4,4,3,10,9,2,4,4,7,6,7,4,3,16,8,9,8,7,7,4,0,4,2,4,3,8,7,14,9,37,38,1,5,4,10,13,7,9,10,5,6,7,4,2,5,11,9,6,8,4,6,4,4,3,0,1,2,13,10,2,2,5,6,0,6,0,0,14,17,13,10,0,1,5,6,10,5,4,9,10,15,20,16,6,1,7,5,0,0,4,6,19,6,12,20,4,7,9,5,2,4,0,0,8,6,8,4,3,4,1,2,0,1,16,10,9,7,3,2,0,0,1,1,4,0,17,20,14,13,9,8,8,3,4,4,6,3,21,21,3,2,24,22,0,1,11,8,6,3,3,2,1,1,0,1,3,1,1,2,1,0,1,1,7,7,555,508,"1,063"
5,1,2,17,10,9,4,4,5,2,5,3,5,5,11,10,4,9,8,1,2,4,2,2,4,6,3,6,7,35,35,1,2,7,3,13,11,7,10,5,7,3,4,5,1,6,13,9,10,10,5,10,3,4,7,2,1,6,1,5,2,7,9,3,2,0,2,13,15,7,14,0,0,6,3,8,5,8,8,12,18,28,22,3,1,5,7,1,1,2,2,16,14,13,16,4,6,2,7,3,4,0,0,8,8,4,3,2,2,3,1,0,0,13,17,6,5,2,3,3,2,4,2,3,2,27,18,9,17,9,8,0,2,7,7,5,3,19,21,6,9,27,29,3,2,10,3,7,5,6,7,2,3,0,0,1,0,1,0,2,2,1,0,3,7,541,531,"1,072"
6,1,4,7,10,3,3,10,3,5,7,5,4,13,9,10,7,6,8,2,1,0,1,2,1,7,8,10,11,48,41,7,3,4,6,15,13,4,14,6,3,5,4,3,3,11,7,4,7,7,4,8,6,2,5,2,1,9,7,1,9,6,6,8,5,2,0,9,11,11,11,1,0,3,5,6,10,5,7,12,10,37,43,3,5,1,5,0,0,2,6,12,11,9,13,5,2,9,8,1,3,0,0,4,4,2,6,4,6,1,2,3,2,11,11,9,10,0,2,4,2,1,2,0,2,15,21,14,12,11,6,3,4,6,6,5,7,21,15,4,3,25,29,1,7,7,8,5,4,2,3,1,3,0,1,1,0,2,0,4,0,0,0,13,3,538,552,"1,090"
7,5,1,15,4,6,6,6,9,4,7,3,2,22,16,11,7,8,6,1,2,5,3,2,2,6,2,10,12,50,49,6,3,7,6,4,9,7,5,5,4,4,6,3,7,10,11,6,7,12,1,6,3,4,3,1,0,6,10,2,8,10,10,3,5,0,1,14,11,13,14,1,0,5,3,9,7,5,16,11,12,26,36,2,2,7,5,1,0,1,5,19,17,9,17,5,4,3,5,6,6,0,0,13,4,7,12,1,6,2,0,1,0,17,12,5,4,3,4,1,1,3,3,2,3,14,17,30,28,7,12,4,4,3,6,5,3,11,19,4,4,25,29,0,0,10,6,5,6,4,5,7,6,0,0,1,1,2,2,0,1,3,0,6,3,583,588,"1,171"
8,6,0,8,9,2,7,3,11,4,11,2,5,30,14,9,12,8,6,2,1,1,3,1,4,5,5,13,11,60,53,2,3,8,4,8,13,4,5,9,7,2,2,7,3,8,11,7,6,1,7,4,3,5,5,0,1,10,7,6,7,8,9,4,4,1,1,14,6,20,12,1,0,4,6,9,7,8,9,14,15,42,32,2,4,3,7,1,0,5,4,12,12,15,12,8,4,3,12,6,7,0,0,9,3,8,10,1,1,3,4,0,0,11,7,8,4,2,3,4,2,3,1,4,4,16,16,24,16,11,11,4,5,7,6,7,7,11,17,5,8,25,31,2,4,7,10,9,8,5,5,4,1,1,0,3,2,1,1,3,4,0,1,4,6,617,597,"1,214"
