年齢別人口　令和４年４月１日現在,,,,
年齢,男,女,合計,
0,380,341,721,
1,410,407,817,
2,479,453,932,
3,475,433,908,
4,554,494,"1,048",
5,542,545,"1,087",
6,526,529,"1,055",
7,583,584,"1,167",
8,626,587,"1,213",
9,590,537,"1,127",
小計,"5,165","4,910","10,075",
10,614,571,"1,185",
11,596,604,"1,200",
12,668,639,"1,307",
13,645,627,"1,272",
14,634,625,"1,259",
15,672,634,"1,306",
16,603,552,"1,155",
17,618,579,"1,197",
18,671,672,"1,343",
19,725,650,"1,375",
小計,"6,446","6,153","12,599",
20,742,731,"1,473",
21,765,755,"1,520",
22,749,751,"1,500",
23,749,810,"1,559",
24,746,692,"1,438",
25,757,728,"1,485",
26,722,666,"1,388",
27,713,685,"1,398",
28,712,635,"1,347",
29,669,612,"1,281",
小計,"7,324","7,065","14,389",
30,694,643,"1,337",
31,686,613,"1,299",
32,689,625,"1,314",
33,715,696,"1,411",
34,787,747,"1,534",
35,836,760,"1,596",
36,811,801,"1,612",
37,917,849,"1,766",
38,945,902,"1,847",
39,946,952,"1,898",
小計,"8,026","7,588","15,614",
40,905,921,"1,826",
41,"1,055",928,"1,983",
42,"1,074",905,"1,979",
43,"1,087","1,029","2,116",
44,"1,134","1,122","2,256",
45,"1,178","1,062","2,240",
46,"1,128","1,143","2,271",
47,"1,258","1,225","2,483",
48,"1,284","1,206","2,490",
49,"1,293","1,292","2,585",
小計,"11,396","10,833","22,229",
50,"1,363","1,233","2,596",
51,"1,173","1,163","2,336",
52,"1,178","1,160","2,338",
53,"1,231","1,161","2,392",
54,"1,172","1,061","2,233",
55,"1,006",933,"1,939",
56,"1,035",971,"2,006",
57,"1,024","1,021","2,045",
58,946,888,"1,834",
59,903,887,"1,790",
小計,"11,031","10,478","21,509",
60,873,846,"1,719",
61,798,788,"1,586",
62,781,801,"1,582",
63,736,836,"1,572",
64,774,831,"1,605",
65,711,816,"1,527",
66,753,913,"1,666",
67,754,923,"1,677",
68,788,954,"1,742",
69,848,"1,044","1,892",
小計,"7,816","8,752","16,568",
70,933,"1,042","1,975",
71,974,"1,189","2,163",
72,"1,104","1,334","2,438",
73,"1,190","1,414","2,604",
74,"1,210","1,464","2,674",
75,916,"1,073","1,989",
76,648,834,"1,482",
77,827,976,"1,803",
78,856,"1,184","2,040",
79,861,"1,040","1,901",
小計,"9,519","11,550","21,069",
80,819,966,"1,785",
81,715,943,"1,658",
82,618,758,"1,376",
83,504,651,"1,155",
84,520,629,"1,149",
85,445,607,"1,052",
86,391,598,989,
87,330,447,777,
88,271,436,707,
89,232,398,630,
小計,"4,845","6,433","11,278",
90,188,328,516,
91,133,268,401,
92,96,206,302,
93,72,199,271,
94,48,162,210,
95,48,119,167,
96,19,93,112,
97,15,69,84,
98,10,48,58,
99,8,25,33,
小計,637,"1,517","2,154",
100以上,5,63,68,
合計,"72,210","75,342","147,552",
,,,,
