年齢別人口　令和４年１０月１日現在,,,,
年齢,男,女,合計,
0,343,362,705,
1,411,377,788,
2,439,427,866,
3,498,464,962,
4,501,468,969,
5,574,513,"1,087",
6,532,534,"1,066",
7,560,562,"1,122",
8,588,587,"1,175",
9,634,580,"1,214",
小計,"5,080","4,874","9,954",
10,589,542,"1,131",
11,616,578,"1,194",
12,619,624,"1,243",
13,662,641,"1,303",
14,627,634,"1,261",
15,662,615,"1,277",
16,624,602,"1,226",
17,616,574,"1,190",
18,676,637,"1,313",
19,744,709,"1,453",
小計,"6,435","6,156","12,591",
20,737,692,"1,429",
21,803,764,"1,567",
22,766,788,"1,554",
23,709,746,"1,455",
24,777,765,"1,542",
25,717,720,"1,437",
26,759,671,"1,430",
27,725,672,"1,397",
28,687,659,"1,346",
29,712,648,"1,360",
小計,"7,392","7,125","14,517",
30,709,646,"1,355",
31,684,607,"1,291",
32,748,617,"1,365",
33,661,653,"1,314",
34,776,729,"1,505",
35,865,770,"1,635",
36,788,814,"1,602",
37,880,800,"1,680",
38,953,893,"1,846",
39,909,922,"1,831",
小計,"7,973","7,451","15,424",
40,958,924,"1,882",
41,952,920,"1,872",
42,"1,060",941,"2,001",
43,"1,108",983,"2,091",
44,"1,078","1,079","2,157",
45,"1,120","1,134","2,254",
46,"1,206","1,097","2,303",
47,"1,198","1,164","2,362",
48,"1,248","1,245","2,493",
49,"1,300","1,251","2,551",
小計,"11,228","10,738","21,966",
50,"1,365","1,254","2,619",
51,"1,237","1,216","2,453",
52,"1,221","1,175","2,396",
53,"1,199","1,128","2,327",
54,"1,200","1,162","2,362",
55,"1,134","1,010","2,144",
56,941,895,"1,836",
57,"1,034","1,044","2,078",
58,"1,016",937,"1,953",
59,923,889,"1,812",
小計,"11,270","10,710","21,980",
60,901,848,"1,749",
61,808,828,"1,636",
62,791,779,"1,570",
63,759,857,"1,616",
64,772,835,"1,607",
65,721,808,"1,529",
66,734,833,"1,567",
67,765,912,"1,677",
68,731,936,"1,667",
69,831,"1,013","1,844",
小計,"7,813","8,649","16,462",
70,898,"1,036","1,934",
71,930,"1,120","2,050",
72,"1,016","1,278","2,294",
73,"1,171","1,384","2,555",
74,"1,232","1,445","2,677",
75,"1,101","1,292","2,393",
76,652,859,"1,511",
77,772,910,"1,682",
78,854,"1,166","2,020",
79,822,"1,056","1,878",
小計,"9,448","11,546","20,994",
80,859,994,"1,853",
81,759,957,"1,716",
82,637,838,"1,475",
83,550,673,"1,223",
84,500,647,"1,147",
85,457,580,"1,037",
86,403,614,"1,017",
87,315,507,822,
88,286,424,710,
89,230,390,620,
小計,"4,996","6,624","11,620",
90,190,342,532,
91,153,262,415,
92,102,223,325,
93,75,181,256,
94,50,160,210,
95,37,130,167,
96,29,89,118,
97,17,72,89,
98,10,39,49,
99,4,33,37,
小計,667,"1,531","2,198",
100以上,8,56,64,
合計,"72,310","75,460","147,770",
,,,,
