,,,,,,,(単位：トン）
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入
チュニス,238,58,180,コンゴ民主共和国,123,123,-
ガベス,15,15,-,マタディ,90,90,-
スース,2,2,-,諸港(コンゴ民主共和国),33,33,-
諸港(チュニジア),160,38,122,カメルーン,71,13,58
リビア,119,119,-,デュアラ,61,3,58
トリポリ,104,104,-,諸港(カメルーン),10,10,-
ミスラタ,15,15,-,モーリシャス,"3,379","2,605",774
エジプト,"11,079","7,220","3,859",ポートルイス,"3,378","2,604",774
ポートサイド,738,435,303,諸港(ﾓｰﾘｼｬｽ),1,1,-
アレキサンドリア,"4,974","4,974",-,ナミビア,3,3,-
ダミエッタ,"2,505","1,241","1,264",ウォルビスベイ,2,2,-
ソクナポート,"2,538",498,"2,040",諸港(ナミビア),1,1,-
諸港(エジプト),324,72,252,セーシェル,1,1,-
スーダン,46,46,-,諸港(ｾｰｼｪﾙ),1,1,-
ポートスーダン,41,41,-,セントヘレナ,1,1,-
諸港(スーダン),5,5,-,諸港(ｾﾝﾄﾍﾚﾅ),1,1,-
モーリタニア,19,4,15,太洋州,"309,831","77,095","232,736"
ヌアクショット,15,-,15,オーストラリア,"67,364","51,998","15,366"
諸港(ﾓｰﾘﾀﾆｱ),4,4,-,タウンズビル,103,103,-
セネガル,390,375,15,ブリスベーン,"6,176","5,350",826
ダカール,390,375,15,シドニー,"22,668","21,494","1,174"
ギニア,73,73,-,メルボルン,"19,281","15,201","4,080"
コナクリ,73,73,-,アデレード,"7,400","3,445","3,955"
シエラレオネ,4,4,-,ダーウィン,23,23,-
諸港(ｼｴﾗﾚｵﾈ),4,4,-,フリマントル,"11,136","5,805","5,331"
リベリア,22,22,-,パース,13,13,-
モンロビア,22,22,-,諸港(ｵｰｽﾄﾗﾘｱ),564,564,-
コートジボアール,334,323,11,パプアニューギニア,829,829,-
アビジャン,334,323,11,ラエ,563,563,-
ガーナ,"4,930","3,087","1,843",諸港(パプアニューギニア),266,266,-
テマ,"4,827","3,087","1,740",ニュージーランド,"238,698","21,328","217,370"
タコラジー,90,-,90,オークランド,"16,603","15,190","1,413"
諸港(ガーナ),13,-,13,タウランガ,"90,286",184,"90,102"
トーゴ,15,15,-,ニュープリマス,330,330,-
ロメ,15,15,-,ウエリントン,"9,886","3,964","5,922"
ベナン,64,64,-,ネルソン,"1,980",60,"1,920"
コトヌ,64,64,-,リッテルトン,"44,648","1,091","43,557"
ナイジェリア,"8,748","8,748",-,ポートチャルマース,319,-,319
ポートハーコート,420,420,-,ナピア,"73,770",320,"73,450"
アパパ,"7,955","7,955",-,ブラフ,672,-,672
諸港(ナイジェリア),373,373,-,クリストチャーチ,160,145,15
ガボン,48,48,-,ハミルトン,1,1,-
リブレビル,48,48,-,諸港(ニュージーランド),43,43,-
ジプチ,102,102,-,フィジー,"1,759","1,759",-
ジブチ,102,102,-,スバ,"1,759","1,759",-
ケニア,"3,230","3,185",45,仏領ポリネシア,"1,063","1,063",-
モンバサ,"3,215","3,185",30,パペーテ（タヒチ島）,"1,063","1,063",-
諸港(ケニア),15,-,15,クック諸島,45,45,-
モザンビーク,126,119,7,ラロトンガ,45,45,-
ベイラ,60,60,-,グアム,65,65,-
マプト,66,59,7,グアム,60,60,-
マダガスカル,18,16,2,諸港(グアム),5,5,-
タマタブ,16,16,-,ニューカレドニア,8,8,-
マジュンガ,2,-,2,ヌメア,8,8,
南アフリカ,"30,984","27,740","3,244",,,,
ダーバン,"25,249","24,377",872,,,,
ポートエリザベス,382,382,-,,,,
ケープタウン,"4,826","2,499","2,327",,,,
諸港(南アフリカ),527,482,45,,,,
タンザニア,512,512,-,,,,
ダルエスサラム,512,512,-,,,,
アンゴラ,1,1,-,,,,
ルアンダ,1,1,-,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
