航路別,6月,,7月,,,8月,,,9月,,,10月,,,11月,,,12月,,,航路別
,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,
合計,"1,108,206","2,881,266","4,239,659","1,066,185","3,173,474","3,759,829","905,808","2,854,021","4,000,361","1,084,229","2,916,132","3,821,027","985,054","2,835,973","3,993,999","1,024,900","2,969,099","3,960,971","1,172,632","2,788,339",合計
定期航路計,"1,108,206","2,881,266","4,239,659","1,066,185","3,173,474","3,759,829","905,808","2,854,021","4,000,361","1,084,229","2,916,132","3,821,027","985,054","2,835,973","3,993,999","1,024,900","2,969,099","3,960,971","1,172,632","2,788,339",定期航路計
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,世界一周
北米西岸(メキシコ含む),"67,430","353,753","507,905","125,868","382,037","427,640","85,868","341,772","410,710","105,532","305,178","311,423","90,664","220,759","337,426","70,688","266,738","333,272","65,606","267,666",北米西岸(メキシコ含む)
北米東岸(カリビア海含む),"63,344","54,657","143,096","60,233","82,863","137,138","64,358","72,780","125,704","58,030","67,674","127,909","54,350","73,559","129,394","55,416","73,978","124,443","55,974","68,469",北米東岸(カリビア海含む)
北欧・地中海,"254,740","135,964","398,513","232,167","166,346","314,034","159,942","154,092","527,047","276,267","250,780","382,059","185,748","196,311","472,334","224,193","248,141","538,035","303,838","234,197",北欧・地中海
南米西岸,"4,992","37,785","45,858","9,415","36,443","43,839","4,921","38,918","37,267","2,424","34,843","18,849","2,223","16,626","45,044","6,245","38,799","32,573","3,765","28,808",南米西岸
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,南米東岸･南ア経由
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,アフリカ
オセアニア,"2,343","20,625","28,045","4,546","23,499","15,494","2,330","13,164","17,018","3,055","13,963","25,070","4,364","20,706","14,261","2,978","11,283","16,754","2,608","14,146",オセアニア
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,印パ･ペルシャ･ベンガル
東南アジア,"470,408","1,217,277","1,831,799","439,760","1,392,039","1,580,010","380,513","1,199,497","1,734,955","455,430","1,279,525","1,703,259","450,141","1,253,118","1,715,780","457,241","1,258,539","1,748,560","536,608","1,211,952",東南アジア
台湾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,台湾
韓国,"45,631","117,382","149,434","37,958","111,476","143,925","41,289","102,636","118,746","27,739","91,007","142,268","32,335","109,933","144,751","36,699","108,052","132,818","37,872","94,946",韓国
中国(香港含む),"199,318","943,823","1,135,009","156,238","978,771","1,097,749","166,587","931,162","1,028,914","155,752","873,162","1,110,190","165,229","944,961","1,135,009","171,440","963,569","1,034,516","166,361","868,155",中国(香港含む)
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ナホトカ
不定期航路,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,不定期航路
,,,,,,,,,,,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,,,,,,,,,,
