,,,,,,,,,,,,(単位：隻、総トン、キロトン、フレートトン、TEU）,,
年次,外航コンテナ船,,外貿コンテナ貨物,,,コンテナ個数（２０フィート換算個数）,,,,,,,,
,,,,,,合計,,,輸出,,輸入,,,
,隻数,総トン数,計,輸出,輸入,計,実入,空,実入,空,実入,空,,
昭和42年(1967),7,"99,095","39,741",不　明,不　明,"1,168",,,,,,,,
　　43年(1968),48,"727,265","179,701","78,424","101,277","16,140",,,,,,,,
　　44年(1969),109,"1,761,273","678,435","271,117","407,318","54,816",,空コンテナを含めた個数,,,,,,
　　45年(1970),114,"1,832,460","877,849","405,854","471,995","54,266",,内訳不明,,,,,,
　　46年(1971),73,"1,314,802","795,664","434,646","361,018","33,672",,,,,,,,
　　47年(1972),206,"5,302,079","2,368,189","1,271,844","1,096,345","90,468",,,,,,,,
　　48年(1973),517,"12,076,594","4,778,021","2,463,460","2,314,561","331,276","301,917","29,359","152,812","12,012","149,105","17,347",,
　　49年(1974),612,"13,870,380","5,788,690","2,923,998","2,864,692","370,564","327,150","43,414","162,936","19,735","164,214","23,679",,
　　50年(1975),794,"15,862,858","4,709,545","2,590,724","2,118,821","358,744","291,349","67,395","152,687","20,278","138,662","47,117",,
　　51年(1976),899,"17,640,410","6,452,919","3,759,748","2,693,171","469,518","388,746","80,772","215,099","20,348","173,647","60,424",,
　　52年(1977),"1,086","21,101,975","7,590,107","4,353,459","3,236,648","504,530","424,874","79,656","230,979","29,982","193,895","49,674",,
　　53年(1978),"1,200","23,080,932","8,752,089","4,751,575","4,000,514","550,502","487,205","63,297","245,030","37,356","242,175","25,941",,
　　54年(1979),"1,277","24,625,508","8,973,334","4,562,531","4,410,803","580,747","510,579","70,168","246,650","45,021","263,929","25,147",,
　　55年(1980),"1,351","26,525,707","9,564,026","5,315,960","4,248,066","631,505","539,793","91,712","285,793","33,201","254,000","58,511",,
　　56年(1981),"1,456","28,934,424","10,106,482","5,837,001","4,269,481","695,162","569,057","126,105","315,077","36,509","253,980","89,596",,
　　57年(1982),"1,525","29,419,364","9,596,716","5,332,321","4,264,395","655,095","543,993","111,102","297,056","39,235","246,937","71,867",,
　　58年(1983),"1,700","33,021,304","10,017,283","5,506,982","4,510,301","698,321","578,915","119,406","314,298","46,783","264,617","72,623",,
　　59年(1984),"1,656","35,670,093","11,789,301","6,675,411","5,113,890","786,060","651,654","134,406","359,714","48,240","291,940","86,166",,
　　60年(1985),"1,917","44,837,969","12,362,761","6,982,902","5,379,859","847,776","719,080","128,696","391,475","49,115","327,605","79,581",,
　　61年(1986),"2,018","52,045,120","13,799,252","7,197,192","6,602,060","913,171","785,755","127,416","403,346","60,824","382,409","66,592",,
　　62年(1987),"2,177","59,525,642","16,578,040","7,774,178","8,803,862","1,092,701","953,899","138,802","444,171","89,095","509,728","49,707",,
　　63年(1988),"2,220","64,504,107","17,583,725","7,794,847","9,788,878","1,184,769","1,030,137","154,632","457,804","114,726","572,333","39,906",,
平成 元年(1989),"2,168","64,868,744","17,704,944","8,028,506","9,676,438","1,232,089","1,055,289","176,800","471,285","124,861","584,004","51,939",,
　　 2年(1990),"2,423","70,077,928","19,397,254","9,391,435","10,005,819","1,328,263","1,158,990","169,273","551,006","95,198","607,984","74,075",,
　　 3年(1991),"2,656","75,407,101","21,947,557","10,287,956","11,659,601","1,529,606","1,324,649","204,957","611,859","126,864","712,790","78,093",,
　　 4年(1992),"2,713","75,987,249","21,472,471","9,919,165","11,553,306","1,467,922","1,266,187","201,735","573,292","119,210","692,895","82,525",,
　　 5年(1993),"2,358","62,421,067","17,515,363","7,428,448","10,086,915","1,276,452","1,123,829","152,623","474,505","113,128","649,324","39,495",,
　　 6年(1994),"2,645","68,460,656","20,364,690","8,270,739","12,093,951","1,509,387","1,330,186","179,201","544,720","150,462","785,466","28,739",,
　　 7年(1995),"3,086","79,068,704","24,128,257","9,816,272","14,311,985","1,845,561","1,583,479","262,082","614,907","240,151","968,572","21,931",,
　　 8年(1996),"3,245","86,364,328","30,062,123","12,821,735","17,240,388","2,006,910","1,689,443","317,467","631,767","295,788","1,057,676","21,679",,
　　 9年(1997),"3,674","94,758,768","31,297,241","13,757,313","17,539,928","2,089,038","1,771,527","317,511","674,233","295,070","1,097,294","22,441",,
