,,,,,,,,,,,(単位：トン）
品種,,ナヴァセバ,ノーフォーク,"ホーチミン
及びカトライ",南沙,台中,マニラ,バンクーバー,黄埔,ペナン,大連
合計,,"136,496","130,040","125,983","124,107","118,983","118,956","110,500","109,718","104,132","98,121"
農水産品,,52,-,"13,899",89,621,"5,610","1,751",-,"3,644",43
1,麦,-,-,-,-,-,-,-,-,-,-
2,米,-,-,-,-,2,-,204,-,-,-
3,とうもろこし,-,-,-,-,-,-,-,-,-,-
4,豆類,-,-,-,-,-,-,15,-,-,-
5,その他雑穀,-,-,-,-,-,-,-,-,-,-
6,野菜・果物,30,-,148,-,585,30,71,-,-,11
7,綿花,-,-,-,89,-,-,-,-,-,-
8,その他農産品,-,-,195,-,30,1,139,-,-,7
9,羊毛,-,-,-,-,-,-,-,-,-,-
10,その他畜産品,-,-,168,-,-,94,15,-,-,-
11,水産品,22,-,"13,388",-,4,"5,485","1,307",-,"3,644",25
林産品,,-,-,-,-,224,-,-,-,-,"2,844"
12,原木,-,-,-,-,171,-,-,-,-,-
13,製材,-,-,-,-,53,-,-,-,-,"2,814"
14,樹脂類,-,-,-,-,-,-,-,-,-,30
15,木材チップ,-,-,-,-,-,-,-,-,-,-
16,その他林産品,-,-,-,-,-,-,-,-,-,-
17,薪炭,-,-,-,-,-,-,-,-,-,-
鉱産品,,10,-,15,210,"1,986",21,4,450,75,842
18,石炭,-,-,-,-,-,-,-,-,-,-
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-
20,金属鉱,-,-,-,-,-,-,-,-,-,-
21,砂利・砂,-,-,-,-,1,-,-,-,-,-
22,石材,-,-,-,-,27,-,-,-,-,-
23,原油,-,-,-,-,-,-,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-
25,石灰石,-,-,-,-,-,-,-,-,-,-
26,原塩,-,-,-,-,-,-,4,-,-,-
27,非金属鉱物,10,-,15,210,"1,958",21,-,450,75,842
金属機械工業品,,"30,664","98,533","24,507","2,419","18,749","42,082","66,357","52,794","23,251","45,970"
28,鉄鋼,-,-,15,30,-,8,5,10,-,-
29,鋼材,"14,469","1,547","3,768",3,"1,471","1,045","3,262","3,795","1,340","2,138"
30,非鉄金属,105,719,420,-,266,"1,599","1,226",6,"8,120","2,631"
31,金属製品,246,299,"2,261",9,"2,440","5,013","2,078","6,009","4,174","4,708"
32,鉄道車両,-,-,-,-,-,2,-,-,-,-
33,完成自動車,"1,200",-,-,-,91,960,"3,330",68,-,17
34,その他輸送用車両,-,-,36,-,358,8,320,-,106,-
35,二輪自動車,-,-,103,-,-,-,6,-,-,-
36,自動車部品,"1,382","86,107",338,75,523,"2,456","22,797","15,285",352,803
37,その他輸送機械,3,-,19,-,7,27,123,1,-,-
38,産業機械,"11,480","9,116","5,998","1,780","3,211","16,723","30,344","18,093","2,097","20,686"
39,電気機械,"1,262",196,"10,030",494,"8,842","13,328","1,496","5,206","5,868","13,625"
40,測量・光学・医療機械,385,349,"1,502",27,"1,095",304,"1,365","4,321",254,"1,261"
41,事務用機器,126,200,16,1,9,242,5,-,900,100
42,その他機械,6,-,1,-,436,367,-,-,40,1
化学工業品,,"95,393","25,775","36,314","8,383","29,314","18,689","12,797","32,235","40,660","25,882"
43,陶磁器,86,-,-,-,672,-,103,20,-,30
44,セメント,-,-,-,-,-,-,6,-,-,-
45,ガラス類,615,-,252,-,120,161,630,16,"26,363",87
46,窯業品,564,-,422,-,"1,294",865,236,95,75,128
47,重油,-,-,-,-,-,-,-,-,-,-
48,揮発油,-,-,-,-,-,-,-,-,-,-
49,その他の石油,9,-,586,-,120,17,7,336,-,221
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-
52,その他石油製品,37,15,37,-,30,13,7,315,-,-
53,コークス,-,-,-,-,-,-,-,-,-,-
54,石炭製品,-,-,-,-,-,-,-,-,-,-
55,化学薬品,"11,593","3,712","1,643",403,"9,964","2,172","4,658","3,005",512,"1,270"
56,化学肥料,-,-,-,-,30,-,-,-,-,-
57,その他化学工業品,"82,489","22,048","33,374","7,980","17,084","15,461","7,150","28,448","13,710","24,146"
軽工業品,,"1,461","3,431","7,965",159,"4,103","3,153","10,455",157,178,"7,010"
58,紙・パルプ,366,"2,482","3,496",14,"2,484","1,032",558,123,33,"4,933"
59,糸及び紡績半製品,8,49,255,-,6,-,3,-,-,-
60,その他繊維工業品,966,-,671,51,148,920,151,19,23,465
