,,,,,,,,,,,,,,,,,,,(単位：トン）,,
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,,
合計,"46,663,348","12,154,980","34,508,368",銅陵,121,121,-,ウジュンパンダン,120,-,120,ウム　カザル,526,526,-,バーレーン,"2,450","2,225",225,,
アジア,"33,947,036","7,521,128","26,425,908",新会,"10,060","9,011","1,049",サマリンダ,"6,856",-,"6,856",バグダード,16,16,-,諸港（バーレーン）,748,-,748,,
韓国,"1,786,703","438,708","1,347,995",揚州,"1,512",518,994,バンジャルマシン,"1,584",-,"1,584",諸港(イラク),196,196,-,ブルネイ,250,250,-,,
仁川,"136,226","58,348","77,878",肇慶,"2,513","1,459","1,054",ポンチアナ,"13,826",-,"13,826",イエメン,630,630,-,ムアラ,250,250,-,,
群山,"20,353","13,500","6,853",?州,47,47,-,スラバヤ,"210,788","24,669","186,119",ムカラー,285,285,-,東チモール,3,3,-,,
釜山,"1,417,978","249,223","1,168,755",杭州,"7,350","7,350",-,セマラン,"90,409","7,760","82,649",アデン,345,345,-,ディリ,3,3,-,,
浦項,790,177,613,"新港,天津","788,993","141,024","647,969",ジャカルタ,"808,559","276,361","532,198",サウジアラビア,"29,021","17,475","11,546",ヨーロッパ,"3,398,632","1,192,000","2,206,632",,
光陽,"133,918","76,765","57,153",乍浦,"174,326","65,294","109,032",ベラワン,"35,640",697,"34,943",ジエッダ,"7,999","7,190",809,アイスランド,792,792,-,,
蔚山,"33,657","1,841","31,816",石島,"46,481",411,"46,070",ジャンビ,"9,932",-,"9,932",ジュバイル,"3,587","1,367","2,220",レイキャビーク,790,790,-,,
平沢,707,707,-,金州,41,41,-,パレンバン,"11,787",308,"11,479",諸港（サウジアラビア）,"17,435","8,918","8,517",諸港(アイスランド),2,2,-,,
諸港(韓国),"43,074","38,147","4,927",大?湾,45,45,-,パダン,15,-,15,クウェート,"5,145","5,115",30,ノルウェー,"14,974","1,059","13,915",,
中国,"17,920,496","2,993,910","14,926,586",馬尾,477,477,-,パンジャン,"3,266",28,"3,238",クウェート,61,46,15,ベルゲン,478,1,477,,
香港,"2,008,575","426,006","1,582,569",無錫,"3,320","3,320",-,バタン,"6,012","4,169","1,843",シャイバ,138,138,-,クルスチャンサン,178,135,43,,
大連,"845,467","98,121","747,346",三山,"22,678","3,235","19,443",タンジュンプリオク,"78,506","78,506",-,シュワイカ,"4,945","4,930",15,オスロ,676,447,229,,
