,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
品種,,ロサンゼルス,上海,タコマ,レムチャバン,ロッテルダム,寧波－舟山,香港,サバンナ,ハイフォン,ジャカルタ,釜山,ポートケラン,シンガポール,ハンブルグ,青島,基隆,ロングビーチ,太倉,高雄,"新港,天津",品種,
合計,,"1,199,339","772,034","602,849","563,927","472,876","443,110","426,006","419,908","360,458","276,361","249,223","239,775","225,101","220,690","197,727","193,264","190,203","187,598","156,067","141,024",合計,
農水産品,,"7,460",443,"1,505","28,341",193,494,"20,354",-,"8,510",230,"4,279","1,458","10,898",286,422,"17,782",233,-,"6,981",202,農水産品,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,1,麦
2,米,"1,309",-,-,-,90,-,589,-,-,54,-,12,494,24,-,155,3,-,12,-,2,米
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,3,とうもろこし
4,豆類,-,-,33,-,30,-,59,-,-,-,-,-,-,-,-,100,9,-,15,-,4,豆類
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀
6,野菜・果物,141,-,45,"1,078",-,45,"6,674",-,390,60,-,369,"2,543",75,270,"14,404",31,-,"3,189",14,6,野菜・果物
7,綿花,-,65,-,-,-,30,-,-,-,-,-,-,-,-,17,-,-,-,-,-,7,綿花
8,その他農産品,"2,110",371,-,10,68,419,408,-,57,12,55,714,"2,092",142,135,778,2,-,802,188,8,その他農産品
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛
10,その他畜産品,612,-,-,"12,182",-,-,"7,101",-,"2,400",-,885,-,"1,333",-,-,191,3,-,-,-,10,その他畜産品
11,水産品,"3,288",7,"1,427","15,071",5,-,"5,523",-,"5,663",104,"3,339",363,"4,406",45,-,"2,150",185,-,"2,963",-,11,水産品
林産品,,-,"1,430",-,141,-,127,3,-,37,124,105,-,5,-,316,47,-,"3,213",872,60,林産品,
12,原木,-,84,-,-,-,-,-,-,-,-,104,-,-,-,-,28,-,-,831,-,12,原木
13,製材,-,"1,285",-,-,-,-,1,-,-,61,-,-,-,-,316,-,-,"3,213",41,60,13,製材
14,樹脂類,-,61,-,10,-,81,-,-,37,60,1,-,5,-,-,-,-,-,-,-,14,樹脂類
15,木材チップ,-,-,-,131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ
16,その他林産品,-,-,-,-,-,46,-,-,-,3,-,-,-,-,-,-,-,-,-,-,16,その他林産品
17,薪炭,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,19,-,-,-,-,17,薪炭
鉱産品,,"1,156","4,980",-,487,31,276,361,795,90,893,867,160,75,86,195,555,246,-,949,103,鉱産品,
18,石炭,-,37,-,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石
20,金属鉱,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,金属鉱
21,砂利・砂,-,30,-,-,-,-,-,-,-,260,-,76,-,23,-,-,-,-,-,-,21,砂利・砂
22,石材,2,-,-,-,-,-,-,510,-,-,9,-,-,-,-,-,-,-,-,-,22,石材
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,25,石灰石
26,原塩,-,10,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩
27,非金属鉱物,"1,153","4,903",-,228,31,276,361,285,90,633,858,84,75,62,195,555,246,-,949,103,27,非金属鉱物
