,,,,,,,,,,,,,(単位：トン）,,,,,,,
品種,,13号地その2,,,,,,大井,,,その他,,,,,,,,,
,,青海コンテナふ頭(埠頭㈱),,,お台場ライナーふ頭,,,大井コンテナふ頭,,,合計,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,
合計,,"6,671,121","1,529,226","5,141,895","22,612","3,075","19,537","25,115,361","7,757,943","17,357,418","2,178,818","480,468","1,698,350",,,,,,,
農水産品,,"488,992","48,375","440,617","1,575",-,"1,575","3,028,354","146,735","2,881,619","110,771","1,853","108,918",,,,,,,
1,麦,"2,787",-,"2,787",585,-,585,"19,411",-,"19,411",30,-,30,,,,,,,
2,米,"8,558",503,"8,055",-,-,-,"12,829","3,084","9,745",165,-,165,,,,,,,
3,とうもろこし,"1,428",-,"1,428",-,-,-,"8,605",30,"8,575",60,-,60,,,,,,,
4,豆類,"22,548",68,"22,480",480,-,480,"104,800",155,"104,645",720,17,703,,,,,,,
5,その他雑穀,"2,355",-,"2,355",-,-,-,"3,662",-,"3,662",-,-,-,,,,,,,
6,野菜・果物,"145,858","11,171","134,687",285,-,285,"674,832","17,010","657,822","50,887",141,"50,746",,,,,,,
7,綿花,129,-,129,-,-,-,297,132,165,-,-,-,,,,,,,
8,その他農産品,"31,473","2,535","28,938",225,-,225,"159,957","6,214","153,743","10,857",88,"10,769",,,,,,,
9,羊毛,75,-,75,-,-,-,320,-,320,-,-,-,,,,,,,
10,その他畜産品,"140,798","11,683","129,115",-,-,-,"1,348,646","7,911","1,340,735","29,901","1,064","28,837",,,,,,,
11,水産品,"132,983","22,415","110,568",-,-,-,"694,995","112,199","582,796","18,151",543,"17,608",,,,,,,
林産品,,"335,175","2,222","332,953","6,255",-,"6,255","373,994","3,249","370,745","36,861","2,722","34,139",,,,,,,
12,原木,"1,940","1,216",724,-,-,-,"1,270",299,971,71,-,71,,,,,,,
13,製材,"303,762",870,"302,892","6,255",-,"6,255","319,584","2,790","316,794","35,275","2,692","32,583",,,,,,,
14,樹脂類,"17,009",120,"16,889",-,-,-,"28,352",126,"28,226",-,-,-,,,,,,,
15,木材チップ,"1,793",-,"1,793",-,-,-,"3,002",22,"2,980",15,-,15,,,,,,,
16,その他林産品,946,16,930,-,-,-,313,3,310,30,30,-,,,,,,,
17,薪炭,"9,725",-,"9,725",-,-,-,"21,473",9,"21,464","1,470",-,"1,470",,,,,,,
鉱産品,,"56,892","1,935","54,957",-,-,-,"132,837","6,579","126,258","35,348","6,841","28,507",,,,,,,
18,石炭,"7,119",75,"7,044",-,-,-,"26,678",75,"26,603",450,-,450,,,,,,,
19,鉄鉱石,106,-,106,-,-,-,495,-,495,30,-,30,,,,,,,
20,金属鉱,48,3,45,-,-,-,"4,528",1,"4,527",-,-,-,,,,,,,
21,砂利・砂,"4,664",19,"4,645",-,-,-,"7,777",107,"7,670",270,-,270,,,,,,,
22,石材,"7,746",15,"7,731",-,-,-,"38,797",872,"37,925","31,689","4,593","27,096",,,,,,,
23,原油,90,-,90,-,-,-,"2,146",-,"2,146",-,-,-,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
25,石灰石,180,-,180,-,-,-,97,1,96,-,-,-,,,,,,,
26,原塩,"1,784",-,"1,784",-,-,-,"6,712",50,"6,662",60,-,60,,,,,,,
27,非金属鉱物,"35,155","1,823","33,332",-,-,-,"45,607","5,473","40,134","2,849","2,248",601,,,,,,,
金属機械工業品,,"1,665,115","508,269","1,156,846","2,440","2,038",402,"7,624,293","3,898,683","3,725,610","651,974","111,565","540,409",,,,,,,
28,鉄鋼,"8,260","3,554","4,706",14,14,-,"35,234","14,447","20,787",258,12,246,,,,,,,
29,鋼材,"75,504","63,543","11,961",70,70,-,"165,575","127,788","37,787","4,011","1,660","2,351",,,,,,,
30,非鉄金属,"25,381","14,299","11,082",-,-,-,"140,140","60,342","79,798","7,377",586,"6,791",,,,,,,
31,金属製品,"243,952","41,870","202,082",45,15,30,"840,898","196,396","644,502","79,993","7,295","72,698",,,,,,,
32,鉄道車両,276,78,198,-,-,-,"3,863",464,"3,399",-,-,-,,,,,,,
33,完成自動車,"26,722","24,034","2,688",-,-,-,"68,369","51,188","17,181",429,50,379,,,,,,,
34,その他輸送用車両,"10,256",636,"9,620",165,-,165,"32,778","1,293","31,485","10,174",122,"10,052",,,,,,,
35,二輪自動車,"2,885",235,"2,650",-,-,-,"70,587","23,682","46,905",364,15,349,,,,,,,
36,自動車部品,"211,452","121,614","89,838","1,359","1,359",-,"1,779,049","1,283,867","495,182","84,951","31,452","53,499",,,,,,,
37,その他輸送機械,"82,635","1,016","81,619",108,108,-,"173,745","56,345","117,400","8,039",444,"7,595",,,,,,,
38,産業機械,"325,576","141,473","184,103",437,407,30,"2,126,608","1,379,123","747,485","183,680","39,542","144,138",,,,,,,
39,電気機械,"543,334","64,813","478,521",182,5,177,"1,739,860","510,199","1,229,661","222,719","14,486","208,233",,,,,,,
40,測量・光学・医療機械,"80,075","25,351","54,724",60,60,-,"330,355","163,683","166,672","32,840","15,446","17,394",,,,,,,
41,事務用機器,"23,374","3,080","20,294",-,-,-,"97,143","24,057","73,086","15,637",432,"15,205",,,,,,,
42,その他機械,"5,433","2,673","2,760",-,-,-,"20,089","5,809","14,280","1,502",23,"1,479",,,,,,,
化学工業品,,"811,056","349,320","461,736","1,687",397,"1,290","3,247,527","1,374,010","1,873,517","203,607","102,211","101,396",,,,,,,
43,陶磁器,"16,975",577,"16,398",-,-,-,"97,523","7,665","89,858","6,266",53,"6,213",,,,,,,
44,セメント,639,114,525,-,-,-,"11,737",245,"11,492","2,281",60,"2,221",,,,,,,
45,ガラス類,"46,083","31,306","14,777",-,-,-,"111,436","33,614","77,822","26,268","2,431","23,837",,,,,,,
46,窯業品,"54,415","14,765","39,650",720,-,720,"173,972","76,147","97,825","5,531","2,270","3,261",,,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
48,揮発油,-,-,-,-,-,-,339,-,339,-,-,-,,,,,,,
49,その他の石油,"6,507","3,900","2,607",15,15,-,"27,352","15,636","11,716",777,130,647,,,,,,,
50,LNG/液化天然ガス,15,-,15,-,-,-,45,-,45,-,-,-,,,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
52,その他石油製品,"3,780",817,"2,963",-,-,-,"13,300","4,330","8,970",707,137,570,,,,,,,
53,コークス,"4,320",-,"4,320",-,-,-,"1,125",-,"1,125",90,-,90,,,,,,,
54,石炭製品,482,-,482,-,-,-,"6,255","6,114",141,300,-,300,,,,,,,
55,化学薬品,"122,222","35,727","86,495",705,135,570,"479,635","186,636","292,999","25,239","5,579","19,660",,,,,,,
56,化学肥料,"6,560",157,"6,403",-,-,-,"20,391","1,650","18,741","1,020",-,"1,020",,,,,,,
57,その他化学工業品,"549,058","261,957","287,101",247,247,-,"2,304,417","1,041,973","1,262,444","135,128","91,551","43,577",,,,,,,
軽工業品,,"873,280","87,600","785,680","2,917",37,"2,880","3,124,820","427,843","2,696,977","170,537","9,249","161,288",,,,,,,
58,紙・パルプ,"164,174","26,594","137,580","2,550",-,"2,550","555,443","151,516","403,927","54,028","1,529","52,499",,,,,,,
