,,,,,,,,,,,,,(単位：トン）,,
品種,,定期航路,,,,,,,,,不定期航路,,,,
,,近畿,,,九州,,,沖縄,,,合計,,,,
,,計,移出,移入,計,移出,移入,計,移出,移入,計,移出,移入,,
合計,,"103,952","13,314","90,638","330,266","131,280","198,986","499,805","415,190","84,615","549,303","365,078","184,225",,
農水産品,,280,280,-,"8,030","4,890","3,140",-,-,-,"108,073","80,970","27,103",,
1,麦,-,-,-,650,445,205,-,-,-,"6,584","6,584",-,,
2,米,-,-,-,460,455,5,-,-,-,605,605,-,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,427,427,-,,
4,豆類,-,-,-,790,235,555,-,-,-,"14,187","14,095",92,,
5,その他雑穀,-,-,-,255,255,-,-,-,-,"1,462","1,462",-,,
6,野菜・果物,-,-,-,"5,380","3,050","2,330",-,-,-,"40,468","39,486",982,,
7,綿花,-,-,-,-,-,-,-,-,-,30,-,30,,
8,その他農産品,-,-,-,110,90,20,-,-,-,"5,236","4,809",427,,
9,羊毛,-,-,-,-,-,-,-,-,-,21,21,-,,
10,その他畜産品,-,-,-,380,355,25,-,-,-,"19,819","5,509","14,310",,
11,水産品,280,280,-,5,5,-,-,-,-,"19,234","7,972","11,262",,
林産品,,-,-,-,"2,455","2,115",340,-,-,-,"16,603","9,941","6,662",,
12,原木,-,-,-,-,-,-,-,-,-,22,22,-,,
13,製材,-,-,-,130,115,15,-,-,-,"10,222","9,874",348,,
14,樹脂類,-,-,-,"2,165","1,855",310,-,-,-,45,45,-,,
15,木材チップ,-,-,-,-,-,-,-,-,-,"4,738",-,"4,738",,
16,その他林産品,-,-,-,145,145,-,-,-,-,"1,576",-,"1,576",,
17,薪炭,-,-,-,15,-,15,-,-,-,-,-,-,,
鉱産品,,-,-,-,"1,130",520,610,-,-,-,"2,458","2,458",-,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,,
20,金属鉱,-,-,-,-,-,-,-,-,-,"1,875","1,875",-,,
21,砂利・砂,-,-,-,790,205,585,-,-,-,263,263,-,,
22,石材,-,-,-,310,285,25,-,-,-,58,58,-,,
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,,
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,,
26,原塩,-,-,-,-,-,-,-,-,-,-,-,-,,
27,非金属鉱物,-,-,-,30,30,-,-,-,-,262,262,-,,
金属機械工業品,,745,645,100,"18,395","14,515","3,880","38,908","38,908",-,"71,630","41,546","30,084",,
28,鉄鋼,-,-,-,90,5,85,-,-,-,120,120,-,,
29,鋼材,-,-,-,"1,145",680,465,-,-,-,251,50,201,,
30,非鉄金属,-,-,-,15,-,15,-,-,-,"3,529","3,529",-,,
31,金属製品,-,-,-,"2,740","1,200","1,540",-,-,-,"8,793","4,739","4,054",,
32,鉄道車両,-,-,-,-,-,-,-,-,-,-,-,-,,
33,完成自動車,-,-,-,5,5,-,-,-,-,510,140,370,,
34,その他輸送用車両,-,-,-,-,-,-,-,-,-,60,60,-,,
35,二輪自動車,-,-,-,-,-,-,-,-,-,-,-,-,,
36,自動車部品,-,-,-,"10,250","10,070",180,-,-,-,"9,594","4,142","5,452",,
37,その他輸送機械,-,-,-,-,-,-,-,-,-,31,31,-,,
38,産業機械,-,-,-,395,190,205,-,-,-,"7,488","2,217","5,271",,
39,電気機械,545,495,50,"1,310",35,"1,275",-,-,-,"16,931","11,982","4,949",,
40,測量・光学・医療機械,200,150,50,65,10,55,-,-,-,"12,443","6,404","6,039",,
41,事務用機器,-,-,-,"2,085","2,065",20,"38,908","38,908",-,"1,127","1,105",22,,
42,その他機械,-,-,-,295,255,40,-,-,-,"10,753","7,027","3,726",,
化学工業品,,30,-,30,"10,870","5,295","5,575",-,-,-,"25,575","13,340","12,235",,
43,陶磁器,-,-,-,-,-,-,-,-,-,94,94,-,,
44,セメント,-,-,-,285,285,-,-,-,-,136,6,130,,
45,ガラス類,-,-,-,700,700,-,-,-,-,241,169,72,,
46,窯業品,-,-,-,30,5,25,-,-,-,"2,980","2,025",955,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,,
49,その他の石油,-,-,-,"1,925","1,865",60,-,-,-,-,-,-,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,,
51,LPG/液化石油ガス,-,-,-,15,-,15,-,-,-,"2,251","2,251",-,,
52,その他石油製品,-,-,-,155,135,20,-,-,-,65,65,-,,
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,,
55,化学薬品,-,-,-,"5,575","1,060","4,515",-,-,-,"2,359","1,625",734,,
56,化学肥料,-,-,-,"1,820",980,840,-,-,-,45,30,15,,
57,その他化学工業品,30,-,30,365,265,100,-,-,-,"17,404","7,075","10,329",,
軽工業品,,516,516,-,"119,325","52,100","67,225","35,090","11,176","23,914","108,250","93,104","15,146",,
58,紙・パルプ,-,-,-,"47,610","3,205","44,405",-,-,-,"12,457","9,058","3,399",,
59,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,244,184,60,,
60,その他繊維工業品,-,-,-,-,-,-,-,-,-,"1,204","1,015",189,,
61,砂糖,-,-,-,"4,145","3,870",275,-,-,-,"9,943","3,509","6,434",,
62,製造食品,516,516,-,"34,040","27,450","6,590","11,176","11,176",-,"26,241","21,252","4,989",,
63,飲料,-,-,-,"22,630","15,885","6,745","23,914",-,"23,914","9,179","9,111",68,,
64,水,-,-,-,"9,300",345,"8,955",-,-,-,-,-,-,,
65,たばこ,-,-,-,"1,380","1,305",75,-,-,-,60,60,-,,
66,その他食料工業品,-,-,-,220,40,180,-,-,-,"48,922","48,915",7,,
雑工業品,,232,232,-,"30,895","28,080","2,815",-,-,-,"21,883","15,816","6,067",,
67,がん具,-,-,-,135,130,5,-,-,-,111,-,111,,
68,衣服・身廻品・はきもの,15,15,-,235,225,10,-,-,-,"7,305","5,100","2,205",,
69,文房具・運動娯楽用品・楽器,-,-,-,10,-,10,-,-,-,"2,268","1,361",907,,
70,家具装備品,217,217,-,885,185,700,-,-,-,"2,027","1,780",247,,
71,その他日用品,-,-,-,"11,070","10,435",635,-,-,-,"5,465","4,751",714,,
72,ゴム製品,-,-,-,"6,760","6,520",240,-,-,-,"2,261",393,"1,868",,
73,木製品,-,-,-,-,-,-,-,-,-,"2,266","2,266",-,,
74,その他製造工業品,-,-,-,"11,800","10,585","1,215",-,-,-,180,165,15,,
特殊品,,"102,149","11,641","90,508","139,166","23,765","115,401","425,807","365,106","60,701","194,831","107,903","86,928",,
75,金属くず,-,-,-,-,-,-,-,-,-,"1,198",508,690,,
76,再利用資材,-,-,-,-,-,-,-,-,-,"4,859","4,726",133,,
77,動植物性製造飼肥料,-,-,-,"1,150","1,070",80,-,-,-,"24,055","24,055",-,,
78,廃棄物,-,-,-,490,-,490,-,-,-,-,-,-,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,,
80,輸送用容器,-,-,-,"33,735","4,705","29,030","2,109",-,"2,109","3,348","2,649",699,,
81,取合せ品,"102,149","11,641","90,508","103,791","17,990","85,801","423,698","365,106","58,592","161,371","75,965","85,406",,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,,
