,,,,,,,,,,,,,,(単位：隻、総トン）
航路別,合計,,品川コンテナ,,"青海コンテナ
ふ頭（公共）",,"青海コンテナ
ふ頭(埠頭㈱)",,お台場ライナーふ頭,,大井コンテナふ頭,,その他,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"6,188","127,296,879",850,"8,243,675","1,327","17,104,445",825,"23,285,044",123,"110,218","2,811","75,830,584",252,"2,722,913"
外航計,"4,774","126,095,165",838,"8,236,689",987,"16,833,712",768,"23,236,135",-,-,"1,950","75,077,435",231,"2,711,194"
外航定期計,"4,774","126,095,165",838,"8,236,689",987,"16,833,712",768,"23,236,135",-,-,"1,950","75,077,435",231,"2,711,194"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),401,"29,122,600",-,-,24,"666,337",94,"8,203,267",-,-,283,"20,252,996",-,-
北米東岸(カリビア海含む),129,"8,662,648",-,-,-,-,2,"197,764",-,-,127,"8,464,884",-,-
北欧・地中海,103,"10,128,588",-,-,-,-,-,-,-,-,103,"10,128,588",-,-
南米西岸,46,"5,942,082",-,-,-,-,-,-,-,-,46,"5,942,082",-,-
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,52,"2,388,131",-,-,1,"38,320",17,"724,353",-,-,34,"1,625,458",-,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,707","44,128,656",48,"895,029",368,"9,288,958",443,"11,575,106",-,-,800,"21,546,997",48,"822,566"
台湾,-,-,-,-,-,-,-,-,-,-,-,-,-,-
韓国,523,"4,587,367",447,"3,914,277",1,"7,170",50,"361,328",-,-,25,"304,592",-,-
中国(香港含む),"1,813","21,135,093",343,"3,427,383",593,"6,832,927",162,"2,174,317",-,-,532,"6,811,838",183,"1,888,628"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"1,414","1,201,714",12,"6,986",340,"270,733",57,"48,909",123,"110,218",861,"753,149",21,"11,719"
内航定期計,"1,148","1,065,753",7,"4,492",197,"199,378",50,"45,417",81,"86,017",806,"725,707",7,"4,742"
北海道,181,"193,583",1,749,21,"43,857",10,"14,522",24,"28,524",125,"105,931",-,-
東北,575,"408,907",3,"1,747",127,"93,622",32,"19,713",40,"27,460",372,"265,866",1,499
関東,4,"2,245",-,-,2,"1,247",-,-,-,-,2,998,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-,-,-
中部,253,"327,568",2,"1,247",36,"52,413",8,"11,182",15,"28,535",186,"229,948",6,"4,243"
近畿,122,"101,418",1,749,11,"8,239",-,-,2,"1,498",108,"90,932",-,-
中国,-,-,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-,-,-
九州,13,"32,032",-,-,-,-,-,-,-,-,13,"32,032",-,-
沖縄,-,-,-,-,-,-,-,-,-,-,-,-,-,-
内航不定期,266,"135,961",5,"2,494",143,"71,355",7,"3,492",42,"24,201",55,"27,442",14,"6,977"
,,,,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
