,,,,,,,(単位：ＴＥＵ）,,,
都道府県別・港別,合計,,,移出,,移入,,,,
,計,実入,空,実入,空,実入,空,,,
合計,"493,423","276,079","217,344","130,443","195,829","145,636","21,515",,,
北海道,"67,050","66,782",268,"35,327",-,"31,455",268,,,
函館,742,474,268,474,-,-,268,,,
苫小牧,"66,308","66,308",-,"34,853",-,"31,455",-,,,
青森県,"2,915","1,458","1,457",621,"1,427",837,30,,,
八戸,"2,915","1,458","1,457",621,"1,427",837,30,,,
岩手県,"4,581","3,709",872,"1,813",819,"1,896",53,,,
釜石,"1,248",926,322,628,279,298,43,,,
大船渡,"3,333","2,783",550,"1,185",540,"1,598",10,,,
宮城県,"58,327","45,132","13,195","21,245","12,161","23,887","1,034",,,
仙台塩釜,"58,327","45,132","13,195","21,245","12,161","23,887","1,034",,,
福島県,186,80,106,80,-,-,106,,,
小名浜,186,80,106,80,-,-,106,,,
茨城県,"11,419","8,847","2,572","4,825","2,506","4,022",66,,,
鹿島,"5,926","3,755","2,171","1,173","2,111","2,582",60,,,
那珂湊,"4,060","3,937",123,"2,776",121,"1,161",2,,,
茨城(常陸那珂),"1,433","1,155",278,876,274,279,4,,,
千葉県,"3,574","2,200","1,374",990,"1,374","1,210",-,,,
千葉,"3,574","2,200","1,374",990,"1,374","1,210",-,,,
東京都,"7,549","7,549",-,"5,472",-,"2,077",-,,,
大島（元町）,"4,083","4,083",-,"3,020",-,"1,063",-,,,
大島（波浮）,188,188,-,167,-,21,-,,,
新島,"1,049","1,049",-,668,-,381,-,,,
神津島,732,732,-,510,-,222,-,,,
利島,250,250,-,161,-,89,-,,,
式根島諸港,261,261,-,154,-,107,-,,,
小笠原（二見）,986,986,-,792,-,194,-,,,
神奈川県,"72,079","23,823","48,256","9,689","48,225","14,134",31,,,
川崎,"4,370","3,186","1,184",634,"1,184","2,552",-,,,
横浜,"67,709","20,637","47,072","9,055","47,041","11,582",31,,,
静岡県,"46,135","26,228","19,907","4,212","19,855","22,016",52,,,
清水,"35,856","25,732","10,124","3,732","10,072","22,000",52,,,
御前崎,"10,279",496,"9,783",480,"9,783",16,-,,,
愛知県,"72,342","13,333","59,009","1,731","58,801","11,602",208,,,
三河,752,408,344,396,344,12,-,,,
名古屋,"71,590","12,925","58,665","1,335","58,457","11,590",208,,,
三重県,"12,371",86,"12,285",46,"12,285",40,-,,,
四日市,"12,371",86,"12,285",46,"12,285",40,-,,,
大阪府,"2,464",161,"2,303",154,"2,277",7,26,,,
大阪,"2,464",161,"2,303",154,"2,277",7,26,,,
兵庫県,"50,543","15,006","35,537","4,803","34,689","10,203",848,,,
神戸,"50,543","15,006","35,537","4,803","34,689","10,203",848,,,
岡山県,112,112,-,11,-,101,-,,,
