,,,,,,,,,,,,,,,,,,,(単位：トン）
国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入,国別・港別,計,輸出,輸入
リムリック,9,9,-,マルタ,77,30,47,プリンスルーパート,"9,379",418,"8,961",サンロレンゾ,809,765,44,ブエナベンツラ,579,579,-
コーク,"5,326",859,"4,467",バレッタ,77,30,47,バンクーバー,"1,267,291","110,500","1,156,791",サンペドロスラ,12,12,-,諸港(コロンビア）,176,176,-
諸港(アイルランド),137,39,98,ロシア,"128,330","96,524","31,806",ビクトリア,2,2,-,諸港(ホンジュラス),243,228,15,ベネズエラ,2,2,-
ポーランド,"31,269","5,624","25,645",サンクト・ペテルスブルグ,"82,311","74,617","7,694",コーンウオール,14,14,-,グアテマラ,"1,622","1,453",169,プエルトカベーヨ,1,1,-
グジニア,"5,486","2,182","3,304",ボストーチヌイ,"15,401","1,320","14,081",諸港(カナダ),"3,941","3,611",330,プエルトケツアール,755,604,151,諸港(ベネズエラ）,1,1,-
グダニスク,"23,842","1,711","22,131",ウラジオストック,"25,375","16,228","9,147",アメリカ,"6,918,258","3,073,753","3,844,505",諸港(グアテマラ),867,849,18,ガイアナ,58,58,-
シュチェチン,255,45,210,コルサコフ,7,7,-,"ポートランド,メーン州",4,4,-,エルサルバドル,638,638,-,ジョウジタウン,58,58,-
諸港(ポーランド),"1,686","1,686",-,ノボロシースク,30,30,-,ボストン,"5,976","4,357","1,619",アカフトラ,268,268,-,スリナム,11,11,-
フィンランド,"77,347","4,992","72,355",カザン,1,1,-,ニューヨーク,"106,468","90,159","16,309",サンサルバドル,370,370,-,パラマリボ,11,11,-
ケミ,75,-,75,諸港(ロシア),"5,205","4,321",884,フィラデルフィア,110,66,44,ニカラグア,34,5,29,エクアドル,"1,134",279,855
オウル,"2,241",-,"2,241",オランダ,"979,212","494,346","484,866",ボルチモア,"2,393","1,144","1,249",コリント,28,-,28,グァヤキル,"1,132",277,855
ヘルシンキ,"9,180","1,398","7,782",アムステルダム,"8,491","8,491",-,チャールストン,"168,332","54,453","113,879",マナグア,5,5,-,諸港(エクアドル）,2,2,-
ラウマ,"5,619","1,098","4,521",ロッテルダム,"957,742","472,876","484,866",サバンナ,"501,332","419,908","81,424",諸港(ニカラグア),1,-,1,ペルー,"28,283",504,"27,779"
コトカ,"59,911","2,411","57,500",諸港(オランダ),"12,979","12,979",-,ジャクソンビル,"43,785","15,723","28,062",コスタリカ,"1,033",226,807,パイタ,314,-,314
コッコラ,141,-,141,ベルギー,"114,700","43,513","71,187",マイアミ,"5,639","5,104",535,リモン,7,7,-,カヤオ,"27,892",457,"27,435"
諸港(フィンランド),180,85,95,アントワープ,"101,438","40,744","60,694",ノーフォーク,"393,554","130,040","263,514",カルデラ,115,82,33,イロ,30,-,30
フランス,"385,339","57,940","327,399",ゼーブルッゲ,"6,240",15,"6,225",クリーブランド,"1,539","1,539",-,諸港(コスタリカ),911,137,774,諸港(ペルー),47,47,-
ダンケルク,165,60,105,諸港(ベルギー),"7,022","2,754","4,268",デトロイト,93,93,-,パナマ,"23,060","1,085","21,975",チリ,"290,345","3,168","287,177"
ルアーブル,"328,735","47,113","281,622",ギリシャ,"7,021","3,648","3,373",ポートヒューロン,1,1,-,パナマ,54,54,-,アリカ,419,76,343
マルセーユ,30,30,-,テサロニキ,"2,229",53,"2,176",シカゴ,"31,575","31,470",105,コロン,219,219,-,イクイケ,"1,026",981,45
ブレスト,90,-,90,ピレエフス,"4,792","3,595","1,197",ミルウォキー,91,91,-,クリストバル,13,13,-,アントファガスタ,25,-,25
ラロシェル,3,3,-,ルーマニア,"13,251",650,"12,601",セント　ピーターズバーグ,14,14,-,バルボア,"14,218",60,"14,158",バルパライソ,"4,317","1,123","3,194"
諸港(フランス),"56,316","10,734","45,582",コンスタンツア,"13,123",522,"12,601",タンパ,858,858,-,マンザニロ,"8,325",508,"7,817",サンアントニオ,"123,831",266,"123,565"
ドイツ,"794,529","240,284","554,245",諸港(ルーマニア),128,128,-,モビール,"3,323",132,"3,191",諸港(パナマ),231,231,-,プエルトモント,90,-,90
ハンブルグ,"757,856","220,690","537,166",ブルガリア,"1,322",442,880,ニューオリンズ,721,567,154,バルバドス,240,240,-,プンタ　アレナス,630,-,630
ブレーメルハーフェン,"14,342",458,"13,884",バルナ,981,304,677,ヒューストン,"9,986","3,590","6,396",ブリッジタウン,240,240,-,リルケン,"143,478",111,"143,367"
ブレーメン,"1,559","1,559",-,ブルガス,233,30,203,ボーモント,30,30,-,キューバ,141,81,60,コロネル,"8,470",-,"8,470"
ビルへルムスハーフェン,"2,595",-,"2,595",諸港(ブルガリア),108,108,-,ダッチハーバー,"20,730",-,"20,730",マンサニヨ,9,9,-,諸港(チリ),"8,059",611,"7,448"
諸港(ドイツ),"18,177","17,577",600,アルバニア,8,8,-,シアトル,"15,307","1,603","13,704",諸港(キューバ),132,72,60,ブラジル,"200,634","69,620","131,014"
ポルトガル,"19,396","14,639","4,757",ドウレース,8,8,-,エヴァレット,"10,379","10,135",244,ハイチ,16,16,-,フォルタレザ,4,4,-
レイショーズ,"4,415","3,180","1,235",エストニア,"5,963",561,"5,402",タコマ,"1,599,537","602,849","996,688",ポルトープランス,16,16,-,サルバドル,118,103,15
リスボン,"13,574","11,160","2,414",タリン,"1,139",526,613,ロングビュー,1,1,-,ドミニカ共和国,713,636,77,ビトリア,40,5,35
シネシュ,"1,115",172,943,諸港(ｴｽﾄﾆｱ),"4,824",35,"4,789","ポートランド,オレゴン州","2,669","2,669",-,リオハイナ,128,128,-,リオデジャネイロ,833,458,375
諸港(ポルトガル),292,127,165,ラトビア,"18,146",732,"17,414",オークランド,"1,047,718","96,355","951,363",カウセード,581,504,77,サントス,"57,580","41,951","15,629"
スペイン,"115,651","17,553","98,098",リガ,"17,906",732,"17,174",サンフランシスコ,891,891,-,諸港(ドミニカ共和国),4,4,-,パラナグァ,"42,488",495,"41,993"
バルセロナ,"57,650","8,231","49,419",諸港(ラトビア),240,-,240,サクラメント,20,20,-,プエルトリコ,"2,979","2,910",69,リオグランデ,"7,437",395,"7,042"
バレンシア,"42,681","4,948","37,733",リトアニア,"6,908","3,983","2,925",ロサンゼルス,"2,279,823","1,199,339","1,080,484",サンファン,"2,942","2,873",69,イタジャイ及びナヴェガンテス,"12,659",646,"12,013"
カルタヘナ,"1,043",-,"1,043",クライペタ,"5,002","3,888","1,114",ロングビーチ,"454,392","190,203","264,189",諸港(プエルトリコ),37,37,-,マナウス,"22,715","22,715",-
マラガ,600,-,600,諸港(リトアニア),"1,906",95,"1,811",サンディエゴ,"1,390","1,390",-,トリニダード・トバゴ,714,714,-,ポートアレグレ,2,2,-
アルヘシラス,"8,226","2,212","6,014",ウクライナ,"3,900","2,013","1,887",ストックトン,30,30,-,ポートオブスペイン,182,182,-,インビトゥーバ,60,-,60
ビルバオ,965,493,472,オデッサ,"2,452","1,989",463,ホノルル,65,65,-,ポイントリサス,531,531,-,セペティバ及びイタグアイ,"1,043",-,"1,043"
ヒホン,20,-,20,諸港(ウクライナ),"1,448",24,"1,424",ブラウンスビル,30,30,-,諸港(トリニダード・トバゴ),1,1,-,諸港(ブラジル）,"55,655","2,846","52,809"
ビゴ,"2,254",557,"1,697",クロアチア,"4,478",225,"4,253",ケノーシャ,30,30,-,ジャマイカ,103,103,-,アルゼンチン,"5,417","1,383","4,034"
アルメリア,83,-,83,リエカ,"4,230",217,"4,013",ニューアーク,181,166,15,キングストン,103,103,-,ロザリオ,173,173,-
諸港(スペイン),"2,129","1,112","1,017",諸港(クロアチア),248,8,240,ポートエバーグレイズ,6,6,-,アルバ,2,2,-,ブエノスアイレス,"2,313","1,135","1,178"
イタリア,"216,522","33,955","182,567",スロベニア,"41,231","4,475","36,756",リッチモンド，バージニア州,23,23,-,オランジェスタッド,2,2,-,マルデルプラタ,120,-,120
トリエステ,"33,421","5,302","28,119",コーペル,"41,183","4,427","36,756",テキサスシティー,30,30,-,蘭領アンティル,21,21,-,プエルトマドリン,"2,676",-,"2,676"
ベネチア,"14,226","1,091","13,135",諸港(スロベニア),48,48,-,ウィルミントン，デラウェア州,3,3,-,ウイレムスタット,2,2,-,サンロレンソ,30,30,-
ジェノバ,"64,180","16,934","47,246",モナコ,5,5,-,バンクーバー,"13,114","13,114",-,諸港（蘭領アンティル）,19,19,-,サラテ,60,-,60
ラスペチア,"36,212","3,795","32,417",諸港(モナコ),5,5,-,トーランス,"1,449","1,449",-,ベリーズ,393,9,384,諸港(アルゼンチン）,45,45,-
リボルノ,"2,016",208,"1,808",ジョージア,294,262,32,諸港(アメリカ),"194,616","194,009",607,ベリーズ,393,9,384,ウルグアイ,"2,440","1,399","1,041"
