,,,,,,,,,,,(単位：トン）,,,
品種,,上海,レムチャバン,青島,蛇口,香港,シンガポール,釜山,バンクーバー,ロサンゼルス,太倉,,,
合計,,"3,759,135","2,025,524","1,760,590","1,686,702","1,582,569","1,187,372","1,168,755","1,156,791","1,080,484","1,075,313",,,
農水産品,,"60,043","151,805","385,725","6,759","182,104","162,230","75,650","456,646","144,130",833,,,
1,麦,-,-,-,-,-,390,150,"19,514",674,-,,,
2,米,-,"2,280",-,-,-,580,-,-,-,-,,,
3,とうもろこし,-,45,-,-,9,225,-,"1,190","4,853",-,,,
4,豆類,418,240,427,30,"1,725",915,517,"72,322","20,940",-,,,
5,その他雑穀,-,-,-,-,-,-,-,75,225,-,,,
6,野菜・果物,"40,752","20,863","295,496","1,791","7,371","15,347","9,163","4,187","34,716",428,,,
7,綿花,-,-,-,-,-,15,-,-,-,-,,,
8,その他農産品,"11,615","2,063","39,942","4,012","1,286","19,428","1,734","2,587","3,395",180,,,
9,羊毛,60,-,-,-,-,30,-,-,-,-,,,
10,その他畜産品,"3,038","83,845","1,823",315,"122,578","70,026","17,621","350,910","77,063",225,,,
11,水産品,"4,160","42,469","48,037",611,"49,135","55,274","46,465","5,861","2,264",-,,,
林産品,,"19,212","6,914","2,888","5,025","9,321","13,219","28,277","347,230",874,765,,,
12,原木,420,22,-,-,42,345,-,626,37,765,,,
13,製材,"11,989",15,"2,573","4,785","9,084","1,715","28,277","346,271",438,-,,,
14,樹脂類,600,"4,560",-,15,-,"9,389",-,-,270,-,,,
15,木材チップ,90,-,45,-,-,150,-,324,100,-,,,
16,その他林産品,-,-,-,-,30,-,-,-,-,-,,,
17,薪炭,"6,113","2,317",270,225,165,"1,620",-,9,29,-,,,
鉱産品,,"3,820","5,985","7,607","5,555","7,688","13,667","2,243","2,270","4,343","3,136",,,
18,石炭,210,"3,075",405,-,855,"4,940",-,716,-,120,,,
19,鉄鉱石,60,-,-,-,-,-,-,-,-,-,,,
20,金属鉱,225,-,-,-,75,435,45,-,300,-,,,
21,砂利・砂,175,270,"1,575",-,15,450,135,290,236,-,,,
22,石材,"2,325",15,"3,685",740,"1,652","3,427",278,30,140,172,,,
23,原油,-,-,60,-,-,510,-,-,"1,005",-,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,,,
25,石灰石,-,-,-,30,-,-,-,-,44,-,,,
26,原塩,45,-,310,-,-,870,60,-,315,"2,784",,,
27,非金属鉱物,780,"2,625","1,572","4,785","5,091","3,035","1,725","1,234","2,303",60,,,
金属機械工業品,,"1,241,405","769,589","167,856","596,673","504,849","163,716","267,545","27,554","210,082","585,633",,,
28,鉄鋼,195,75,949,-,71,"2,520",533,15,175,60,,,
29,鋼材,"4,838","4,106","9,685",162,463,"5,590","27,732",387,"2,441",911,,,
30,非鉄金属,"36,260","19,147","3,246","3,927","5,332","2,272","9,524","1,597","6,592","1,131",,,
31,金属製品,"164,922","156,556","18,504","55,349","34,821","17,491","45,166","6,871","85,779","136,782",,,
32,鉄道車両,30,-,-,257,-,-,-,-,-,-,,,
33,完成自動車,529,366,82,390,136,"5,289",368,"2,415","2,187",-,,,
34,その他輸送用車両,"20,386",309,"15,978","3,877","2,190","1,019","1,028",180,915,"20,179",,,
35,二輪自動車,"2,356","2,383",375,449,431,"1,060",55,15,"5,125","25,818",,,
36,自動車部品,"86,484","116,406","16,167","16,781","20,530","30,267","42,555","6,615","21,203","12,145",,,
37,その他輸送機械,"18,904",255,146,"13,622","2,251",478,224,233,"2,286","29,771",,,
38,産業機械,"254,483","110,455","15,150","124,385","73,909","48,671","61,930","5,082","35,512","76,777",,,
39,電気機械,"559,284","308,496","82,392","313,725","287,296","24,773","69,168","1,133","32,326","265,884",,,
40,測量・光学・医療機械,"61,039","30,411","3,178","33,466","30,255","23,101","7,732","3,011","14,902","12,728",,,
41,事務用機器,"29,010","16,501","1,788","25,316","45,508",180,826,-,138,"3,119",,,
42,その他機械,"2,685","4,123",216,"4,967","1,656","1,005",704,-,501,328,,,
化学工業品,,"256,018","303,026","107,012","56,976","106,477","192,217","238,661","33,137","204,919","67,926",,,
43,陶磁器,"5,916","16,250","6,134","13,276","10,598","16,918","2,001",217,"2,925",89,,,
44,セメント,-,330,-,-,390,90,420,-,420,900,,,
45,ガラス類,"49,384","1,427","6,497","10,233","5,917","1,696","5,703","1,271","3,228","9,735",,,
46,窯業品,"8,399","5,184","16,253","2,391","3,324","7,631","8,517","8,309","15,270","2,386",,,
