,,,,,,,(単位：ＴＥＵ）
国別・港別,合計,,,輸出,,輸入,
,計,実入,空,実入,空,実入,空
バングラディシュ,17,17,-,-,-,17,-
チッタゴン,17,17,-,-,-,17,-
スリランカ,271,271,-,-,-,271,-
コロンボ,271,271,-,-,-,271,-
サウジアラビア,375,375,-,161,-,214,-
ダンマン,17,17,-,-,-,17,-
ジエッダ,278,278,-,161,-,117,-
ジュバイル,80,80,-,-,-,80,-
アラブ首長国,30,30,-,-,-,30,-
シャルジャー,1,1,-,-,-,1,-
ジェベルアリ,27,27,-,-,-,27,-
アジマン,2,2,-,-,-,2,-
イスラエル,249,249,-,-,-,249,-
ハイファ,185,185,-,-,-,185,-
アシドッド,64,64,-,-,-,64,-
ヨルダン,41,41,-,-,-,41,-
アカバ,41,41,-,-,-,41,-
レバノン,4,4,-,-,-,4,-
ベイルート,4,4,-,-,-,4,-
トルコ,909,909,-,-,-,909,-
イスタンブール,61,61,-,-,-,61,-
イズミト,82,82,-,-,-,82,-
イズミル,85,85,-,-,-,85,-
メルシン,457,457,-,-,-,457,-
イスケンデルン,3,3,-,-,-,3,-
ゲブゼ,30,30,-,-,-,30,-
ゲムポート,189,189,-,-,-,189,-
諸港(トルコ),2,2,-,-,-,2,-
カタール,279,279,-,-,-,279,-
ドーハ,8,8,-,-,-,8,-
メサイード,270,270,-,-,-,270,-
諸港(カタール),1,1,-,-,-,1,-
キプロス,3,3,-,-,-,3,-
リマソル,3,3,-,-,-,3,-
バーレーン,13,13,-,-,-,13,-
バーレーン,13,13,-,-,-,13,-
ヨーロッパ,"181,897","174,098","7,799","62,105","7,417","111,993",382
ノルウェー,86,86,-,-,-,86,-
クルスチャンサン,4,4,-,-,-,4,-
オスロ,14,14,-,-,-,14,-
フレドリクスタ,1,1,-,-,-,1,-
オーレスン,12,12,-,-,-,12,-
ラビック,4,4,-,-,-,4,-
諸港(ノルウェー),51,51,-,-,-,51,-
スウェーデン,221,221,-,-,-,221,-
ゴーセンブルグ,63,63,-,-,-,63,-
諸港(スウェーデン),158,158,-,-,-,158,-
デンマーク,74,74,-,-,-,74,-
コペンハーゲン,33,33,-,-,-,33,-
オールフス,8,8,-,-,-,8,-
オールベク,28,28,-,-,-,28,-
フレデリカ,3,3,-,-,-,3,-
諸港(デンマーク),2,2,-,-,-,2,-
イギリス,"17,459","17,403",56,"5,785",17,"11,618",39
フィリクストーエ,427,427,-,-,-,427,-
サザンプトン,"16,927","16,871",56,"5,785",17,"11,086",39
ベルファスト,1,1,-,-,-,1,-
サウスシールズ,4,4,-,-,-,4,-
グレーンジマス,98,98,-,-,-,98,-
ティーポート,2,2,-,-,-,2,-
アイルランド,136,136,-,-,-,136,-
ダブリン,119,119,-,-,-,119,-
コーク,17,17,-,-,-,17,-
ポーランド,205,205,-,-,-,205,-
グダニスク,75,75,-,-,-,75,-
シュチェチン,130,130,-,-,-,130,-
フィンランド,"1,093","1,093",-,-,-,"1,093",-
ヘルシンキ,777,777,-,-,-,777,-
ラウマ,132,132,-,-,-,132,-
コトカ,184,184,-,-,-,184,-
フランス,"30,408","23,109","7,299","2,463","7,248","20,646",51
ルアーブル,"29,670","22,371","7,299","2,463","7,248","19,908",51
フォス,738,738,-,-,-,738,-
ドイツ,"54,524","54,321",203,"15,396",86,"38,925",117
ハンブルグ,"50,968","50,765",203,"15,396",86,"35,369",117
諸港(ドイツ),"3,556","3,556",-,-,-,"3,556",-
ポルトガル,142,142,-,-,-,142,-
レイショーズ,81,81,-,-,-,81,-
リスボン,61,61,-,-,-,61,-
スペイン,"2,872","2,872",-,"1,248",-,"1,624",-
バルセロナ,193,193,-,-,-,193,-
バレンシア,"2,322","2,322",-,"1,248",-,"1,074",-
ビルバオ,105,105,-,-,-,105,-
ビゴ,252,252,-,-,-,252,-
イタリア,"2,128","2,128",-,-,-,"2,128",-
トリエステ,236,236,-,-,-,236,-
ベネチア,367,367,-,-,-,367,-
ジェノバ,277,277,-,-,-,277,-
ラスペチア,339,339,-,-,-,339,-
リボルノ,201,201,-,-,-,201,-
ナポリ,172,172,-,-,-,172,-
バリ,288,288,-,-,-,288,-
アンコナ,204,204,-,-,-,204,-
サレルノ,44,44,-,-,-,44,-
マルタ,48,48,-,-,-,48,-
バレッタ,47,47,-,-,-,47,-
マルサシロク,1,1,-,-,-,1,-
ロシア,391,391,-,-,-,391,-
サンクト・ペテルスブルグ,391,391,-,-,-,391,-
オランダ,"68,138","67,897",241,"37,213",66,"30,684",175
ロッテルダム,"68,138","67,897",241,"37,213",66,"30,684",175
ベルギー,446,446,-,-,-,446,-
アントワープ,442,442,-,-,-,442,-
ゼーブルッゲ,2,2,-,-,-,2,-
諸港(ベルギー),2,2,-,-,-,2,-
ギリシャ,108,108,-,-,-,108,-
テサロニキ,102,102,-,-,-,102,-
ピレエフス,6,6,-,-,-,6,-
ルーマニア,"1,800","1,800",-,-,-,"1,800",-
コンスタンツア,"1,800","1,800",-,-,-,"1,800",-
ブルガリア,254,254,-,-,-,254,-
バルナ,254,254,-,-,-,254,-
エストニア,393,393,-,-,-,393,-
タリン,393,393,-,-,-,393,-
ラトビア,150,150,-,-,-,150,-
リガ,150,150,-,-,-,150,-
リトアニア,110,110,-,-,-,110,-
クライペタ,110,110,-,-,-,110,-
ウクライナ,14,14,-,-,-,14,-
オデッサ,14,14,-,-,-,14,-
クロアチア,11,11,-,-,-,11,-
リエカ,11,11,-,-,-,11,-
スロベニア,669,669,-,-,-,669,-
コーペル,669,669,-,-,-,669,-
ジョージア,17,17,-,-,-,17,-
ポティ,17,17,-,-,-,17,-
