"年度","児童数 児童手当 ０歳から３歳未満[人]","児童数 児童手当 ３歳以上小学校修了前[人]","児童数 児童手当 小学修了後中学修了前[人]","児童数 児童手当 特例給付[人]","児童数 児童手当 施設等受給資格者分[人]","児童数 自動育成手当 育成手当[人]","児童数 自動育成手当 障害手当[人]","受給者数 児童扶養手当 [人]","受給者数 特別児童扶養手当 [人]"
"2014","4028","8668","2474","13193","95","1960","99","1108","115"
"2015","4218","8820","2466","14293","104","1946","105","1089","126"
"2016","4350","9069","2507","15364","95","1936","98","1086","128"
"2017","4357","9205","2570","16518","103","1891","95","1023","124"
"2018","4108","9395","2620","17385","88","1854","96","946","124"

"令和元年度港区行政資料集　児童手当等受給者数","Ver201903",,,,,,,,
