"年月[西暦]","種類","収集量[t]","対前年同月比[%]"
"202204","可燃ごみ","3965.430","-2"
"202204","不燃ごみ","158.950","-5"
"202204","粗大ごみ","274.940","30"
"202204","管路収集","145.300","12"
"202205","可燃ごみ","3933.970","-4"
"202205","不燃ごみ","159.166","-4"
"202205","粗大ごみ","244.580","15"
"202205","管路収集","164.170","51"
"202206","可燃ごみ","3904.130","-4"
"202206","不燃ごみ","147.522","-5"
"202206","粗大ごみ","241.420","11"
"202206","管路収集","138.750","14"
"202207","可燃ごみ","3863.450","-7"
"202207","不燃ごみ","139.545","-2"
"202207","粗大ごみ","242.800","2"
"202207","管路収集","154.250","15"
"202208","可燃ごみ","3955.360","1"
"202208","不燃ごみ","142.694","-8"
"202208","粗大ごみ","249.390","6"
"202208","管路収集","157.350","18"
"202209","可燃ごみ","3754.730","-4"
"202209","不燃ごみ","149.324","-1"
"202209","粗大ごみ","238.180","-1"
"202209","管路収集","132.700","15"
"202210","可燃ごみ","3802.650","-1"
"202210","不燃ごみ","142.583","-8"
"202210","粗大ごみ","237.670","-4"
"202210","管路収集","133.960","7"
"202211","可燃ごみ","3883.220","-1"
"202211","不燃ごみ","142.278","-4"
"202211","粗大ごみ","226.600","-7"
"202211","管路収集","129.190","1"
"202212","可燃ごみ","4124.320","-3"
"202212","不燃ごみ","151.404","-7"
"202212","粗大ごみ","230.470","-8"
"202212","管路収集","168.110","7"
"202301","可燃ごみ","4010.710","-"
"202301","不燃ごみ","156.810","-7"
"202301","粗大ごみ","198.660","-5"
"202301","管路収集","154.580","5"
"202302","可燃ごみ","3422.160","-3"
"202302","不燃ごみ","138.952","-7"
"202302","粗大ごみ","215.500","-3"
"202302","管路収集","130.660","11"
"202303","可燃ごみ","4020.860","-1"
"202303","不燃ごみ","140.541","-6"
"202303","粗大ごみ","266.500","10"
"202303","管路収集","165.940","14"

"令和4年度　ごみ収集量【速報値】","Ver202303",,
