"年[西暦]","住宅地 公示価格[千円毎平方メートル]","住宅地 基準地価格[千円毎平方メートル]","商業地 公示価格[千円毎平方メートル]","商業地 基準地価格[千円毎平方メートル]","工業地 公示価格[千円毎平方メートル]","工業地 基準地価格[千円毎平方メートル]","全用途平均 公示価格[千円毎平方メートル]","全用途平均 基準地価格[千円毎平方メートル]"
"2015","1475","1323","3522","3461","1257","1043","2911","2855"
"2016","1509","1383","3682","4114","1393","1085","2939","3343"
"2017","1683","1438","3942","4450","1698","1129","3143","3600"
"2018","1781","1508","4201","4810","1810","1193","3345","3879"
"2019","1890","1894","4554","5244","1954","1025","3612","4239"

"令和2年度港区行政資料集　公示価格・基準地価格における港区の用途別土地平均価格","Ver201907",,,,,,,
