"年度","団体数 芝地区","団体数 麻布地区","団体数 赤坂地区","団体数 高輪地区","団体数 芝浦港南地区","団体数 合計","会員数 芝地区[人]","会員数 麻布地区[人]","会員数 赤坂地区[人]","会員数 高輪地区[人]","会員数 芝浦港南地区[人]","会員数 合計[人]"
"2015","77","43","35","47","28","230","13955","12910","7120","17248","13110","64343"
"2016","77","43","35","48","30","233","13791","12313","7005","17607","14551","65267"
"2017","76","43","35","48","32","234","13499","12076","7103","17056","16933","66667"
"2018","76","43","35","49","32","235","14201","12010","7095","17158","16823","67287"
"2019","74","42","35","49","31","231","13856","11966","7124","16651","16641","66238"

"令和元年度港区行政資料集　町会・自治会","Ver201904",,,,,,,,,,,
