"年度","登録団体数","延べ利用者数[人]"
"2014","17","5072"
"2015","11","6965"
"2016","11","7930"
"2017","10","8477"
"2018","11","9405"

"令和元年度港区行政資料集　施設利用状況一覧 国際交流スペース","Ver201903",
