国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成29年中の転出者数
総数,0,13000,総数,23263,27127,67501,47015,28555,26771,28619,27054,27306,27472,24051,25349,380083
総数,1,13100,区部,17887,20631,49546,35974,21538,20902,22244,20658,21175,21451,18622,19748,290376
総数,1,13200,市部,5273,6405,17569,10866,6939,5763,6298,6265,6034,5899,5357,5524,88192
総数,2,13300,郡部,63,56,119,76,48,73,40,68,54,86,37,35,755
総数,2,13350,島部,40,35,267,99,30,33,37,63,43,36,35,42,760
総数,1,13100,区部,17887,20631,49546,35974,21538,20902,22244,20658,21175,21451,18622,19748,290376
総数,4,13101,千代田区,113,144,419,364,158,124,186,128,154,155,108,124,2177
総数,4,13102,中央区,323,343,894,631,371,380,426,380,377,393,276,352,5146
総数,4,13103,港区,418,503,1203,901,503,622,537,527,506,564,481,534,7299
総数,4,13104,新宿区,857,936,2626,1969,1004,959,1021,1047,1031,1029,870,960,14309
総数,4,13105,文京区,381,424,1511,1016,511,420,475,389,411,422,365,385,6710
総数,4,13106,台東区,444,459,1019,824,514,470,517,462,515,472,458,461,6615
総数,4,13107,墨田区,572,639,1308,975,565,645,654,549,612,713,540,551,8323
総数,4,13108,江東区,876,941,2421,1900,1012,992,1036,1011,1089,1076,880,839,14073
総数,4,13109,品川区,753,825,1872,1498,825,909,961,841,831,941,809,812,11877
総数,4,13110,目黒区,523,595,1362,1116,668,550,747,693,567,690,591,586,8688
総数,4,13111,大田区,1423,1690,3983,2947,1902,1830,1923,1899,1924,1955,1682,1831,24989
総数,4,13112,世田谷区,1769,1977,4483,3396,1977,1956,1999,1995,1863,1846,1692,1828,26781
総数,4,13113,渋谷区,434,443,960,791,529,510,517,471,454,435,472,488,6504
総数,4,13114,中野区,687,819,1835,1455,856,778,904,819,829,848,673,779,11282
総数,4,13115,杉並区,941,1112,2718,2192,1228,1132,1305,1117,1189,1085,988,1110,16117
総数,4,13116,豊島区,716,817,1780,1489,899,806,883,802,880,862,742,799,11475
総数,4,13117,北区,739,910,2078,1673,912,911,1052,838,965,989,887,845,12799
総数,4,13118,荒川区,424,435,1060,801,445,480,469,486,425,467,424,493,6409
総数,4,13119,板橋区,1090,1371,3030,2123,1339,1243,1357,1242,1334,1402,1149,1233,17913
総数,4,13120,練馬区,1224,1465,3698,2512,1549,1421,1586,1515,1525,1393,1273,1318,20479
総数,4,13121,足立区,1104,1315,2757,2032,1375,1312,1370,1328,1286,1345,1228,1278,17730
総数,4,13122,葛飾区,672,830,1849,1520,883,786,869,766,866,858,730,770,11399
総数,4,13123,江戸川区,1404,1638,4680,1849,1513,1666,1450,1353,1542,1511,1304,1372,21282
総数,1,13200,市部,5273,6405,17569,10866,6939,5763,6298,6265,6034,5899,5357,5524,88192
総数,4,13201,八王子市,660,866,2692,1404,876,729,739,790,761,646,676,693,11532
総数,4,13202,立川市,265,295,785,483,291,255,284,296,290,280,238,277,4039
総数,4,13203,武蔵野市,174,251,641,525,278,191,290,229,256,211,221,192,3459
総数,4,13204,三鷹市,255,320,883,509,323,285,301,277,268,284,237,236,4178
総数,4,13205,青梅市,128,116,441,170,150,128,103,118,122,116,100,109,1801
総数,4,13206,府中市,308,388,1087,730,411,380,402,403,385,363,318,363,5538
総数,4,13207,昭島市,122,141,351,175,174,122,147,151,139,113,116,116,1867
総数,4,13208,調布市,329,402,1072,786,409,367,449,350,365,422,330,360,5641
総数,4,13209,町田市,701,828,1793,1266,886,794,796,859,757,781,744,816,11021
総数,4,13210,小金井市,168,228,742,455,235,204,234,208,205,184,172,178,3213
総数,4,13211,小平市,218,294,1028,486,255,229,239,281,269,249,205,236,3989
総数,4,13212,日野市,241,246,721,486,453,229,216,295,330,267,206,188,3878
総数,4,13213,東村山市,194,232,634,251,223,244,258,169,253,220,196,191,3065
総数,4,13214,国分寺市,185,181,574,405,259,166,198,171,189,190,167,166,2851
総数,4,13215,国立市,97,115,386,210,123,91,90,117,102,115,92,107,1645
総数,4,13218,福生市,60,72,218,162,82,86,82,102,74,69,68,65,1140
総数,4,13219,狛江市,153,159,361,261,172,162,192,169,124,152,136,153,2194
総数,4,13220,東大和市,59,73,197,113,101,61,72,112,84,91,66,82,1111
総数,4,13221,清瀬市,101,104,243,195,111,98,125,111,108,108,127,127,1558
総数,4,13222,東久留米市,117,147,391,315,181,139,207,161,166,179,151,139,2293
総数,4,13223,武蔵村山市,52,87,283,86,82,71,103,89,67,62,74,60,1116
総数,4,13224,多摩市,185,239,546,296,204,174,183,215,189,210,181,160,2782
総数,4,13225,稲城市,125,158,310,270,161,133,163,144,145,152,126,149,2036
総数,4,13227,羽村市,64,63,172,137,77,68,51,75,67,75,69,67,985
総数,4,13228,あきる野市,50,62,197,101,59,67,60,51,55,38,64,45,849
総数,4,13229,西東京市,262,338,821,589,363,290,314,322,264,322,277,249,4411
総数,1,13550,町村部,103,91,386,175,78,106,77,131,97,122,72,77,1515
総数,2,13300,郡部,63,56,119,76,48,73,40,68,54,86,37,35,755
総数,4,13303,瑞穂町,35,29,62,35,36,41,25,37,39,48,26,28,441
総数,4,13305,日の出町,24,25,52,35,8,27,12,28,11,32,10,6,270
総数,4,13307,檜原村,2,1,1,3,1,2,1,1,3,3,0,0,18
総数,4,13308,奥多摩町,2,1,4,3,3,3,2,2,1,3,1,1,26
総数,2,13350,島部,40,35,267,99,30,33,37,63,43,36,35,42,760
総数,3,13360,大島支庁,13,15,83,49,9,12,16,28,10,14,16,14,279
総数,4,13361,大島町,11,8,51,38,7,11,13,15,7,9,12,10,192
総数,4,13362,利島村,0,1,7,0,0,0,1,0,0,0,1,0,10
総数,4,13363,新島村,0,0,18,3,1,0,1,9,1,4,2,2,41
総数,4,13364,神津島村,2,6,7,8,1,1,1,4,2,1,1,2,36
総数,3,13380,三宅支庁,13,1,35,10,2,5,6,10,7,5,5,12,111
総数,4,13381,三宅村,13,1,26,8,2,5,6,8,6,5,4,12,96
総数,4,13382,御蔵島村,0,0,9,2,0,0,0,2,1,0,1,0,15
総数,3,13400,八丈支庁,7,10,108,7,7,12,7,11,11,12,4,6,202
総数,4,13401,八丈町,7,10,105,6,7,12,7,11,11,11,4,5,196
総数,4,13402,青ヶ島村,0,0,3,1,0,0,0,0,0,1,0,1,6
総数,3,13420,小笠原支庁,7,9,41,33,12,4,8,14,15,5,10,10,168
総数,4,13421,小笠原村,7,9,41,33,12,4,8,14,15,5,10,10,168
日本人,0,13000,総数,21216,24755,61234,42296,25871,24080,26155,24574,24328,24603,21616,23029,343757
日本人,1,13100,区部,16134,18597,44159,31840,19246,18567,20123,18535,18596,18967,16536,17795,259095
日本人,1,13200,市部,4985,6083,16717,10285,6558,5429,5960,5937,5641,5539,5013,5159,83306
日本人,2,13300,郡部,61,40,98,73,38,51,39,42,50,63,35,33,623
日本人,2,13350,島部,36,35,260,98,29,33,33,60,41,34,32,42,733
日本人,1,13100,区部,16134,18597,44159,31840,19246,18567,20123,18535,18596,18967,16536,17795,259095
日本人,4,13101,千代田区,101,135,394,345,147,113,175,123,140,137,94,116,2020
日本人,4,13102,中央区,305,315,847,598,349,362,386,356,351,362,251,334,4816
日本人,4,13103,港区,378,464,1119,834,476,549,495,461,439,499,423,485,6622
日本人,4,13104,新宿区,637,712,1822,1251,700,705,791,777,699,752,619,741,10206
日本人,4,13105,文京区,344,376,1354,918,450,373,452,352,370,383,325,350,6047
日本人,4,13106,台東区,377,377,799,678,435,392,421,379,414,379,384,384,5419
日本人,4,13107,墨田区,507,595,1147,872,488,548,568,510,507,602,464,504,7312
