国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,平成29年中の転出者数
総数,0,13000,総数,32079,36536,61603,42939,35529,33833,35079,34439,34224,36274,35331,36030,453896
総数,1,13100,区部,24423,27219,43532,31957,26732,25483,26349,25597,26142,27181,26621,27526,338762
総数,1,13200,市部,7540,9194,17356,10737,8664,8233,8609,8622,7967,8949,8557,8399,112827
総数,2,13300,郡部,83,88,198,121,111,88,102,132,88,120,136,83,1350
総数,2,13350,島部,33,35,517,124,22,29,19,88,27,24,17,22,957
総数,1,13100,区部,24423,27219,43532,31957,26732,25483,26349,25597,26142,27181,26621,27526,338762
総数,4,13101,千代田区,303,323,494,468,353,244,369,373,350,320,315,315,4227
総数,4,13102,中央区,535,547,1076,755,688,613,617,566,547,566,590,655,7755
総数,4,13103,港区,1066,954,1652,1320,1037,995,1029,1073,1003,1090,1243,1207,13669
総数,4,13104,新宿区,1683,1939,2948,2424,1807,1932,1880,1841,1989,2127,1791,1916,24277
総数,4,13105,文京区,743,901,1439,979,789,717,745,773,745,796,796,868,10291
総数,4,13106,台東区,745,771,1110,913,796,755,758,753,717,840,763,855,9776
総数,4,13107,墨田区,754,785,1221,985,842,793,740,830,809,827,822,866,10274
総数,4,13108,江東区,1346,1468,2043,1578,1259,1097,1194,1183,1165,1205,1324,1278,16140
総数,4,13109,品川区,1129,1123,1749,1501,1132,1134,1160,1062,1092,1242,1163,1203,14690
総数,4,13110,目黒区,1010,1044,1628,1253,989,935,1075,1055,1042,1096,1055,1158,13340
総数,4,13111,大田区,1203,1306,2216,1272,1274,1183,1228,1255,1137,1203,1205,1161,15643
総数,4,13112,世田谷区,2070,2429,3898,2622,2232,2169,2289,2138,2134,2275,2247,2412,28915
総数,4,13113,渋谷区,985,1104,1502,1177,1125,1051,1057,979,1022,1178,1072,1121,13373
総数,4,13114,中野区,1255,1498,2292,1729,1537,1364,1479,1377,1411,1503,1476,1539,18460
総数,4,13115,杉並区,1630,1961,2991,2232,1836,1761,1918,1797,1827,1917,1785,1974,23629
総数,4,13116,豊島区,1210,1456,2162,1669,1384,1336,1389,1275,1460,1399,1387,1428,17555
総数,4,13117,北区,851,990,1568,1178,949,977,934,917,1154,972,1092,942,12524
総数,4,13118,荒川区,554,700,1022,793,729,639,691,672,687,706,652,638,8483
総数,4,13119,板橋区,1115,1320,2314,1498,1221,1340,1259,1305,1279,1272,1296,1261,16480
総数,4,13120,練馬区,1559,1597,2816,2124,1697,1542,1618,1439,1519,1637,1592,1642,20782
総数,4,13121,足立区,849,1011,1667,1138,963,961,1007,954,1129,919,929,1006,12533
総数,4,13122,葛飾区,704,760,1382,979,847,782,782,784,891,845,790,891,10437
総数,4,13123,江戸川区,1124,1232,2342,1370,1246,1163,1131,1196,1033,1246,1236,1190,15509
総数,1,13200,市部,7540,9194,17356,10737,8664,8233,8609,8622,7967,8949,8557,8399,112827
総数,4,13201,八王子市,693,931,1972,1095,774,715,729,823,726,782,778,732,10750
総数,4,13202,立川市,442,404,947,587,425,450,562,486,452,472,502,466,6195
総数,4,13203,武蔵野市,428,503,967,613,508,485,536,516,504,451,547,550,6608
総数,4,13204,三鷹市,488,619,1036,662,594,496,575,491,506,553,535,576,7131
総数,4,13205,青梅市,227,213,492,199,210,214,237,205,195,180,215,187,2774
総数,4,13206,府中市,449,847,1366,687,586,502,803,615,522,1111,749,544,8781
総数,4,13207,昭島市,194,179,408,277,267,260,215,256,193,259,228,234,2970
総数,4,13208,調布市,515,667,1067,677,564,588,526,564,578,599,556,587,7488
総数,4,13209,町田市,349,364,797,530,394,344,370,406,376,354,379,376,5039
総数,4,13210,小金井市,333,414,754,510,345,367,349,396,341,364,347,370,4890
総数,4,13211,小平市,334,490,1028,557,469,421,352,417,413,425,426,453,5785
総数,4,13212,日野市,358,407,716,498,390,366,373,355,349,406,367,337,4922
総数,4,13213,東村山市,261,319,522,297,292,250,279,293,230,242,248,250,3483
総数,4,13214,国分寺市,320,409,760,425,384,371,349,389,323,332,367,377,4806
総数,4,13215,国立市,221,260,447,302,280,176,181,229,171,182,184,201,2834
総数,4,13218,福生市,159,168,302,195,172,170,189,219,153,185,152,146,2210
総数,4,13219,狛江市,154,193,330,222,201,205,193,193,158,189,205,175,2418
総数,4,13220,東大和市,176,129,362,216,181,159,178,198,178,168,194,216,2355
総数,4,13221,清瀬市,90,103,238,139,140,127,110,133,106,116,115,105,1522
総数,4,13222,東久留米市,179,201,352,310,240,215,192,188,184,182,216,211,2670
総数,4,13223,武蔵村山市,109,152,282,183,160,126,165,150,123,152,119,115,1836
総数,4,13224,多摩市,264,336,565,385,255,301,250,297,241,271,265,256,3686
総数,4,13225,稲城市,120,119,295,193,152,156,156,145,137,146,121,173,1913
総数,4,13227,羽村市,163,158,237,156,139,155,118,123,139,212,179,148,1927
総数,4,13228,あきる野市,130,137,240,220,128,144,163,121,105,142,143,155,1828
総数,4,13229,西東京市,384,472,874,602,414,470,459,414,564,474,420,459,6006
総数,1,13550,町村部,116,123,715,245,133,117,121,220,115,144,153,105,2307
総数,2,13300,郡部,83,88,198,121,111,88,102,132,88,120,136,83,1350
総数,4,13303,瑞穂町,51,55,108,61,64,63,65,89,62,74,92,53,837
総数,4,13305,日の出町,29,21,54,39,37,16,26,26,18,35,39,20,360
総数,4,13307,檜原村,0,3,6,15,5,1,3,4,3,8,1,5,54
総数,4,13308,奥多摩町,3,9,30,6,5,8,8,13,5,3,4,5,99
総数,2,13350,島部,33,35,517,124,22,29,19,88,27,24,17,22,957
総数,3,13360,大島支庁,7,12,244,80,6,12,6,28,9,10,7,14,435
総数,4,13361,大島町,4,6,176,45,5,7,3,19,5,4,3,13,290
総数,4,13362,利島村,0,1,15,0,0,0,0,1,1,0,0,0,18
総数,4,13363,新島村,3,0,28,20,0,5,1,6,2,5,2,1,73
総数,4,13364,神津島村,0,5,25,15,1,0,2,2,1,1,2,0,54
総数,3,13380,三宅支庁,9,7,75,7,7,6,3,18,3,4,4,2,145
総数,4,13381,三宅村,8,6,68,7,7,6,3,17,3,2,3,2,132
総数,4,13382,御蔵島村,1,1,7,0,0,0,0,1,0,2,1,0,13
総数,3,13400,八丈支庁,14,12,155,7,5,9,6,25,13,5,3,4,258
総数,4,13401,八丈町,13,12,139,6,5,9,5,25,12,4,2,4,236
総数,4,13402,青ヶ島村,1,0,16,1,0,0,1,0,1,1,1,0,22
総数,3,13420,小笠原支庁,3,4,43,30,4,2,4,17,2,5,3,2,119
総数,4,13421,小笠原村,3,4,43,30,4,2,4,17,2,5,3,2,119
日本人,0,13000,総数,27783,32151,53230,35860,30619,28976,30386,29922,28579,30779,30879,31308,390472
日本人,1,13100,区部,20601,23405,36291,25676,22359,21147,22203,21633,21123,22313,22721,23333,282805
日本人,1,13200,市部,7069,8626,16232,9948,8130,7715,8070,8079,7343,8326,8025,7873,105436
日本人,2,13300,郡部,80,85,194,113,108,85,95,123,86,116,117,81,1283
日本人,2,13350,島部,33,35,513,123,22,29,18,87,27,24,16,21,948
日本人,1,13100,区部,20601,23405,36291,25676,22359,21147,22203,21633,21123,22313,22721,23333,282805
日本人,4,13101,千代田区,270,292,437,413,294,206,301,319,289,260,275,275,3631
日本人,4,13102,中央区,482,481,939,665,604,533,530,506,480,503,499,598,6820
日本人,4,13103,港区,915,823,1412,1109,866,821,881,913,813,900,1066,1022,11541
日本人,4,13104,新宿区,1102,1430,1883,1363,1191,1223,1279,1277,1159,1342,1273,1310,15832
日本人,4,13105,文京区,631,789,1221,781,676,595,630,669,610,647,695,743,8687
日本人,4,13106,台東区,507,571,803,649,592,570,561,573,513,564,569,634,7106
