国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成29年中の転入者数
総数,0,13000,総数,31404,35100,60441,43602,36940,33623,34704,35116,32984,36711,35462,36614,452701
総数,1,13100,区部,23786,26543,43362,31306,27710,25114,26229,26190,25015,27686,26926,27827,337694
総数,1,13200,市部,7458,8417,16748,11680,9069,8357,8314,8688,7835,8865,8381,8661,112473
総数,2,13300,郡部,123,107,196,133,125,129,126,149,106,132,122,116,1564
総数,2,13350,島部,37,33,135,483,36,23,35,89,28,28,33,10,970
総数,1,13100,区部,23786,26543,43362,31306,27710,25114,26229,26190,25015,27686,26926,27827,337694
総数,4,13101,千代田区,329,329,550,439,330,306,333,368,296,343,274,367,4264
総数,4,13102,中央区,1264,782,1152,909,820,712,717,816,725,820,756,933,10406
総数,4,13103,港区,940,951,1534,1111,1143,991,977,1092,945,976,1068,1067,12795
総数,4,13104,新宿区,1436,1493,2346,1895,1596,1378,1496,1566,1495,1679,1671,1803,19854
総数,4,13105,文京区,655,793,1292,979,862,717,809,815,750,863,825,810,10170
総数,4,13106,台東区,653,878,1102,787,727,721,774,709,650,737,730,768,9236
総数,4,13107,墨田区,698,799,1278,855,903,760,857,872,760,854,984,898,10518
総数,4,13108,江東区,1054,1207,2440,1791,1469,1324,1367,1475,1138,1264,1351,1468,17348
総数,4,13109,品川区,973,1073,1952,1374,1272,1088,1067,1096,951,1153,1211,1405,14615
総数,4,13110,目黒区,974,1242,1593,1154,1029,1004,1007,1049,959,1035,1119,1073,13238
総数,4,13111,大田区,1117,1266,2350,1521,1463,1261,1198,1238,1098,1300,1237,1277,16326
総数,4,13112,世田谷区,1949,2216,3867,2596,2199,2075,2296,2210,2204,2312,2175,2388,28487
総数,4,13113,渋谷区,938,1049,1542,1196,1047,985,1116,990,892,1073,1046,1137,13011
総数,4,13114,中野区,1243,1468,2023,1627,1354,1323,1431,1263,1252,1522,1320,1414,17240
総数,4,13115,杉並区,1645,1891,3137,1998,1902,1730,1841,1761,1762,1877,1822,1961,23327
総数,4,13116,豊島区,1136,1215,1890,1583,1282,1224,1257,1228,1227,1403,1151,1280,15876
総数,4,13117,北区,846,1045,1679,1115,1064,1008,974,942,1073,1103,1016,930,12795
総数,4,13118,荒川区,496,695,958,787,696,656,632,694,605,732,793,638,8382
総数,4,13119,板橋区,1135,1285,2259,1794,1458,1254,1303,1225,1257,1420,1378,1252,17020
総数,4,13120,練馬区,1412,1655,2912,2044,1628,1588,1798,1655,1650,1706,1681,1704,21433
総数,4,13121,足立区,1008,1158,2187,1290,1161,1104,1094,1078,1309,1219,1200,1267,15075
総数,4,13122,葛飾区,801,881,1354,1022,1036,835,878,904,916,1022,1040,935,11624
総数,4,13123,江戸川区,1084,1172,1965,1439,1269,1070,1007,1144,1101,1273,1078,1052,14654
総数,1,13200,市部,7458,8417,16748,11680,9069,8357,8314,8688,7835,8865,8381,8661,112473
総数,4,13201,八王子市,662,697,1655,1156,775,674,709,711,636,729,718,632,9754
総数,4,13202,立川市,417,455,1166,855,533,385,460,481,395,520,411,416,6494
総数,4,13203,武蔵野市,406,483,836,559,495,458,469,500,406,477,421,413,5923
総数,4,13204,三鷹市,426,539,1066,646,589,494,524,603,452,504,515,528,6886
総数,4,13205,青梅市,214,214,400,207,227,222,205,232,190,252,230,248,2841
総数,4,13206,府中市,414,505,896,802,589,468,452,547,590,537,479,546,6825
総数,4,13207,昭島市,224,241,500,351,267,259,252,296,284,356,359,292,3681
総数,4,13208,調布市,543,647,1073,688,643,613,568,628,587,692,668,692,8042
総数,4,13209,町田市,327,353,798,462,369,366,299,283,287,320,288,370,4522
総数,4,13210,小金井市,322,365,675,440,319,354,331,334,376,435,337,418,4706
総数,4,13211,小平市,442,469,940,719,499,459,566,471,465,441,402,435,6308
総数,4,13212,日野市,403,403,831,495,439,452,429,447,342,416,408,365,5430
総数,4,13213,東村山市,227,303,653,355,332,316,253,289,288,303,359,415,4093
総数,4,13214,国分寺市,291,419,749,495,356,342,277,324,285,343,373,342,4596
総数,4,13215,国立市,194,231,344,329,238,214,220,171,175,187,184,223,2710
総数,4,13218,福生市,115,152,229,185,150,123,166,185,127,136,136,147,1851
総数,4,13219,狛江市,180,209,419,312,211,230,216,215,212,256,235,225,2920
総数,4,13220,東大和市,140,171,287,217,194,164,164,179,147,205,125,177,2170
総数,4,13221,清瀬市,127,124,269,210,148,142,141,119,132,132,143,145,1832
総数,4,13222,東久留米市,210,201,381,292,200,237,248,219,244,219,246,215,2912
総数,4,13223,武蔵村山市,155,160,277,161,183,185,137,197,151,170,205,209,2190
総数,4,13224,多摩市,247,282,678,395,303,276,261,318,229,286,240,242,3757
総数,4,13225,稲城市,134,133,245,197,169,138,133,137,118,119,134,161,1818
総数,4,13227,羽村市,112,112,193,154,112,135,126,126,118,149,136,107,1580
総数,4,13228,あきる野市,121,111,311,189,164,122,170,140,122,138,143,144,1875
総数,4,13229,西東京市,405,438,877,809,565,529,538,536,477,543,486,554,6757
総数,1,13550,町村部,160,140,331,616,161,152,161,238,134,160,155,126,2534
総数,2,13300,郡部,123,107,196,133,125,129,126,149,106,132,122,116,1564
総数,4,13303,瑞穂町,66,45,64,59,70,68,78,90,54,65,68,58,785
総数,4,13305,日の出町,32,39,79,44,32,40,39,43,38,46,38,41,511
総数,4,13307,檜原村,5,4,11,10,7,8,0,7,4,5,6,7,74
総数,4,13308,奥多摩町,20,19,42,20,16,13,9,9,10,16,10,10,194
総数,2,13350,島部,37,33,135,483,36,23,35,89,28,28,33,10,970
総数,3,13360,大島支庁,16,15,58,231,17,11,13,37,13,12,17,6,446
総数,4,13361,大島町,12,8,26,168,7,5,9,22,7,8,12,6,290
総数,4,13362,利島村,1,0,2,9,0,2,0,2,1,1,0,0,18
総数,4,13363,新島村,1,3,19,23,3,1,3,6,0,3,2,0,64
総数,4,13364,神津島村,2,4,11,31,7,3,1,7,5,0,3,0,74
総数,3,13380,三宅支庁,3,1,24,60,3,2,7,15,5,4,4,1,129
総数,4,13381,三宅村,2,1,16,50,2,2,7,15,5,4,1,0,105
総数,4,13382,御蔵島村,1,0,8,10,1,0,0,0,0,0,3,1,24
総数,3,13400,八丈支庁,14,10,38,109,9,6,12,25,8,7,10,3,251
総数,4,13401,八丈町,14,10,33,87,9,5,11,25,8,7,10,3,222
