国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成29年中の転入者数
総数,0,13000,総数,26195,29389,99603,65005,33684,28159,29896,30408,27726,30100,25285,25674,451124
総数,1,13100,区部,20486,22995,74730,47849,26231,21942,23186,23668,21443,23504,19783,19923,345740
総数,1,13200,市部,5611,6300,24682,16870,7366,6141,6611,6595,6218,6505,5420,5696,104015
総数,2,13300,郡部,49,61,109,91,39,54,54,87,38,54,36,33,705
総数,2,13350,島部,49,33,82,195,48,22,45,58,27,37,46,22,664
総数,1,13100,区部,20486,22995,74730,47849,26231,21942,23186,23668,21443,23504,19783,19923,345740
総数,4,13101,千代田区,161,173,631,550,250,150,208,211,185,161,158,203,3041
総数,4,13102,中央区,674,550,1376,1165,630,494,463,531,445,530,415,569,7842
総数,4,13103,港区,670,684,1766,1235,754,680,665,661,708,675,533,637,9668
総数,4,13104,新宿区,962,1002,3251,2174,1210,1012,1106,1174,1022,1075,870,909,15767
総数,4,13105,文京区,465,557,2173,1457,650,527,528,559,542,651,481,500,9090
総数,4,13106,台東区,538,585,1440,968,665,538,527,593,496,587,545,497,7979
総数,4,13107,墨田区,626,741,2089,1301,803,718,789,777,680,739,677,663,10603
総数,4,13108,江東区,951,1104,3635,2461,1386,1193,1194,1281,1023,1184,1033,1018,17463
総数,4,13109,品川区,929,1116,3410,2047,1144,1075,1093,981,940,1034,900,964,15633
総数,4,13110,目黒区,611,799,2327,1528,710,635,714,812,661,727,633,658,10815
総数,4,13111,大田区,1697,1877,6950,3974,2427,1871,1997,2014,1796,1970,1588,1598,29759
総数,4,13112,世田谷区,2065,2162,7285,4512,2398,1989,2210,2218,1940,2136,1821,1849,32585
総数,4,13113,渋谷区,516,606,1704,1196,598,569,671,603,551,564,527,473,8578
総数,4,13114,中野区,753,922,3104,1896,1007,835,877,919,758,927,777,802,13577
総数,4,13115,杉並区,1138,1395,4961,3040,1416,1239,1255,1246,1237,1301,1114,1048,20390
総数,4,13116,豊島区,818,963,2655,1875,1005,801,809,871,821,859,794,788,13059
総数,4,13117,北区,806,851,2901,1949,1062,981,1015,959,844,955,813,738,13874
総数,4,13118,荒川区,406,470,1234,851,575,499,510,506,462,514,461,384,6872
総数,4,13119,板橋区,1110,1300,4541,2869,1540,1250,1256,1321,1239,1402,1109,1093,20030
総数,4,13120,練馬区,1328,1397,5510,3329,1613,1314,1563,1634,1470,1559,1221,1330,23268
総数,4,13121,足立区,1146,1319,4029,2421,1585,1290,1338,1367,1422,1388,1256,1272,19833
総数,4,13122,葛飾区,776,906,2559,1751,1045,852,914,829,837,966,861,802,13098
総数,4,13123,江戸川区,1340,1516,5199,3300,1758,1430,1484,1601,1364,1600,1196,1128,22916
総数,1,13200,市部,5611,6300,24682,16870,7366,6141,6611,6595,6218,6505,5420,5696,104015
総数,4,13201,八王子市,715,709,3383,2408,899,829,802,775,689,751,680,725,13365
総数,4,13202,立川市,215,260,1199,838,294,242,310,309,281,294,239,226,4707
総数,4,13203,武蔵野市,246,259,1227,719,327,265,282,333,263,281,227,246,4675
総数,4,13204,三鷹市,281,361,1495,768,394,257,331,302,268,353,255,283,5348
総数,4,13205,青梅市,105,131,335,224,140,122,127,141,121,123,119,104,1792
総数,4,13206,府中市,366,373,1782,1639,622,343,343,390,800,396,291,309,7654
総数,4,13207,昭島市,85,118,417,334,137,117,124,130,109,126,102,131,1930
総数,4,13208,調布市,402,439,1811,1153,465,381,431,450,340,464,369,392,7097
総数,4,13209,町田市,786,981,2464,1471,930,889,892,865,824,801,826,819,12548
総数,4,13210,小金井市,215,216,963,719,269,206,275,197,208,255,183,245,3951
総数,4,13211,小平市,238,215,1181,1107,315,291,265,270,251,263,209,193,4798
総数,4,13212,日野市,227,263,1011,663,340,258,296,312,262,298,213,231,4374
総数,4,13213,東村山市,140,173,645,408,204,185,223,249,203,200,204,213,3047
総数,4,13214,国分寺市,209,264,998,677,254,220,247,246,199,232,171,195,3912
総数,4,13215,国立市,110,139,550,343,165,125,112,91,109,119,81,118,2062
総数,4,13218,福生市,56,74,288,137,70,69,94,93,72,88,52,61,1154
総数,4,13219,狛江市,150,164,714,391,199,146,155,160,125,193,139,139,2675
総数,4,13220,東大和市,69,63,176,156,86,84,72,64,75,78,60,60,1043
総数,4,13221,清瀬市,101,104,383,253,114,144,136,111,99,137,104,108,1794
総数,4,13222,東久留米市,125,111,481,382,145,121,173,156,125,143,131,136,2229
総数,4,13223,武蔵村山市,89,53,326,152,73,78,74,99,69,89,54,61,1217
総数,4,13224,多摩市,163,265,821,494,221,176,226,262,230,204,191,180,3433
総数,4,13225,稲城市,136,177,518,392,247,181,223,177,149,187,149,193,2729
総数,4,13227,羽村市,60,60,185,198,74,78,50,82,48,68,60,41,1004
総数,4,13228,あきる野市,49,62,161,62,57,47,62,54,38,45,56,42,735
総数,4,13229,西東京市,273,266,1168,782,325,287,286,277,261,317,255,245,4742
総数,1,13550,町村部,98,94,191,286,87,76,99,145,65,91,82,55,1369
総数,2,13300,郡部,49,61,109,91,39,54,54,87,38,54,36,33,705
総数,4,13303,瑞穂町,28,29,62,44,31,38,31,67,26,36,31,27,450
総数,4,13305,日の出町,9,30,37,21,7,11,14,11,9,7,5,3,164
総数,4,13307,檜原村,0,1,3,6,1,0,0,1,1,2,0,1,16
総数,4,13308,奥多摩町,12,1,7,20,0,5,9,8,2,9,0,2,75
総数,2,13350,島部,49,33,82,195,48,22,45,58,27,37,46,22,664
総数,3,13360,大島支庁,23,13,25,75,18,7,20,16,5,9,8,10,229
総数,4,13361,大島町,14,10,17,45,7,5,10,10,3,5,7,4,137
総数,4,13362,利島村,0,0,0,5,3,0,1,0,0,2,0,1,12
総数,4,13363,新島村,2,1,6,17,5,1,7,6,2,1,1,3,52
総数,4,13364,神津島村,7,2,2,8,3,1,2,0,0,1,0,2,28
総数,3,13380,三宅支庁,10,6,8,32,4,3,8,14,7,7,7,2,108
総数,4,13381,三宅村,8,5,8,23,4,2,7,11,7,7,6,0,88
総数,4,13382,御蔵島村,2,1,0,9,0,1,1,3,0,0,1,2,20
総数,3,13400,八丈支庁,6,6,27,37,15,4,8,20,6,11,7,6,153
総数,4,13401,八丈町,6,6,26,35,15,4,8,20,6,10,7,5,148
総数,4,13402,青ヶ島村,0,0,1,2,0,0,0,0,0,1,0,1,5
総数,3,13420,小笠原支庁,10,8,22,51,11,8,9,8,9,10,24,4,174
総数,4,13421,小笠原村,10,8,22,51,11,8,9,8,9,10,24,4,174
日本人,0,13000,総数,24148,27172,94362,60822,31103,25811,27492,27920,25174,27466,22953,23397,417820
日本人,1,13100,区部,18754,21096,70435,44535,24040,19994,21183,21625,19293,21282,17860,18028,318125
日本人,1,13200,市部,5306,5994,23740,16010,6984,5749,6216,6189,5822,6102,5022,5325,98459
日本人,2,13300,郡部,41,53,105,82,34,47,49,48,33,46,26,22,586
日本人,2,13350,島部,47,29,82,195,45,21,44,58,26,36,45,22,650
日本人,1,13100,区部,18754,21096,70435,44535,24040,19994,21183,21625,19293,21282,17860,18028,318125
日本人,4,13101,千代田区,152,165,603,534,234,142,199,196,171,151,151,193,2891
