国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,平成29年中の増減
総数,0,13000,総数,2932,2262,32102,17990,5129,1388,1277,3354,420,2628,1234,325,71041
総数,1,13100,区部,2599,2364,25184,11875,4693,1040,942,3010,268,2053,1161,175,55364
総数,1,13200,市部,338,-105,7113,6004,427,378,313,330,184,606,63,172,15823
総数,2,13300,郡部,-14,5,-10,15,-9,-19,14,19,-16,-32,-1,-2,-50
総数,2,13350,島部,9,-2,-185,96,18,-11,8,-5,-16,1,11,-20,-96
総数,1,13100,区部,2599,2364,25184,11875,4693,1040,942,3010,268,2053,1161,175,55364
総数,4,13101,千代田区,48,29,212,186,92,26,22,83,31,6,50,79,864
総数,4,13102,中央区,351,207,482,534,259,114,37,151,68,137,139,217,2696
総数,4,13103,港区,252,181,563,334,251,58,128,134,202,111,52,103,2369
総数,4,13104,新宿区,105,66,625,205,206,53,85,127,-9,46,0,-51,1458
総数,4,13105,文京区,84,133,662,441,139,107,53,170,131,229,116,115,2380
総数,4,13106,台東区,94,126,421,144,151,68,10,131,-19,115,87,36,1364
総数,4,13107,墨田区,54,102,781,326,238,73,135,228,68,26,137,112,2280
総数,4,13108,江東区,75,163,1214,561,374,201,158,270,-66,108,153,179,3390
総数,4,13109,品川区,176,291,1538,549,319,166,132,140,109,93,91,152,3756
総数,4,13110,目黒区,88,204,965,412,42,85,-33,119,94,37,42,72,2127
総数,4,13111,大田区,274,187,2967,1027,525,41,74,115,-128,15,-94,-233,4770
総数,4,13112,世田谷区,296,185,2802,1116,421,33,211,223,77,290,129,21,5804
総数,4,13113,渋谷区,82,163,744,405,69,59,154,132,97,129,55,-15,2074
総数,4,13114,中野区,66,103,1269,441,151,57,-27,100,-71,79,104,23,2295
総数,4,13115,杉並区,197,283,2243,848,188,107,-50,129,48,216,126,-62,4273
総数,4,13116,豊島区,102,146,875,386,106,-5,-74,69,-59,-3,52,-11,1584
総数,4,13117,北区,67,-59,823,276,150,70,-37,121,-121,-34,-74,-107,1075
総数,4,13118,荒川区,-18,35,174,50,130,19,41,20,37,47,37,-109,463
総数,4,13119,板橋区,20,-71,1511,746,201,7,-101,79,-95,0,-40,-140,2117
総数,4,13120,練馬区,104,-68,1812,817,64,-107,-23,119,-55,166,-52,12,2789
総数,4,13121,足立区,42,4,1272,389,210,-22,-32,39,136,43,28,-6,2103
総数,4,13122,葛飾区,104,76,710,231,162,66,45,63,-29,108,131,32,1699
総数,4,13123,江戸川区,-64,-122,519,1451,245,-236,34,248,-178,89,-108,-244,1634
総数,1,13200,市部,338,-105,7113,6004,427,378,313,330,184,606,63,172,15823
総数,4,13201,八王子市,55,-157,691,1004,23,100,63,-15,-72,105,4,32,1833
総数,4,13202,立川市,-50,-35,414,355,3,-13,26,13,-9,14,1,-51,668
総数,4,13203,武蔵野市,72,8,586,194,49,74,-8,104,7,70,6,54,1216
総数,4,13204,三鷹市,26,41,612,259,71,-28,30,25,0,69,18,47,1170
総数,4,13205,青梅市,-23,15,-106,54,-10,-6,24,23,-1,7,19,-5,-9
総数,4,13206,府中市,58,-15,695,909,211,-37,-59,-13,415,33,-27,-54,2116
総数,4,13207,昭島市,-37,-23,66,159,-37,-5,-23,-21,-30,13,-14,15,63
総数,4,13208,調布市,73,37,739,367,56,14,-18,100,-25,42,39,32,1456
総数,4,13209,町田市,85,153,671,205,44,95,96,6,67,20,82,3,1527
総数,4,13210,小金井市,47,-12,221,264,34,2,41,-11,3,71,11,67,738
総数,4,13211,小平市,20,-79,153,621,60,62,26,-11,-18,14,4,-43,809
総数,4,13212,日野市,-14,17,290,177,-113,29,80,17,-68,31,7,43,496
総数,4,13213,東村山市,-54,-59,11,157,-19,-59,-35,80,-50,-20,8,22,-18
総数,4,13214,国分寺市,24,83,424,272,-5,54,49,75,10,42,4,29,1061
総数,4,13215,国立市,13,24,164,133,42,34,22,-26,7,4,-11,11,417
総数,4,13218,福生市,-4,2,70,-25,-12,-17,12,-9,-2,19,-16,-4,14
総数,4,13219,狛江市,-3,5,353,130,27,-16,-37,-9,1,41,3,-14,481
総数,4,13220,東大和市,10,-10,-21,43,-15,23,0,-48,-9,-13,-6,-22,-68
総数,4,13221,清瀬市,0,0,140,58,3,46,11,0,-9,29,-23,-19,236
総数,4,13222,東久留米市,8,-36,90,67,-36,-18,-34,-5,-41,-36,-20,-3,-64
総数,4,13223,武蔵村山市,37,-34,43,66,-9,7,-29,10,2,27,-20,1,101
