区分,0～4歳,5～9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70歳～
男（人）,12,10,15,17,23,21,9,5,9,17
女（人）,16,13,18,16,48,25,24,17,13,15
