"選挙名称","届出番号","党派名","候補者名","0:50 確定[人]","22:10[人]","23:10[人]"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","1","新党改革","たかぎ　さや","1,044","0","500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","2","日本のこころを大切にする党","鈴木　まりこ","2,084.509","0","2,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","3","おおさか維新の会","田中　康夫","8,740","3,000","8,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","4","無所属","よこぼり　喜久","84","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","5","社会民主党","増山　れな","1,128","0","1,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","6","無所属","いわさか　ゆきお","99","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","7","幸福実現党","トクマ","505","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","8","無所属","三宅　洋平","5,836","0","5,500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","9","世界経済共同体党","マタヨシ　光雄","145","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","10","日本共産党","山添　拓","7,661","1,000","7,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","11","公明党","竹谷　とし子","7,375","3,000","7,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","12","無所属","鈴木　たつお","139.100","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","13","無所属","佐藤　かおり","881.898","0","500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","14","自由民主党","中川　まさはる","19,952","5,000","19,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","15","維新政党・新風","鈴木　信行","537.389","0","500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","16","民進党","小川　敏夫","8,025","3,500","7,500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","17","自由民主党","朝日　けんたろう","10,402","5,000","10,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","18","無所属","柳沢　秀敏","228","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","19","国民怒りの声","小林　こうき","1,367","0","1,000"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","20","無所属","原田　きみあき","51","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","21","民進党","蓮舫","17,175","5,000","16,500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","22","無所属","よこくめ　勝仁","5,863","0","5,500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","23","支持政党なし","おおつき　文彦","68","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","24","支持政党なし","佐藤　ひとし","99.101","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","25","支持政党なし","さめじま　良司","30","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","26","支持政党なし","深江　孝","65","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","27","無所属","浜田　かずゆき","589","0","500"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","28","チャレンジド日本","ふじしろ　洋行","43","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","29","地球平和党","ひめじ　けんじ","39","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","30","無所属","川上　晃司","49","0","0"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","31","犬丸勝子と共和党","犬丸　勝子","80","0","0"

"平成28年7月10日執行　参議院選挙区選出議員選挙開票推移","Ver201607",,,,,
