"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202111","ＡＲＣ　Ｌａｂｏ整骨院","東京都港区赤坂五丁目4番8号","クレールタイヨービル6階","2021/10/31","35.671918","139.735774"
"202111","ボディセラピー浜松町整骨院","東京都港区浜松町一丁目27番9号","トラスト浜松町ビル5階","2021/10/31","35.656905","139.755245"
"202112","ＳＳＡＢ（ザブ）整骨院","東京都港区東麻布三丁目8番10号","バーリータワーズ8階","2021/11/30","35.656485","139.737491"
"202201","整骨院Ｓｕｇａｒ","東京都港区白金台五丁目5番8号","4階","2022/1/31","35.640455","139.722265"
"202203","太公堂整骨院","東京都港区白金台二丁目12番20号",,"2022/2/28","35.632825","139.730358"
"202203","ＥＡＳＥ整骨院　新橋","東京都港区新橋五丁目8番4号","1階","2022/3/25","35.663615","139.755285"
"202203","太公堂整骨院　高輪店","東京都港区高輪一丁目27番17号",,"2022/2/28","35.637031","139.73333"
"202203","こころ整骨院表参道院","東京都港区南青山六丁目2番10号","T・Iビル1階","2022/2/28","35.660950","139.715426"

"施術所（柔整）廃止一覧(令和4年3月31日現在)","Ver202203",,,,,
