男女区分 ,Male female classification,区分 ,Classification,マーク Mark,小学校 Elementary school／第1学年 1st grade,小学校 Elementary school／第2学年 2nd grade,小学校 Elementary school／第3学年 3rd grade,小学校 Elementary school／第4学年 4th grade,小学校 Elementary school／第5学年 5th grade,小学校 Elementary school／第6学年 6th grade,中学校 Junior high school／第1学年 1st grade,中学校 Junior high school／第2学年 2nd grade,中学校 Junior high school／第3学年 3rd grade,高等学校(全日制) Senior high school ( Full-time )／第1学年 1st grade,高等学校(全日制) Senior high school ( Full-time )／第2学年 2nd grade,高等学校(全日制) Senior high school ( Full-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第1学年 1st grade,高等学校(定時制) Senior high school ( part-time )／第2学年 2nd grade,高等学校(定時制) Senior high school ( part-time )／第3学年 3rd grade,高等学校(定時制) Senior high school ( part-time )／第4学年 4th grade
男 ,Male,握力 (kg) ,Grip strength (kg),,9.1,10.8,12.7,14.6,16.6,19.4,23.4,28.6,33.7,37,39.3,41,36.2,38.6,39.8,41.4
男 ,Male,上体起こし (回) ,Sit-ups (times),,11.3,14.1,16.3,18.4,20.3,22.1,24.2,27.6,29.8,29.4,30.6,31.5,24.2,24.8,25.1,23.7
男 ,Male,長座体前屈 (cm),Sit and reach (cm),,25.8,27.5,29.5,31.3,33.5,35.9,38.1,42.2,45.6,45.7,47.7,48.8,42.5,43.5,43.8,43.8
男 ,Male,反復横とび (点) ,Side step (points)　　,,26.6,30.6,34.3,38.4,42.1,45.3,49.2,52.4,55,55.8,56.9,57.6,48.8,49.1,50.1,48.3
男 ,Male,持久走 (秒) ,1500m run (seconds),,…,…,…,…,…,…,425.9,385.4,374.1,385.4,376.8,376,441.1,444.3,425.7,454
男 ,Male,20ｍシャトルラン (回) ,20m shuttle run (times),,17.4,27.3,35.8,44,51.7,59.1,69.4,83.2,90.7,86.4,90.7,90.5,59.8,61.6,66,55.1
男 ,Male,50ｍ走 (秒) ,50m run (seconds),,11.5,10.5,10,9.6,9.2,8.8,8.5,7.9,7.6,7.5,7.3,7.2,7.7,7.7,7.6,7.7
男 ,Male,立ち幅とび (cm) ,Standing long jump (cm),,111.7,123.4,133.9,142.6,151.7,162.2,177.4,194.2,208.6,217.3,223.7,227.3,205.4,210.9,213.4,213.1
男 ,Male,ハンドボール投げ (m),Handball throw (m)  ,1),7.7,11.2,14.8,18.4,21.8,25.3,17.5,20.3,22.9,23.4,24.7,25.6,21.1,21.8,22.9,23.4
女,Female,握力 (kg) ,Grip strength (kg),,8.5,10.2,11.9,13.8,16.2,19.1,21.5,23.5,24.7,25.2,26,26.3,23.9,24.3,24.9,25.4
女,Female,上体起こし (回) ,Sit-ups (times),,10.8,13.6,15.7,17.8,19.4,20.6,21.8,24.1,24.9,23.9,24.1,24.1,18.2,18.4,18.1,17.5
女,Female,長座体前屈 (cm),Sit and reach (cm),,28.4,30.7,33.1,35.4,38.2,41.2,42.6,44.9,46.5,46.3,47,47.6,43,42.1,43.7,42.5
女,Female,反復横とび (点) ,Side step (points)　　,,25.6,29.4,32.6,36.7,40.4,43,45.8,47.1,47.6,48.3,48.4,48.6,41.6,41.5,41.6,40.3
女,Female,持久走 (秒) ,1000m run (seconds),,…,…,…,…,…,…,301.9,286.4,289.6,304.4,302.6,307,347.1,356.5,362.4,361.8
女,Female,20ｍシャトルラン (回) ,20m shuttle run (times),,14.3,20.8,26.5,33.4,40.5,46.2,52.3,57.5,57.3,51.9,54.6,53.5,32.9,33.9,34.3,28.6
女,Female,50ｍ走 (秒) ,50m run (seconds),,11.8,10.9,10.3,9.9,9.5,9.1,9,8.8,8.7,8.9,8.8,8.9,9.4,9.5,9.5,9.8
女,Female,立ち幅とび (cm) ,Standing long jump (cm),,104.3,115.7,126.2,135.8,145.5,154.3,163.6,168.3,170,171.5,173.2,172.4,155.2,154.9,154.8,150.3
女,Female,ハンドボール投げ (m),Handball throw (m)  ,1),5.3,7.1,9,11,13.1,14.9,11.1,12.5,13.3,13.3,13.6,13.9,11.4,11.5,11.5,11.6
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,
17-3  児童・生徒の体力テスト調査結果 (平成29年) 17-3  RESULTS OF PHYSICAL FITNESS TESTS (2017),,,,,,,,,,,,,,,,,,,,
注 1) 小学校はソフトボール投げ　　  ,,,,,,,,,,,,,,,,,,,,
Note: 1) Softball throw for elementary school students.   ,,,,,,,,,,,,,,,,,,,,
資料：都教育庁指導部指導企画課 「東京都児童・生徒体力・運動能力，生活・運動習慣等調査報告書」 Source: Office of Education， TMG,,,,,,,,,,,,,,,,,,,,
