年次,Year,総数 Total／出願件数 Number of applications,総数 Total／登録件数 Number of registrations,特許 Patents／出願件数 Number of applications,特許 Patents／登録件数 Number of registrations,実用新案 Utility models／出願件数 Number of applications,実用新案 Utility models／登録件数 Number of registrations,意匠 Designs／出願件数 Number of applications,意匠 Designs／登録件数 Number of registrations,商標Trademarks／出願件数 Number of applications,商標Trademarks／登録件数 Number of registrations
平成27,2015,187963,119843,132521,76159,1320,1321,9137,8138,44985,34225
平成28,2016,190554,128802,130455,82002,1245,1216,9195,8020,49659,37564
平成29,2017,195372,128537,129667,80020,1218,1179,9043,8309,55444,39029
,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-15  産業財産権 (平成27～29年) 17-15  INDUSTRIAL PROPERTY RIGHTS ( 2015-2017 ),,,,,,,,,,,
資料：特許庁「特許行政年次報告書」 Source: Japan Patent Office,,,,,,,,,,,
