年度末,End of fiscal year,分類,Classification,総数／Total,中央／Central,多摩／Tama
平成27,2015,総数,Total,2488283,1977893,510390
平成28,2016,総数,Total,2536959,2019601,517358
平成29,2017,総数,Total,2587717,2059640,528077
平成29,2017,総記,General works,84023,74352,9671
平成29,2017,哲学,Philosophy,91616,83269,8347
平成29,2017,歴史,History,229073,212818,16255
平成29,2017,社会科学,Social science,434408,400086,34322
平成29,2017,自然科学,Natural science,150214,137601,12613
平成29,2017,工学,Technology,171312,156003,15309
平成29,2017,産業,Industry,114658,106675,7983
平成29,2017,芸術,The arts,161462,140917,20545
平成29,2017,語学,Language,38549,33314,5235
平成29,2017,文学,Literature,287313,142476,144837
平成29,2017,児童,Children's books,199429,-,199429
平成29,2017,その他,Others,625660,572129,53531
,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,
17-9  国公立図書館 (2) 都立図書館蔵書数 (平成27～29年度末) 17-9  NATIONAL AND PUBLIC LIBRARIES (2) NUMBER OF BOOKS STOCKED AT METROPOLITAN LIBRARIES ( End of Fiscal Years 2015-2017 ),,,,,,
資料：都立中央図書館 Source: Tokyo Metropolitan Central Library,,,,,,
（単位　冊）(In volumes),,,,,,
