年度,Fiscal year,卒業後の状況,Status after graduation,総数 Total／計 Total,総数 Total／男 Male,総数 Total／女 Female,総数 Total／国立 National,総数 Total／公立 Public,総数 Total／私立 Private
平成27,2015,総数,Total,104164,52746,51418,934,78168,25062
平成28,2016,総数,Total,104543,52841,51702,911,78808,24824
平成29,2017,総数,Total,103274,52252,51022,922,77989,24363
平成29,2017,(A)高等学校等進学者,(A)Enrollment in senior high schools and others,101960,51475,50485,915,76861,24184
平成29,2017,(A)高等学校等進学者／高等学校本科 全日制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， full-time,94987,47220,47767,912,70088,23987
平成29,2017,(A)高等学校等進学者／高等学校本科 定時制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， part-time,3070,1779,1291,1,3046,23
平成29,2017,(A)高等学校等進学者／高等学校本科 通信制,(A)Enrollment in senior high schools and others／Senior high schools， regular course， correspondence course,2320,1336,984,2,2153,165
平成29,2017,(A)高等学校等進学者／中等教育学校後期課程本科 全日制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， full-time,-,-,-,-,-,-
平成29,2017,(A)高等学校等進学者／中等教育学校後期課程本科 定時制,(A)Enrollment in senior high schools and others／Secondary education schools， second semester course， regular course， part-time,-,-,-,-,-,-
平成29,2017,(A)高等学校等進学者／高等学校別科,(A)Enrollment in senior high schools and others／Senior high schools， special course,-,-,-,-,-,-
平成29,2017,(A)高等学校等進学者／中等教育学校後期課程別科,(A)Enrollment in senior high schools and others／Secondary education schools， upper secondary course， special course,-,-,-,-,-,-
平成29,2017,(A)高等学校等進学者／高等専門学校,(A)Enrollment in senior high schools and others／Colleges of technology,465,370,95,-,460,5
平成29,2017,(A)高等学校等進学者／特別支援学校高等部本科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， regular course,1118,770,348,-,1114,4
平成29,2017,(A)高等学校等進学者／特別支援学校高等部別科,(A)Enrollment in senior high schools and others／Special needs education schools， upper secondary course， special course,-,-,-,-,-,-
平成29,2017,(B)専修学校(高等課程)進学者,(B) Enrollment in specialized training schools (upper secondary course),350,200,150,-,301,49
平成29,2017,(C)専修学校(一般課程)等入学者,(C)Enrollment in Specialized training schools (general course) and others,136,67,69,-,134,2
平成29,2017,(D)公共職業能力開発施設等入学者,(D)Enrollment in public vocational training facilities and others,18,16,2,-,18,-
平成29,2017,(E)就職者,(E)Employed,174,141,33,-,172,2
平成29,2017,(F)上記以外の者,(F)Persons other than the above,625,345,280,7,498,120
平成29,2017,(G)不詳・死亡,(G)Unknown or deceased,11,8,3,-,5,6
平成29,2017,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,13,9,4,-,13,-
平成29,2017,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,10,7,3,-,10,-
平成29,2017,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,-,-,-,-,-,-
平成29,2017,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,3,2,1,-,3,-
平成29,2017,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-
平成29,2017,(再掲)上記(A)のうち他県への進学者,(Relisted)(A) above and enrolled in schools in other prefectures,4541,3023,1518,35,4041,465
,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-6  中学校卒業後の状況  (平成27～29年度) 17-6  STATUS OF GRADUATES OF JUNIOR HIGH SCHOOLS  ( Fiscal Years 2015-2017 ),,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Bureau of General Affairs， TMG  　　,,,,,,,,,
