年度,Fiscal year,開館日数 Number of open days,企画展 Special exhibition／展覧会数 Number of Exhibition,企画展 Special exhibition／観覧人員 Visitors,公募展 Exhibition(Artist association)／展覧会数 Number of Exhibition,公募展 Exhibition(Artist association)／観覧人員 Visitors,収蔵品数(年度末) Number of items(end of fiscal year)／総数 Total,収蔵品数(年度末) Number of items(end of fiscal year)／図書 Books,収蔵品数(年度末) Number of items(end of fiscal year)／カタログ Exhibition Catalog,収蔵品数(年度末) Number of items(end of fiscal year)／雑誌 Periodicals
平成27,2015,305,9,1097902,69,1194428,145057,41527,100475,3055
平成28,2016,297,8,1652287,69,1200190,150015,43528,103377,3110
平成29,2017,302,8,1630814,74,1198009,150835,44999,105836,3133
,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
"17-11  国立博物館及び美術館 (4) 国立新美術館 (平成27～29年度)  17-11  NATIONAL MUSEUM (4) THE NATIONAL ART CENTER, TOKYO ( Fiscal Year 2015-2017 )",,,,,,,,,,
注 ) 「雑誌」数はタイトル数であり，「紀要・年報」を含む。,,,,,,,,,,
Note: ) The number of periodical titles. Figures also include bulletins and annual reports.,,,,,,,,,,
"資料：国立新美術館 Source: The National Art Center, Tokyo",,,,,,,,,,
