年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成29,2017,1,国立 ,National,高等学校,Senior high schools,6,-,…,-,3246,1839,1407,404,208,196
平成29,2017,1,国立 ,National,中等教育学校,Secondary education schools,2,-,…,2,1438,630,808,149,103,46
平成29,2017,1,国立 ,National,大学,Colleges and universities,14,-,-,-,74622,49732,24890,…,8182,…
平成29,2017,1,国立 ,National,短期大学,Junior colleges,-,-,-,-,-,-,-,…,…,…
平成29,2017,1,国立 ,National,高等専門学校,Colleges of technology,1,-,-,-,1023,851,172,…,73,…
平成29,2017,1,国立 ,National,特別支援学校,Special needs schools,4,-,…,…,456,272,184,289,234,55
平成29,2017,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,…,…,-,-,-,-,-,-
平成29,2017,1,国立 ,National,専修学校,Specialized training schools,1,-,…,…,41,6,35,73,7,66
平成29,2017,1,国立 ,National,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
平成29,2017,1,公立 ,Public,総数,Total,2343,1,…,…,988730,512190,476540,…,…,…
平成29,2017,1,公立 ,Public,幼稚園,Kindergartens,171,-,…,…,12487,6582,5905,1096,842,254
平成29,2017,1,公立 ,Public,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),9,-,…,…,1202,617,585,198,189,9
平成29,2017,1,公立 ,Public,小学校,Elementary schools,1276,-,9,…,572625,295692,276933,37462,32410,5052
平成29,2017,1,公立 ,Public,中学校,Junior high schools,613,1,9,15,227218,118466,108752,19286,15110,4176
平成29,2017,1,公立 ,Public,義務教育学校,Compulsory education schools,6,-,6,…,5373,2801,2572,379,328,51
平成29,2017,1,公立 ,Public,高等学校,Senior high schools,186,-,…,11,137340,68820,68520,12190,9394,2796
平成29,2017,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,…,6,5620,2722,2898,541,434,107
平成29,2017,1,公立 ,Public,大学,Colleges and universities,2,-,-,-,9374,5950,3424,…,705,…
平成29,2017,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,…,…,…
平成29,2017,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,-,1555,1406,149,…,131,…
平成29,2017,1,公立 ,Public,特別支援学校,Special needs schools,62,-,…,…,12528,8198,4330,6244,5705,539
平成29,2017,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,…,…,1487,708,779,75,47,28
平成29,2017,1,公立 ,Public,専修学校,Specialized training schools,8,-,…,…,1921,228,1693,951,167,784
平成29,2017,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,…,…,-,-,-,-,-,-
平成29,2017,1,私立 ,Private,総数,Total,2056,-,…,…,1268247,634086,634161,…,78516,…
平成29,2017,1,私立 ,Private,幼稚園,Kindergartens,822,-,…,…,144566,72765,71801,11602,9892,1710
平成29,2017,1,私立 ,Private,幼保連携型認定こども園,Accredited Kodomo-en (Daycare-kindergarten),18,-,…,…,3908,1976,1932,596,493,103
平成29,2017,1,私立 ,Private,小学校,Elementary schools,53,-,-,…,25106,10416,14690,1907,1447,460
平成29,2017,1,私立 ,Private,中学校,Junior high schools,188,-,-,119,74217,34447,39770,8973,4223,4750
平成29,2017,1,私立 ,Private,義務教育学校,Compulsory education schools,-,-,-,…,-,-,-,-,-,-
平成29,2017,1,私立 ,Private,高等学校,Senior high schools,237,-,…,120,176246,84912,91334,17385,9737,7648
平成29,2017,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,…,-,-,-,-,-,-,-
平成29,2017,1,私立 ,Private,大学,Colleges and universities,138,-,-,-,651888,342275,309613,…,42327,…
平成29,2017,1,私立 ,Private,短期大学,Junior colleges,38,-,-,-,13406,992,12414,3474,834,2640
平成29,2017,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,875,739,136,…,51,…
平成29,2017,1,私立 ,Private,特別支援学校,Special needs schools,4,-,…,…,233,139,94,110,89,21
平成29,2017,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,9,-,…,…,9349,5444,3905,1092,213,879
平成29,2017,1,私立 ,Private,専修学校,Specialized training schools,394,-,…,…,143757,67688,76069,22998,7272,15726
平成29,2017,1,私立 ,Private,各種学校,Miscellaneous schools,154,-,…,…,24696,12293,12403,3358,1938,1420
,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成27～29年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2015～2017 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
