年度,Fiscal year,学校区分 ,School types,総数 Total,陸上競技場 Athletic field,野球・ソフトボール場 Baseball and softball field,球技場 Ball field,多目的運動場 Multipurpose sports field,水泳プール Swimming pool,体育館 Gymnasium,柔道場 Judo hall,剣道場 Kendo hall,柔剣道場 Judo and kendo hall,バレーボール場 Volleyball court,庭球場 Tennis court,バスケットボール場 Basketball court,すもう場 Sumo ring,卓球場 Ping-pong court,弓道場 Japanese archery range,トレーニング場 Physical training facility,ダンス場 Dance studio,ゴルフ場 Golf course,ゴルフ練習場 Golf driving range,ゲートボール・クロッケー場 Gateball and croquet court,キャンプ場 Camping site,冒険遊具コース Athletic course,その他 Others
平成27,2015,総数 ,Total,11247,71,661,218,2010,2413,2566,256,224,300,14,890,53,30,56,108,483,178,22,97,77,55,18,447
平成27,2015,小・中・高・専修・各種学校 ,Elementary schools， junior， senior high schools， specialized training schools and miscellaneous schools,6920,7,7,9,1773,1974,2072,129,126,247,10,370,51,10,8,15,87,1,-,-,-,-,16,8
平成27,2015,高専・大学 ,Colleges of technology， Colleges and universities,953,17,30,44,88,60,200,49,42,29,4,127,2,6,27,37,72,22,-,12,-,-,-,85
平成27,2015,公共 ,Public,2291,45,617,126,139,208,268,50,48,21,-,283,-,14,15,51,111,16,1,3,77,32,2,164
平成27,2015,民間,Private,1083,2,7,39,10,171,26,28,8,3,-,110,-,-,6,5,213,139,21,82,-,23,-,190
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成29年）TOKYO STATISTICAL YEARBOOK ( 2017 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-16  スポーツ施設数 (平成27年度) 17-16  SPORTS FACILITIES ( Fiscal Year 2015 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：スポーツ庁「体育・スポーツ施設現況調査」Source: Japan Sports Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,
