"選挙名称","届出番号","名簿届出政党等名称","23:55 確定[人]"
"平成29年10月22日執行衆議院議員選挙","1","日本共産党","1110"
"平成29年10月22日執行衆議院議員選挙","2","希望の党","2540"
"平成29年10月22日執行衆議院議員選挙","3","幸福実現党","58"
"平成29年10月22日執行衆議院議員選挙","4","社会民主党","129"
"平成29年10月22日執行衆議院議員選挙","5","日本のこころ","111"
"平成29年10月22日執行衆議院議員選挙","6","立憲民主党","3235"
"平成29年10月22日執行衆議院議員選挙","7","公明党","888"
"平成29年10月22日執行衆議院議員選挙","8","自由民主党","6048"
"平成29年10月22日執行衆議院議員選挙","9","日本維新の会","629"
"平成29年10月22日執行衆議院議員選挙","10","支持政党なし","328"

"平成29年10月22日執行　衆議院比例代表選出議員選挙第2区開票推移","Ver201710",,
