"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","宿泊利用人員 合計[人]","1部屋当たり定員[人]","人員利用率[%]","1日当たり部屋数","部屋利用率[%]"
"春日居 ホテル春日居","2016","80","21","101","5","59.4","2","97.1"
"春日居 ホテル春日居","2017","76","15","91","5","53.5","2","88.2"
"春日居 ホテル春日居","2018","90","16","106","5","62.4","2","94.1"
"春日居 ホテル春日居","2019","75","18","93","5","54.7","2","91.2"
"春日居 ホテル春日居","2020","53","8","61","5","35.9","2","61.8"
"越後湯沢 松泉閣 花月","2016","77","36","113","5","66.5","2","97.1"
"越後湯沢 松泉閣 花月","2017","85","23","108","5","63.5","2","97.1"
"越後湯沢 松泉閣 花月","2018","77","23","100","5","58.8","2","94.1"
"湯河原 おんやど惠","2016","81","7","88","5","51.8","2","94.1"
"湯河原 おんやど惠","2017","80","11","91","5","53.5","2","94.1"
"湯河原 おんやど惠","2018","90","9","99","5","58.2","2","91.2"
"湯河原 おんやど惠","2019","76","3","79","5","46.5","2","94.1"
"湯河原 おんやど惠","2020","54","9","63","5","37.1","2","64.7"
"舞浜 ホテルオークラ東京ベイ","2016","78","4","82","4","60.3","2","97.1"
"舞浜 ホテルオークラ東京ベイ","2017","76","2","78","4","57.4","2","94.1"
"舞浜 ホテルオークラ東京ベイ","2018","78","5","83","4","61.0","2","100.0"
"舞浜 ホテルオークラ東京ベイ","2019","68","8","76","4","55.9","2","85.3"
"舞浜 ホテルオークラ東京ベイ","2020","69","7","76","4","55.9","2","91.2"
"安房鴨川 鴨川グランドホテル","2016","81","12","93","5","54.7","2","97.1"
"熱海 ラビスタ伊豆山","2016","81","14","95","5","55.9","2","94.1"
"熱海 ラビスタ伊豆山","2017","80","12","92","5","54.1","2","100.0"
"熱海 ラビスタ伊豆山","2018","66","12","78","5","45.9","2","79.4"
"熱海 ラビスタ伊豆山","2019","77","6","83","5","48.8","2","88.2"
"熱海 ラビスタ伊豆山","2020","64","3","67","5","39.4","2","67.6"
"伊豆稲取 稲取東海ホテル湯苑","2016","76","10","86","5","50.6","2","97.1"
"伊豆稲取 稲取東海ホテル湯苑","2017","82","5","87","5","51.2","2","94.1"
"安房小湊 満ちてくる心の宿吉夢","2017","80","12","92","5","54.1","2","91.2"
"安房小湊 満ちてくる心の宿吉夢","2018","79","11","90","5","52.9","2","97.1"
"安房小湊 満ちてくる心の宿吉夢","2019","76","5","81","5","47.6","2","97.1"
"安房小湊 満ちてくる心の宿吉夢","2020","53","9","62","5","36.5","2","67.6"
"熱海 ホテルニューアカオ","2018","79","16","95","5","55.9","2","97.1"
"熱海 ホテルニューアカオ","2019","65","12","77","5","45.3","2","82.4"
"熱海 ホテルニューアカオ","2020","51","7","58","5","34.1","2","64.7"
"伊豆長岡 ホテル天坊","2019","83","8","91","5","53.5","2","100.0"
"伊豆長岡 ホテル天坊","2020","57","3","60","5","35.3","2","76.5"

"令和3年度港区行政資料集　施設利用状況一覧 冬季保養施設","Ver202103",,,,,,,
