項番 Item number,出火原因,Causes of fire,出火件数 Number of fires,焼損面積 Area burned (m2),焼損棟数 Buildings burned,り災世帯数 Households affected
,総数,Total,5131,1616442,3898,2605
1,たばこ,Cigarettes,715,3005,541,498
2,こんろ,Gas table,584,1554,623,481
3,かまど,Kitchen stove,3,122,8,5
4,風呂かまど,Bathtub water heater ,8,414,11,8
5,炉,Furnace,19,16,19,2
6,焼却炉,Incinerator,7,101,7,4
7,ストーブ,Space heater ,123,1732,149,151
8,こたつ,Kotatsu， a Japanese table with a heating device,3,-,4,2
9,ボイラー,Hot water boiler,9,-,6,3
10,煙突・煙道,Chimney and flue,2,-,1,-
11,排気管,Exhaust pipe,31,74,6,2
12,電気機器,Electric machinery and appliances,206,607,196,95
13,電気装置,Electric equipment,74,252,58,22
14,電灯電話配線,Lighting and telephone wiring,162,1452,138,94
15,内燃機関,Internal-combustion engine,9,-,-,-
16,配線器具,Wiring devices ,305,877,289,164
17,火遊び,Playing with matches／lighters,101,152,38,15
18,マッチ・ライター,Matches and lighters,54,121,42,26
19,たき火,Bonfire,54,14281,35,24
20,切断機・溶接機,Welding and cutting machines,47,376,34,10
21,灯火,Lighting,60,545,64,69
22,衝突の火花,Sparks caused by collision,5,-,-,-
23,取灰,Ash,10,110,11,7
24,火入れ,Kindling,-,-,-,-
25,放火,Arson,1425,3817,661,271
26,放火の疑い,Suspected arson,83,29,33,9
27,交通機関内配線,Wiring installed in transportation facilities ,38,-,4,-
28,その他,Others　,672,1577261,518,246
29,不明・調査中,Unknown and currently under investigation,322,9544,402,397
,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,
20-18  出火原因別出火件数及び焼損面積 （平成24年） 20-18  NUMBER OF FIRES BY CAUSE AND AREA BURNED ( 2012 ),,,,,,
資料：都総務局総合防災部防災管理課「消防年報」 Source: Bureau of General Affairs， TMG,,,,,,
