年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
-,総数,Total,110507,58810,51697
2,0～9,0-9,308,165,143
3,-,-,215,112,103
3,1,1,26,12,14
3,2,2,15,7,8
3,3,3,7,7,-
3,4,4,9,6,3
3,5,5,14,8,6
3,6,6,4,1,3
3,7,7,7,4,3
3,8,8,3,3,-
3,9,9,8,5,3
2,10～19,10--19,139,95,44
3,10,10,6,5,1
3,11,11,4,2,2
3,12,12,4,2,2
3,13,13,11,8,3
3,14,14,13,9,4
3,15,15,13,7,6
3,16,16,18,11,7
3,17,17,18,14,4
3,18,18,22,14,8
3,19,19,30,23,7
2,20～29,20-29,557,377,180
3,20,20,39,25,14
3,21,21,44,32,12
3,22,22,45,22,23
3,23,23,59,40,19
3,24,24,53,40,13
3,25,25,54,43,11
3,26,26,59,37,22
3,27,27,63,46,17
3,28,28,66,37,29
3,29,29,75,55,20
2,30～39,30-39,1052,652,400
3,30,30,57,35,22
3,31,31,78,41,37
3,32,32,108,63,45
3,33,33,69,45,24
3,34,34,91,55,36
3,35,35,94,61,33
3,36,36,114,81,33
3,37,37,118,77,41
3,38,38,137,80,57
3,39,39,186,114,72
2,40～49,40-49,2654,1702,952
3,40,40,198,120,78
3,41,41,189,113,76
3,42,42,224,139,85
3,43,43,229,157,72
3,44,44,263,162,101
3,45,45,291,194,97
3,46,46,287,192,95
3,47,47,295,187,108
3,48,48,324,209,115
3,49,49,354,229,125
2,50～59,50-59,5062,3404,1658
3,50,50,428,275,153
3,51,51,423,292,131
3,52,52,418,291,127
3,53,53,436,286,150
3,54,54,510,328,182
3,55,55,479,322,157
3,56,56,508,323,185
3,57,57,580,394,186
3,58,58,620,428,192
3,59,59,660,465,195
2,60～69,60-69,13485,9487,3998
3,60,60,833,594,239
3,61,61,909,658,251
3,62,62,1009,708,301
3,63,63,1305,903,402
3,64,64,1563,1102,461
3,65,65,1750,1234,516
3,66,66,1613,1155,458
3,67,67,1211,854,357
3,68,68,1428,990,438
3,69,69,1864,1289,575
2,70～79,70-79,25234,16421,8813
3,70,70,1947,1344,603
3,71,71,2131,1453,678
3,72,72,2191,1487,704
3,73,73,2188,1466,722
3,74,74,2098,1335,763
3,75,75,2519,1644,875
3,76,76,2675,1718,957
3,77,77,3131,2019,1112
3,78,78,3125,1941,1184
3,79,79,3229,2014,1215
2,80～89,80-89,38660,19824,18836
3,80,80,3545,2100,1445
3,81,81,3752,2237,1515
3,82,82,3839,2195,1644
3,83,83,3821,2097,1724
3,84,84,4037,2096,1941
3,85,85,3976,2031,1945
3,86,86,4085,1984,2101
3,87,87,4128,1933,2195
3,88,88,3884,1739,2145
3,89,89,3593,1412,2181
2,90～99,90-99,21509,6390,15119
3,90,90,3373,1227,2146
3,91,91,3321,1080,2241
3,92,92,2991,910,2081
3,93,93,2697,853,1844
3,94,94,2075,617,1458
3,95,95,1975,523,1452
3,96,96,1707,428,1279
3,97,97,1385,331,1054
3,98,98,1119,239,880
3,99,99,866,182,684
2,100～109,100-109,1837,290,1547
3,100,100,643,117,526
3,101,101,455,81,374
3,102,102,299,48,251
3,103,103,202,14,188
3,104,104,94,17,77
3,105,105,81,7,74
3,106,106,32,4,28
3,107,107,11,-,11
3,108,108,14,1,13
3,109,109,6,1,5
2,110～113,110-113,7,-,7
3,110,110,5,-,5
3,111,111,1,-,1
3,112,112,1,-,1
3,113,113,-,-,-
3,114～,114- and over,-,-,-
3,不詳,Unknown age,3,3,-
1,（再掲) 0～14,(relisted) 0-14,346,191,155
1,（再掲) 15～64,(relisted) 15-64,15045,10169,4876
1,（再掲) 65～ 1),(relisted) 65 and over 1),95116,48450,46666
,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成25年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2013 ),,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
